Occupations,NumEmps
Management occupations,692187.0
Business and financial operations occupations,418681.0
Computer and mathematical occupations,212220.0
Architecture and engineering occupations,68018.0
"Life, physical, and social science occupations",64938.0
Community and social service occupations,114109.0
Legal occupations,141317.0
"Education, training, and library occupations",0.0
"Arts, design, entertainment, sports, and media occupations",355088.0
Health diagnosing and treating practitioners and other technical occupations,234472.0
Health technologists and technicians,85411.0
Healthcare support occupations,349112.0
"Fire fighting and prevention, and other protective service workers including supervisors",0.0
Law enforcement workers including supervisors,59985.0
Food preparation and serving related occupations,376438.0
Building and grounds cleaning and maintenance occupations,297332.0
Personal care and service occupations,260218.0
Sales and related occupations,590852.0
Office and administrative support occupations,701533.0
"Farming, fishing, and forestry occupations",3162.0
Construction and extraction occupations,309668.0
"Installation, maintenance, and repair occupations",94874.0
Production occupations,149978.0
Transportation occupations,304813.0
Material moving occupations,134388.0
