Occupations,NumEmps,year
Management occupations,747359.0,2019
Business and financial operations occupations,436743.0,2019
Computer and mathematical occupations,212493.0,2019
Architecture and engineering occupations,75290.0,2019
"Life, physical, and social science occupations",61862.0,2019
Community and social service occupations,132641.0,2019
Legal occupations,147126.0,2019
"Education, training, and library occupations",0.0,2019
"Arts, design, entertainment, sports, and media occupations",348967.0,2019
Health diagnosing and treating practitioners and other technical occupations,240643.0,2019
Health technologists and technicians,87863.0,2019
Healthcare support occupations,368057.0,2019
"Fire fighting and prevention, and other protective service workers including supervisors",0.0,2019
Law enforcement workers including supervisors,60466.0,2019
Food preparation and serving related occupations,386234.0,2019
Building and grounds cleaning and maintenance occupations,279953.0,2019
Personal care and service occupations,252657.0,2019
Sales and related occupations,604196.0,2019
Office and administrative support occupations,632204.0,2019
"Farming, fishing, and forestry occupations",5190.0,2019
Construction and extraction occupations,302902.0,2019
"Installation, maintenance, and repair occupations",109984.0,2019
Production occupations,148952.0,2019
Transportation occupations,282241.0,2019
Material moving occupations,132244.0,2019
