Occupations,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Management occupations,555152,538868,603437.5,629771.25,685725.25,710697.5,738015,727781,693368.5,748540.5
Business and financial operations occupations,341867.25,347058.25,348813.625,370954.75,374852.5,378538.5,381351.25,408266.125,419721.5,437783.5
Computer and mathematical occupations,129836.25,129610.25,145511.25,158481.875,157821.625,166344,182507.25,184616.25,212220,212493
Architecture and engineering occupations,54226.25,62655.25,57477,51836.625,62845.375,61046.5,68765.25,69674.5,68106.5,75378.5
"Life, physical, and social science occupations",50566.5,56399.5,52814.25,50389.625,53213.125,61940,58716.5,56667.25,64962,61886
Community and social service occupations,122973,104616,116521.375,124456.625,120567.625,125916.5,133204,138300.875,115189.5,133721.5
Legal occupations,139558.25,145403.25,145999.875,133874.125,140116.875,149847,150222.25,144387.875,141583,147392
"Education, training, and library occupations",398378,386141,409996.25,425314.375,433337.375,448925,415227,428639.25,452035,459713
"Arts, design, entertainment, sports, and media occupations",297418,314854,322478.5,348746.25,326988.25,346099.5,347484,368612,355466.5,349345.5
Health diagnosing and treating practitioners and other technical occupations,198486.5,194109.5,213491.125,218173.75,222505.25,226249.5,236781.5,239778.625,235305.5,241476.5
Health technologists and technicians,66799,68263,69781.125,68170.5,81922.5,91912,79291,92955.125,86006,88458
Healthcare support occupations,253999,257936,260978.75,275692.625,261548.625,271790.5,283578,301163.25,351295.5,370240.5
"Fire fighting and prevention, and other protective service workers including supervisors",104832.5,109542.5,111721.625,107395.25,101078.75,106526.5,104377.5,107292.125,109167.5,120083.5
Law enforcement workers including supervisors,57374.25,54686.25,60926,55362.125,57527.875,58624.5,57021.25,62573.5,60818.5,61299.5
Food preparation and serving related occupations,336968.75,376449.75,367739,371458.25,398292.5,413959,398791.75,384540,377419,387215
Building and grounds cleaning and maintenance occupations,299408,294417,287872.125,317784.5,310608.5,298689.5,297485,304999.625,297937.5,280558.5
Personal care and service occupations,274269.25,296898.25,295994.875,289360.5,302526.25,308635.5,331687.25,323892.375,261423.5,253862.5
Sales and related occupations,621491.25,659189.25,661007.375,652067.75,652031.5,639599,658210.25,627175.375,592583,605927
Office and administrative support occupations,779811.5,776806.5,778614.625,768034.125,767100.625,790438.5,773342.5,797758.125,703787.5,634458.5
"Farming, fishing, and forestry occupations",3604,8709,4098.125,4093,4364,6223,3749,5453.125,3162,5190
Construction and extraction occupations,276049.5,275838.5,274084,277003,298331.5,293826.5,288614.5,306867.5,310193.5,303427.5
"Installation, maintenance, and repair occupations",111808.25,114664.25,112345.125,127171.375,114496.125,123636.5,122622.25,115965.625,95279.5,110389.5
Production occupations,193545.5,180604.5,187946.75,170748.25,170006.75,171431.5,157550.5,158939.25,150561.5,149535.5
Transportation occupations,240034.5,235066.5,257435.875,251799.5,280691,288061,295728.5,293206.875,305408,282836
Material moving occupations,102361.25,87665.25,95917.625,94607.875,90894.625,83841.5,82524.25,100902.125,134941.5,132797.5
