Occupations,2010,2015,2019,variance
Management occupations,552620,709516,747359,156896
Business and financial operations occupations,340107,377498,436743,59245
Computer and mathematical occupations,129308,166344,212493,46149
Architecture and engineering occupations,53954,60958,75290,14332
"Life, physical, and social science occupations",50490,61916,61862,11426
Community and social service occupations,121263,124836,132641,7805
Legal occupations,139172,149581,147126,10409
"Education, training, and library occupations",395908,447813,458601,51905
"Arts, design, entertainment, sports, and media occupations",296670,345721,348967,49051
Health diagnosing and treating practitioners and other technical occupations,197194,225416,240643,28222
Health technologists and technicians,65780,91317,87863,25537
Healthcare support occupations,250331,269607,368057,98450
"Fire fighting and prevention, and other protective service workers including supervisors",103256,105670,119227,13557
Law enforcement workers including supervisors,56339,57791,60466,2675
Food preparation and serving related occupations,334520,412978,386234,78458
Building and grounds cleaning and maintenance occupations,297522,298084,279953,18131
Personal care and service occupations,271890,307430,252657,54773
Sales and related occupations,617483,637868,604196,33672
Office and administrative support occupations,774468,788184,632204,155980
"Farming, fishing, and forestry occupations",3604,6223,5190,2619
Construction and extraction occupations,274780,293301,302902,18521
"Installation, maintenance, and repair occupations",110658,123231,109984,13247
Production occupations,192094,170848,148952,21896
Transportation occupations,238416,287466,282241,49050
Material moving occupations,101287,83288,132244,48956
