,index,0
0,Management occupations,663135.65
1,Business and financial operations occupations,380920.725
2,Computer and mathematical occupations,167944.175
3,Architecture and engineering occupations,63201.175
4,"Life, physical, and social science occupations",56755.475
5,Community and social service occupations,123546.7
6,Legal occupations,143838.45
7,"Education, training, and library occupations",425770.625
8,"Arts, design, entertainment, sports, and media occupations",337749.25
9,Health diagnosing and treating practitioners and other technical occupations,222635.775
10,Health technologists and technicians,79355.825
11,Healthcare support occupations,288822.275
12,"Fire fighting and prevention, and other protective service workers including supervisors",108201.775
13,Law enforcement workers including supervisors,58621.375
14,Food preparation and serving related occupations,381283.3
15,Building and grounds cleaning and maintenance occupations,298976.025
16,Personal care and service occupations,293855.025
17,Sales and related occupations,636928.175
18,Office and administrative support occupations,757015.25
19,"Farming, fishing, and forestry occupations",4864.525
20,Construction and extraction occupations,290423.6
21,"Installation, maintenance, and repair occupations",114837.85
22,Production occupations,169087.0
23,Transportation occupations,273026.775
24,Material moving occupations,100645.35
