,Occupations,NumEmps,Gender
0,Management occupations,2907328.0,Female
1,Business and financial operations occupations,1890713.0,Female
2,Computer and mathematical occupations,423310.0,Female
3,Architecture and engineering occupations,142962.0,Female
4,"Life, physical, and social science occupations",317339.0,Female
5,Community and social service occupations,832119.0,Female
6,Legal occupations,705565.0,Female
7,"Education, training, and library occupations",2946935.0,Female
8,"Arts, design, entertainment, sports, and media occupations",1631104.0,Female
9,Health diagnosing and treating practitioners and other technical occupations,1553597.0,Female
10,Health technologists and technicians,541428.0,Female
11,Healthcare support occupations,2553980.0,Female
12,"Fire fighting and prevention, and other protective service workers including supervisors",264597.0,Female
13,Law enforcement workers including supervisors,157879.0,Female
14,Food preparation and serving related occupations,1290381.0,Female
15,Building and grounds cleaning and maintenance occupations,1381537.0,Female
16,Personal care and service occupations,2100940.0,Female
17,Sales and related occupations,3013427.0,Female
18,Office and administrative support occupations,5018032.0,Female
19,"Farming, fishing, and forestry occupations",13913.0,Female
20,Construction and extraction occupations,84242.0,Female
21,"Installation, maintenance, and repair occupations",50150.0,Female
22,Production occupations,597680.0,Female
23,Transportation occupations,267719.0,Female
24,Material moving occupations,200278.0,Female
0,Management occupations,3695589.0,Male
1,Business and financial operations occupations,1897891.0,Male
2,Computer and mathematical occupations,1248987.0,Male
3,Architecture and engineering occupations,485818.0,Male
4,"Life, physical, and social science occupations",248477.0,Male
5,Community and social service occupations,389168.0,Male
6,Legal occupations,727841.0,Male
7,"Education, training, and library occupations",1287700.0,Male
8,"Arts, design, entertainment, sports, and media occupations",1736767.0,Male
9,Health diagnosing and treating practitioners and other technical occupations,656618.0,Male
10,Health technologists and technicians,243231.0,Male
11,Healthcare support occupations,302770.0,Male
12,"Fire fighting and prevention, and other protective service workers including supervisors",805074.0,Male
13,Law enforcement workers including supervisors,419888.0,Male
14,Food preparation and serving related occupations,2499218.0,Male
15,Building and grounds cleaning and maintenance occupations,1591362.0,Male
16,Personal care and service occupations,816079.0,Male
17,Sales and related occupations,3318480.0,Male
18,Office and administrative support occupations,2503588.0,Male
19,"Farming, fishing, and forestry occupations",34636.0,Male
20,Construction and extraction occupations,2808545.0,Male
21,"Installation, maintenance, and repair occupations",1088763.0,Male
22,Production occupations,1080787.0,Male
23,Transportation occupations,2447545.0,Male
24,Material moving occupations,797398.0,Male
