Occupations,year,race,Gender,County,NumEmp
Management occupations,2010,Asian Alone,Male,"Bronx County, New York",458
Management occupations,2010,Asian Alone,Male,"Kings County, New York",3330
Management occupations,2010,Asian Alone,Male,"New York County, New York",7144
Management occupations,2010,Asian Alone,Male,"Queens County, New York",11371
Management occupations,2010,Asian Alone,Male,"Richmond County, New York",719
Business and financial operations occupations,2010,Asian Alone,Male,"Bronx County, New York",645
Business and financial operations occupations,2010,Asian Alone,Male,"Kings County, New York",2069
Business and financial operations occupations,2010,Asian Alone,Male,"New York County, New York",5636
Business and financial operations occupations,2010,Asian Alone,Male,"Queens County, New York",8411
Business and financial operations occupations,2010,Asian Alone,Male,"Richmond County, New York",700
Computer and mathematical occupations,2010,Asian Alone,Male,"Bronx County, New York",544
Computer and mathematical occupations,2010,Asian Alone,Male,"Kings County, New York",2635
Computer and mathematical occupations,2010,Asian Alone,Male,"New York County, New York",3904
Computer and mathematical occupations,2010,Asian Alone,Male,"Queens County, New York",6097
Computer and mathematical occupations,2010,Asian Alone,Male,"Richmond County, New York",472
Architecture and engineering occupations,2010,Asian Alone,Male,"Bronx County, New York",271
Architecture and engineering occupations,2010,Asian Alone,Male,"Kings County, New York",872
Architecture and engineering occupations,2010,Asian Alone,Male,"New York County, New York",402
Architecture and engineering occupations,2010,Asian Alone,Male,"Queens County, New York",1773
Architecture and engineering occupations,2010,Asian Alone,Male,"Richmond County, New York",298
"Life, physical, and social science occupations",2010,Asian Alone,Male,"Bronx County, New York",87
"Life, physical, and social science occupations",2010,Asian Alone,Male,"Kings County, New York",143
"Life, physical, and social science occupations",2010,Asian Alone,Male,"New York County, New York",1359
"Life, physical, and social science occupations",2010,Asian Alone,Male,"Queens County, New York",724
"Life, physical, and social science occupations",2010,Asian Alone,Male,"Richmond County, New York",50
Community and social service occupations,2010,Asian Alone,Male,"Bronx County, New York",118
Community and social service occupations,2010,Asian Alone,Male,"Kings County, New York",340
Community and social service occupations,2010,Asian Alone,Male,"New York County, New York",306
Community and social service occupations,2010,Asian Alone,Male,"Queens County, New York",1405
Community and social service occupations,2010,Asian Alone,Male,"Richmond County, New York",0
Legal occupations,2010,Asian Alone,Male,"Bronx County, New York",0
Legal occupations,2010,Asian Alone,Male,"Kings County, New York",395
Legal occupations,2010,Asian Alone,Male,"New York County, New York",2117
Legal occupations,2010,Asian Alone,Male,"Queens County, New York",1199
Legal occupations,2010,Asian Alone,Male,"Richmond County, New York",69
"Education, training, and library occupations",2010,Asian Alone,Male,"Bronx County, New York",407
"Education, training, and library occupations",2010,Asian Alone,Male,"Kings County, New York",1893
"Education, training, and library occupations",2010,Asian Alone,Male,"New York County, New York",1438
"Education, training, and library occupations",2010,Asian Alone,Male,"Queens County, New York",1700
"Education, training, and library occupations",2010,Asian Alone,Male,"Richmond County, New York",462
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Male,"Bronx County, New York",0
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Male,"Kings County, New York",1691
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Male,"New York County, New York",3200
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Male,"Queens County, New York",2440
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Male,"Richmond County, New York",186
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Male,"Bronx County, New York",514
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Male,"Kings County, New York",1775
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Male,"New York County, New York",2746
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Male,"Queens County, New York",4658
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Male,"Richmond County, New York",921
Health technologists and technicians,2010,Asian Alone,Male,"Bronx County, New York",157
Health technologists and technicians,2010,Asian Alone,Male,"Kings County, New York",546
Health technologists and technicians,2010,Asian Alone,Male,"New York County, New York",341
Health technologists and technicians,2010,Asian Alone,Male,"Queens County, New York",1472
Health technologists and technicians,2010,Asian Alone,Male,"Richmond County, New York",135
Healthcare support occupations,2010,Asian Alone,Male,"Bronx County, New York",48
Healthcare support occupations,2010,Asian Alone,Male,"Kings County, New York",755
Healthcare support occupations,2010,Asian Alone,Male,"New York County, New York",142
Healthcare support occupations,2010,Asian Alone,Male,"Queens County, New York",2581
Healthcare support occupations,2010,Asian Alone,Male,"Richmond County, New York",370
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Male,"Bronx County, New York",658
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Male,"Kings County, New York",536
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Male,"New York County, New York",219
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Male,"Queens County, New York",1831
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Male,"Richmond County, New York",119
Law enforcement workers including supervisors,2010,Asian Alone,Male,"Bronx County, New York",140
Law enforcement workers including supervisors,2010,Asian Alone,Male,"Kings County, New York",372
Law enforcement workers including supervisors,2010,Asian Alone,Male,"New York County, New York",0
Law enforcement workers including supervisors,2010,Asian Alone,Male,"Queens County, New York",1354
Law enforcement workers including supervisors,2010,Asian Alone,Male,"Richmond County, New York",0
Food preparation and serving related occupations,2010,Asian Alone,Male,"Bronx County, New York",1472
Food preparation and serving related occupations,2010,Asian Alone,Male,"Kings County, New York",14646
Food preparation and serving related occupations,2010,Asian Alone,Male,"New York County, New York",3934
Food preparation and serving related occupations,2010,Asian Alone,Male,"Queens County, New York",13650
Food preparation and serving related occupations,2010,Asian Alone,Male,"Richmond County, New York",952
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Male,"Bronx County, New York",533
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Male,"Kings County, New York",1491
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Male,"New York County, New York",376
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Male,"Queens County, New York",2458
Building and grounds cleaning and maintenance occupations,2010,Asian Alone,Male,"Richmond County, New York",50
Personal care and service occupations,2010,Asian Alone,Male,"Bronx County, New York",232
Personal care and service occupations,2010,Asian Alone,Male,"Kings County, New York",649
Personal care and service occupations,2010,Asian Alone,Male,"New York County, New York",604
Personal care and service occupations,2010,Asian Alone,Male,"Queens County, New York",3036
Personal care and service occupations,2010,Asian Alone,Male,"Richmond County, New York",190
Sales and related occupations,2010,Asian Alone,Male,"Bronx County, New York",1262
Sales and related occupations,2010,Asian Alone,Male,"Kings County, New York",6869
Sales and related occupations,2010,Asian Alone,Male,"New York County, New York",5507
Sales and related occupations,2010,Asian Alone,Male,"Queens County, New York",20826
Sales and related occupations,2010,Asian Alone,Male,"Richmond County, New York",573
Office and administrative support occupations,2010,Asian Alone,Male,"Bronx County, New York",1152
Office and administrative support occupations,2010,Asian Alone,Male,"Kings County, New York",6576
Office and administrative support occupations,2010,Asian Alone,Male,"New York County, New York",2256
Office and administrative support occupations,2010,Asian Alone,Male,"Queens County, New York",11489
Office and administrative support occupations,2010,Asian Alone,Male,"Richmond County, New York",536
"Farming, fishing, and forestry occupations",2010,Asian Alone,Male,"Bronx County, New York",103
"Farming, fishing, and forestry occupations",2010,Asian Alone,Male,"Kings County, New York",0
"Farming, fishing, and forestry occupations",2010,Asian Alone,Male,"New York County, New York",0
"Farming, fishing, and forestry occupations",2010,Asian Alone,Male,"Queens County, New York",126
"Farming, fishing, and forestry occupations",2010,Asian Alone,Male,"Richmond County, New York",86
Construction and extraction occupations,2010,Asian Alone,Male,"Bronx County, New York",1143
Construction and extraction occupations,2010,Asian Alone,Male,"Kings County, New York",5662
Construction and extraction occupations,2010,Asian Alone,Male,"New York County, New York",977
Construction and extraction occupations,2010,Asian Alone,Male,"Queens County, New York",7498
Construction and extraction occupations,2010,Asian Alone,Male,"Richmond County, New York",713
"Installation, maintenance, and repair occupations",2010,Asian Alone,Male,"Bronx County, New York",465
"Installation, maintenance, and repair occupations",2010,Asian Alone,Male,"Kings County, New York",1222
"Installation, maintenance, and repair occupations",2010,Asian Alone,Male,"New York County, New York",163
"Installation, maintenance, and repair occupations",2010,Asian Alone,Male,"Queens County, New York",3892
"Installation, maintenance, and repair occupations",2010,Asian Alone,Male,"Richmond County, New York",319
Production occupations,2010,Asian Alone,Male,"Bronx County, New York",403
Production occupations,2010,Asian Alone,Male,"Kings County, New York",4353
Production occupations,2010,Asian Alone,Male,"New York County, New York",558
Production occupations,2010,Asian Alone,Male,"Queens County, New York",6827
Production occupations,2010,Asian Alone,Male,"Richmond County, New York",222
Transportation occupations,2010,Asian Alone,Male,"Bronx County, New York",1185
Transportation occupations,2010,Asian Alone,Male,"Kings County, New York",6338
Transportation occupations,2010,Asian Alone,Male,"New York County, New York",1307
Transportation occupations,2010,Asian Alone,Male,"Queens County, New York",16827
Transportation occupations,2010,Asian Alone,Male,"Richmond County, New York",520
Material moving occupations,2010,Asian Alone,Male,"Bronx County, New York",286
Material moving occupations,2010,Asian Alone,Male,"Kings County, New York",1480
Material moving occupations,2010,Asian Alone,Male,"New York County, New York",353
Material moving occupations,2010,Asian Alone,Male,"Queens County, New York",1745
Material moving occupations,2010,Asian Alone,Male,"Richmond County, New York",160
Management occupations,2010,Asian Alone,Female,"Bronx County, New York",618
Management occupations,2010,Asian Alone,Female,"Kings County, New York",2023
Management occupations,2010,Asian Alone,Female,"New York County, New York",6885
Management occupations,2010,Asian Alone,Female,"Queens County, New York",6367
Management occupations,2010,Asian Alone,Female,"Richmond County, New York",565
Business and financial operations occupations,2010,Asian Alone,Female,"Bronx County, New York",745
Business and financial operations occupations,2010,Asian Alone,Female,"Kings County, New York",2760
Business and financial operations occupations,2010,Asian Alone,Female,"New York County, New York",7129
Business and financial operations occupations,2010,Asian Alone,Female,"Queens County, New York",7774
Business and financial operations occupations,2010,Asian Alone,Female,"Richmond County, New York",516
Computer and mathematical occupations,2010,Asian Alone,Female,"Bronx County, New York",0
Computer and mathematical occupations,2010,Asian Alone,Female,"Kings County, New York",566
Computer and mathematical occupations,2010,Asian Alone,Female,"New York County, New York",1100
Computer and mathematical occupations,2010,Asian Alone,Female,"Queens County, New York",1101
Computer and mathematical occupations,2010,Asian Alone,Female,"Richmond County, New York",47
Architecture and engineering occupations,2010,Asian Alone,Female,"Bronx County, New York",51
Architecture and engineering occupations,2010,Asian Alone,Female,"Kings County, New York",468
Architecture and engineering occupations,2010,Asian Alone,Female,"New York County, New York",620
Architecture and engineering occupations,2010,Asian Alone,Female,"Queens County, New York",485
Architecture and engineering occupations,2010,Asian Alone,Female,"Richmond County, New York",0
"Life, physical, and social science occupations",2010,Asian Alone,Female,"Bronx County, New York",179
"Life, physical, and social science occupations",2010,Asian Alone,Female,"Kings County, New York",297
"Life, physical, and social science occupations",2010,Asian Alone,Female,"New York County, New York",1732
"Life, physical, and social science occupations",2010,Asian Alone,Female,"Queens County, New York",1843
"Life, physical, and social science occupations",2010,Asian Alone,Female,"Richmond County, New York",27
Community and social service occupations,2010,Asian Alone,Female,"Bronx County, New York",0
Community and social service occupations,2010,Asian Alone,Female,"Kings County, New York",936
Community and social service occupations,2010,Asian Alone,Female,"New York County, New York",672
Community and social service occupations,2010,Asian Alone,Female,"Queens County, New York",894
Community and social service occupations,2010,Asian Alone,Female,"Richmond County, New York",152
Legal occupations,2010,Asian Alone,Female,"Bronx County, New York",112
Legal occupations,2010,Asian Alone,Female,"Kings County, New York",647
Legal occupations,2010,Asian Alone,Female,"New York County, New York",1746
Legal occupations,2010,Asian Alone,Female,"Queens County, New York",1444
Legal occupations,2010,Asian Alone,Female,"Richmond County, New York",0
"Education, training, and library occupations",2010,Asian Alone,Female,"Bronx County, New York",782
"Education, training, and library occupations",2010,Asian Alone,Female,"Kings County, New York",2109
"Education, training, and library occupations",2010,Asian Alone,Female,"New York County, New York",2929
"Education, training, and library occupations",2010,Asian Alone,Female,"Queens County, New York",4916
"Education, training, and library occupations",2010,Asian Alone,Female,"Richmond County, New York",189
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Female,"Bronx County, New York",341
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Female,"Kings County, New York",2789
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Female,"New York County, New York",4393
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Female,"Queens County, New York",3899
"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,Female,"Richmond County, New York",32
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Female,"Bronx County, New York",1512
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Female,"Kings County, New York",3209
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Female,"New York County, New York",4636
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Female,"Queens County, New York",7683
Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,Female,"Richmond County, New York",1531
Health technologists and technicians,2010,Asian Alone,Female,"Bronx County, New York",291
Health technologists and technicians,2010,Asian Alone,Female,"Kings County, New York",818
Health technologists and technicians,2010,Asian Alone,Female,"New York County, New York",434
Health technologists and technicians,2010,Asian Alone,Female,"Queens County, New York",2766
Health technologists and technicians,2010,Asian Alone,Female,"Richmond County, New York",85
Healthcare support occupations,2010,Asian Alone,Female,"Bronx County, New York",334
Healthcare support occupations,2010,Asian Alone,Female,"Kings County, New York",4681
Healthcare support occupations,2010,Asian Alone,Female,"New York County, New York",2029
Healthcare support occupations,2010,Asian Alone,Female,"Queens County, New York",6449
Healthcare support occupations,2010,Asian Alone,Female,"Richmond County, New York",406
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Female,"Bronx County, New York",0
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Female,"Kings County, New York",0
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Female,"New York County, New York",109
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Female,"Queens County, New York",794
"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,Female,"Richmond County, New York",33
Law enforcement workers including supervisors,2010,Asian Alone,Female,"Bronx County, New York",75
Law enforcement workers including supervisors,2010,Asian Alone,Female,"Kings County, New York",0
Law enforcement workers including supervisors,2010,Asian Alone,Female,"New York County, New York",0
