,Occupations,MeanNumEmp
0,Management occupations,663135.65
5,Business and financial operations occupations,380920.725
10,Computer and mathematical occupations,167944.175
15,Architecture and engineering occupations,63201.175
20,"Life, physical, and social science occupations",56755.475
25,Community and social service occupations,123546.7
30,Legal occupations,143838.45
35,"Education, training, and library occupations",425770.625
40,"Arts, design, entertainment, sports, and media occupations",337749.25
45,Health diagnosing and treating practitioners and other technical occupations,222635.775
50,Health technologists and technicians,79355.825
55,Healthcare support occupations,288822.275
60,"Fire fighting and prevention, and other protective service workers including supervisors",108201.775
65,Law enforcement workers including supervisors,58621.375
70,Food preparation and serving related occupations,381283.3
75,Building and grounds cleaning and maintenance occupations,298976.025
80,Personal care and service occupations,293855.025
85,Sales and related occupations,636928.175
90,Office and administrative support occupations,757015.25
95,"Farming, fishing, and forestry occupations",4864.525
100,Construction and extraction occupations,290423.6
105,"Installation, maintenance, and repair occupations",114837.85
110,Production occupations,169087.0
115,Transportation occupations,273026.775
120,Material moving occupations,100645.35
