,Occupations,year,County,YearlyNumEmpbyCounty
0,Management occupations,2010,"Bronx County, New York",42200.5
1,Management occupations,2010,"Kings County, New York",132032.0
2,Management occupations,2010,"New York County, New York",221198.0
3,Management occupations,2010,"Queens County, New York",125286.0
4,Management occupations,2010,"Richmond County, New York",34435.5
5,Business and financial operations occupations,2010,"Bronx County, New York",23358.75
6,Business and financial operations occupations,2010,"Kings County, New York",70856.0
7,Business and financial operations occupations,2010,"New York County, New York",152064.0
8,Business and financial operations occupations,2010,"Queens County, New York",76888.0
9,Business and financial operations occupations,2010,"Richmond County, New York",18700.5
10,Computer and mathematical occupations,2010,"Bronx County, New York",8008.25
11,Computer and mathematical occupations,2010,"Kings County, New York",41643.0
12,Computer and mathematical occupations,2010,"New York County, New York",41474.0
13,Computer and mathematical occupations,2010,"Queens County, New York",29692.0
14,Computer and mathematical occupations,2010,"Richmond County, New York",9019.0
15,Architecture and engineering occupations,2010,"Bronx County, New York",3549.75
16,Architecture and engineering occupations,2010,"Kings County, New York",18163.0
17,Architecture and engineering occupations,2010,"New York County, New York",14960.0
18,Architecture and engineering occupations,2010,"Queens County, New York",12635.0
19,Architecture and engineering occupations,2010,"Richmond County, New York",4918.5
20,"Life, physical, and social science occupations",2010,"Bronx County, New York",4338.5
21,"Life, physical, and social science occupations",2010,"Kings County, New York",9613.0
22,"Life, physical, and social science occupations",2010,"New York County, New York",25816.0
23,"Life, physical, and social science occupations",2010,"Queens County, New York",9580.0
24,"Life, physical, and social science occupations",2010,"Richmond County, New York",1219.0
25,Community and social service occupations,2010,"Bronx County, New York",22254.5
26,Community and social service occupations,2010,"Kings County, New York",41450.0
27,Community and social service occupations,2010,"New York County, New York",27160.0
28,Community and social service occupations,2010,"Queens County, New York",26318.0
29,Community and social service occupations,2010,"Richmond County, New York",5790.5
30,Legal occupations,2010,"Bronx County, New York",8451.25
31,Legal occupations,2010,"Kings County, New York",35118.0
32,Legal occupations,2010,"New York County, New York",72089.0
33,Legal occupations,2010,"Queens County, New York",18265.0
34,Legal occupations,2010,"Richmond County, New York",5635.0
35,"Education, training, and library occupations",2010,"Bronx County, New York",43506.0
36,"Education, training, and library occupations",2010,"Kings County, New York",119701.0
37,"Education, training, and library occupations",2010,"New York County, New York",117235.0
38,"Education, training, and library occupations",2010,"Queens County, New York",88592.0
39,"Education, training, and library occupations",2010,"Richmond County, New York",29344.0
