,Occupations,race,MeanNumEmpbyRace
0,Management occupations,Asian Alone,51997.1
5,Business and financial operations occupations,Asian Alone,43884.475
10,Computer and mathematical occupations,Asian Alone,25993.4
15,Architecture and engineering occupations,Asian Alone,7804.75
20,"Life, physical, and social science occupations",Asian Alone,6499.35
25,Community and social service occupations,Asian Alone,5577.775
30,Legal occupations,Asian Alone,7682.625
35,"Education, training, and library occupations",Asian Alone,23288.35
40,"Arts, design, entertainment, sports, and media occupations",Asian Alone,20710.0
45,Health diagnosing and treating practitioners and other technical occupations,Asian Alone,34869.025
50,Health technologists and technicians,Asian Alone,8984.025
55,Healthcare support occupations,Asian Alone,24484.05
60,"Fire fighting and prevention, and other protective service workers including supervisors",Asian Alone,4465.425
65,Law enforcement workers including supervisors,Asian Alone,2598.05
70,Food preparation and serving related occupations,Asian Alone,48766.45
75,Building and grounds cleaning and maintenance occupations,Asian Alone,13638.925
80,Personal care and service occupations,Asian Alone,31581.125
85,Sales and related occupations,Asian Alone,66329.325
90,Office and administrative support occupations,Asian Alone,61647.725
95,"Farming, fishing, and forestry occupations",Asian Alone,343.225
100,Construction and extraction occupations,Asian Alone,15679.5
105,"Installation, maintenance, and repair occupations",Asian Alone,7497.175
110,Production occupations,Asian Alone,20741.55
115,Transportation occupations,Asian Alone,35488.075
120,Material moving occupations,Asian Alone,6767.275
2500,Management occupations,BLACK OR AFRICAN AMERICAN ALONE,54302.6
2505,Business and financial operations occupations,BLACK OR AFRICAN AMERICAN ALONE,33746.3
2510,Computer and mathematical occupations,BLACK OR AFRICAN AMERICAN ALONE,12372.5
2515,Architecture and engineering occupations,BLACK OR AFRICAN AMERICAN ALONE,4676.5
2520,"Life, physical, and social science occupations",BLACK OR AFRICAN AMERICAN ALONE,2981.6
2525,Community and social service occupations,BLACK OR AFRICAN AMERICAN ALONE,34395.5
2530,Legal occupations,BLACK OR AFRICAN AMERICAN ALONE,8726.7
2535,"Education, training, and library occupations",BLACK OR AFRICAN AMERICAN ALONE,49246.3
2540,"Arts, design, entertainment, sports, and media occupations",BLACK OR AFRICAN AMERICAN ALONE,15563.6
2545,Health diagnosing and treating practitioners and other technical occupations,BLACK OR AFRICAN AMERICAN ALONE,32166.6
2550,Health technologists and technicians,BLACK OR AFRICAN AMERICAN ALONE,21601.5
2555,Healthcare support occupations,BLACK OR AFRICAN AMERICAN ALONE,91910.1
2560,"Fire fighting and prevention, and other protective service workers including supervisors",BLACK OR AFRICAN AMERICAN ALONE,34778.2
2565,Law enforcement workers including supervisors,BLACK OR AFRICAN AMERICAN ALONE,14939.7
2570,Food preparation and serving related occupations,BLACK OR AFRICAN AMERICAN ALONE,34734.3
2575,Building and grounds cleaning and maintenance occupations,BLACK OR AFRICAN AMERICAN ALONE,46143.1
2580,Personal care and service occupations,BLACK OR AFRICAN AMERICAN ALONE,52722.2
2585,Sales and related occupations,BLACK OR AFRICAN AMERICAN ALONE,75549.0
2590,Office and administrative support occupations,BLACK OR AFRICAN AMERICAN ALONE,132464.3
2595,"Farming, fishing, and forestry occupations",BLACK OR AFRICAN AMERICAN ALONE,266.1
2600,Construction and extraction occupations,BLACK OR AFRICAN AMERICAN ALONE,31857.3
2605,"Installation, maintenance, and repair occupations",BLACK OR AFRICAN AMERICAN ALONE,19155.5
2610,Production occupations,BLACK OR AFRICAN AMERICAN ALONE,16399.5
2615,Transportation occupations,BLACK OR AFRICAN AMERICAN ALONE,52803.5
2620,Material moving occupations,BLACK OR AFRICAN AMERICAN ALONE,16416.5
5000,Management occupations,HISPANIC OR LATINO,62202.2
5005,Business and financial operations occupations,HISPANIC OR LATINO,28606.8
5010,Computer and mathematical occupations,HISPANIC OR LATINO,11667.5
5015,Architecture and engineering occupations,HISPANIC OR LATINO,5328.2
5020,"Life, physical, and social science occupations",HISPANIC OR LATINO,3880.9
5025,Community and social service occupations,HISPANIC OR LATINO,18007.3
5030,Legal occupations,HISPANIC OR LATINO,8714.6
5035,"Education, training, and library occupations",HISPANIC OR LATINO,46020.9
5040,"Arts, design, entertainment, sports, and media occupations",HISPANIC OR LATINO,22973.6
5045,Health diagnosing and treating practitioners and other technical occupations,HISPANIC OR LATINO,13966.5
5050,Health technologists and technicians,HISPANIC OR LATINO,12056.7
5055,Healthcare support occupations,HISPANIC OR LATINO,61398.8
5060,"Fire fighting and prevention, and other protective service workers including supervisors",HISPANIC OR LATINO,20015.0
5065,Law enforcement workers including supervisors,HISPANIC OR LATINO,10229.2
5070,Food preparation and serving related occupations,HISPANIC OR LATINO,103035.4
5075,Building and grounds cleaning and maintenance occupations,HISPANIC OR LATINO,97083.0
5080,Personal care and service occupations,HISPANIC OR LATINO,64233.7
5085,Sales and related occupations,HISPANIC OR LATINO,99116.4
5090,Office and administrative support occupations,HISPANIC OR LATINO,131105.4
5095,"Farming, fishing, and forestry occupations",HISPANIC OR LATINO,1493.8
5100,Construction and extraction occupations,HISPANIC OR LATINO,76814.1
5105,"Installation, maintenance, and repair occupations",HISPANIC OR LATINO,24607.1
