,Occupations,year,race,YearlyNumEmpbyRace
0,Management occupations,2010,Asian Alone,39480.0
5,Business and financial operations occupations,2010,Asian Alone,36385.0
10,Computer and mathematical occupations,2010,Asian Alone,16466.0
15,Architecture and engineering occupations,2010,Asian Alone,5240.0
20,"Life, physical, and social science occupations",2010,Asian Alone,6441.0
25,Community and social service occupations,2010,Asian Alone,4823.0
30,Legal occupations,2010,Asian Alone,7729.0
35,"Education, training, and library occupations",2010,Asian Alone,16825.0
40,"Arts, design, entertainment, sports, and media occupations",2010,Asian Alone,18971.0
45,Health diagnosing and treating practitioners and other technical occupations,2010,Asian Alone,29185.0
50,Health technologists and technicians,2010,Asian Alone,7045.0
55,Healthcare support occupations,2010,Asian Alone,17795.0
60,"Fire fighting and prevention, and other protective service workers including supervisors",2010,Asian Alone,4299.0
65,Law enforcement workers including supervisors,2010,Asian Alone,2005.0
70,Food preparation and serving related occupations,2010,Asian Alone,46929.0
75,Building and grounds cleaning and maintenance occupations,2010,Asian Alone,12548.0
80,Personal care and service occupations,2010,Asian Alone,29419.0
85,Sales and related occupations,2010,Asian Alone,63224.0
90,Office and administrative support occupations,2010,Asian Alone,62338.0
95,"Farming, fishing, and forestry occupations",2010,Asian Alone,613.0
100,Construction and extraction occupations,2010,Asian Alone,16547.0
105,"Installation, maintenance, and repair occupations",2010,Asian Alone,6209.0
110,Production occupations,2010,Asian Alone,23294.0
115,Transportation occupations,2010,Asian Alone,26877.0
120,Material moving occupations,2010,Asian Alone,6501.0
250,Management occupations,2011,Asian Alone,35916.0
255,Business and financial operations occupations,2011,Asian Alone,38724.0
260,Computer and mathematical occupations,2011,Asian Alone,19615.0
265,Architecture and engineering occupations,2011,Asian Alone,6442.0
270,"Life, physical, and social science occupations",2011,Asian Alone,5564.0
275,Community and social service occupations,2011,Asian Alone,4464.0
280,Legal occupations,2011,Asian Alone,6409.0
285,"Education, training, and library occupations",2011,Asian Alone,21888.0
290,"Arts, design, entertainment, sports, and media occupations",2011,Asian Alone,18726.0
295,Health diagnosing and treating practitioners and other technical occupations,2011,Asian Alone,31022.0
300,Health technologists and technicians,2011,Asian Alone,7778.0
305,Healthcare support occupations,2011,Asian Alone,16828.0
310,"Fire fighting and prevention, and other protective service workers including supervisors",2011,Asian Alone,3071.0
315,Law enforcement workers including supervisors,2011,Asian Alone,1248.0
320,Food preparation and serving related occupations,2011,Asian Alone,49453.0
325,Building and grounds cleaning and maintenance occupations,2011,Asian Alone,13559.0
330,Personal care and service occupations,2011,Asian Alone,27891.0
335,Sales and related occupations,2011,Asian Alone,63035.0
340,Office and administrative support occupations,2011,Asian Alone,58684.0
345,"Farming, fishing, and forestry occupations",2011,Asian Alone,463.0
350,Construction and extraction occupations,2011,Asian Alone,13658.0
355,"Installation, maintenance, and repair occupations",2011,Asian Alone,7777.0
360,Production occupations,2011,Asian Alone,19553.0
365,Transportation occupations,2011,Asian Alone,32105.0
370,Material moving occupations,2011,Asian Alone,7348.0
500,Management occupations,2012,Asian Alone,45445.0
505,Business and financial operations occupations,2012,Asian Alone,40607.875
510,Computer and mathematical occupations,2012,Asian Alone,20113.0
515,Architecture and engineering occupations,2012,Asian Alone,7435.25
520,"Life, physical, and social science occupations",2012,Asian Alone,5489.75
525,Community and social service occupations,2012,Asian Alone,5388.875
530,Legal occupations,2012,Asian Alone,7103.625
