,Occupations,year,YearlyNumEmp
0,Management occupations,2010,555152.0
5,Business and financial operations occupations,2010,341867.25
10,Computer and mathematical occupations,2010,129836.25
15,Architecture and engineering occupations,2010,54226.25
20,"Life, physical, and social science occupations",2010,50566.5
25,Community and social service occupations,2010,122973.0
30,Legal occupations,2010,139558.25
35,"Education, training, and library occupations",2010,398378.0
40,"Arts, design, entertainment, sports, and media occupations",2010,297418.0
45,Health diagnosing and treating practitioners and other technical occupations,2010,198486.5
50,Health technologists and technicians,2010,66799.0
55,Healthcare support occupations,2010,253999.0
60,"Fire fighting and prevention, and other protective service workers including supervisors",2010,104832.5
65,Law enforcement workers including supervisors,2010,57374.25
70,Food preparation and serving related occupations,2010,336968.75
75,Building and grounds cleaning and maintenance occupations,2010,299408.0
80,Personal care and service occupations,2010,274269.25
85,Sales and related occupations,2010,621491.25
90,Office and administrative support occupations,2010,779811.5
95,"Farming, fishing, and forestry occupations",2010,3604.0
100,Construction and extraction occupations,2010,276049.5
105,"Installation, maintenance, and repair occupations",2010,111808.25
110,Production occupations,2010,193545.5
115,Transportation occupations,2010,240034.5
120,Material moving occupations,2010,102361.25
250,Management occupations,2011,538868.0
255,Business and financial operations occupations,2011,347058.25
260,Computer and mathematical occupations,2011,129610.25
265,Architecture and engineering occupations,2011,62655.25
270,"Life, physical, and social science occupations",2011,56399.5
275,Community and social service occupations,2011,104616.0
280,Legal occupations,2011,145403.25
285,"Education, training, and library occupations",2011,386141.0
290,"Arts, design, entertainment, sports, and media occupations",2011,314854.0
295,Health diagnosing and treating practitioners and other technical occupations,2011,194109.5
300,Health technologists and technicians,2011,68263.0
305,Healthcare support occupations,2011,257936.0
310,"Fire fighting and prevention, and other protective service workers including supervisors",2011,109542.5
315,Law enforcement workers including supervisors,2011,54686.25
320,Food preparation and serving related occupations,2011,376449.75
325,Building and grounds cleaning and maintenance occupations,2011,294417.0
330,Personal care and service occupations,2011,296898.25
335,Sales and related occupations,2011,659189.25
340,Office and administrative support occupations,2011,776806.5
345,"Farming, fishing, and forestry occupations",2011,8709.0
350,Construction and extraction occupations,2011,275838.5
355,"Installation, maintenance, and repair occupations",2011,114664.25
360,Production occupations,2011,180604.5
365,Transportation occupations,2011,235066.5
370,Material moving occupations,2011,87665.25
500,Management occupations,2012,603437.5
505,Business and financial operations occupations,2012,348813.625
510,Computer and mathematical occupations,2012,145511.25
515,Architecture and engineering occupations,2012,57477.0
520,"Life, physical, and social science occupations",2012,52814.25
525,Community and social service occupations,2012,116521.375
530,Legal occupations,2012,145999.875
535,"Education, training, and library occupations",2012,409996.25
540,"Arts, design, entertainment, sports, and media occupations",2012,322478.5
545,Health diagnosing and treating practitioners and other technical occupations,2012,213491.125
550,Health technologists and technicians,2012,69781.125
555,Healthcare support occupations,2012,260978.75
560,"Fire fighting and prevention, and other protective service workers including supervisors",2012,111721.625
565,Law enforcement workers including supervisors,2012,60926.0
570,Food preparation and serving related occupations,2012,367739.0
575,Building and grounds cleaning and maintenance occupations,2012,287872.125
580,Personal care and service occupations,2012,295994.875
585,Sales and related occupations,2012,661007.375
590,Office and administrative support occupations,2012,778614.625
595,"Farming, fishing, and forestry occupations",2012,4098.125
600,Construction and extraction occupations,2012,274084.0
605,"Installation, maintenance, and repair occupations",2012,112345.125
610,Production occupations,2012,187946.75
615,Transportation occupations,2012,257435.875
620,Material moving occupations,2012,95917.625
750,Management occupations,2013,629771.25
755,Business and financial operations occupations,2013,370954.75
760,Computer and mathematical occupations,2013,158481.875
765,Architecture and engineering occupations,2013,51836.625
770,"Life, physical, and social science occupations",2013,50389.625
775,Community and social service occupations,2013,124456.625
780,Legal occupations,2013,133874.125
785,"Education, training, and library occupations",2013,425314.375
790,"Arts, design, entertainment, sports, and media occupations",2013,348746.25
795,Health diagnosing and treating practitioners and other technical occupations,2013,218173.75
800,Health technologists and technicians,2013,68170.5
805,Healthcare support occupations,2013,275692.625
810,"Fire fighting and prevention, and other protective service workers including supervisors",2013,107395.25
815,Law enforcement workers including supervisors,2013,55362.125
820,Food preparation and serving related occupations,2013,371458.25
825,Building and grounds cleaning and maintenance occupations,2013,317784.5
830,Personal care and service occupations,2013,289360.5
835,Sales and related occupations,2013,652067.75
840,Office and administrative support occupations,2013,768034.125
845,"Farming, fishing, and forestry occupations",2013,4093.0
850,Construction and extraction occupations,2013,277003.0
855,"Installation, maintenance, and repair occupations",2013,127171.375
860,Production occupations,2013,170748.25
865,Transportation occupations,2013,251799.5
870,Material moving occupations,2013,94607.875
1000,Management occupations,2014,685725.25
1005,Business and financial operations occupations,2014,374852.5
1010,Computer and mathematical occupations,2014,157821.625
1015,Architecture and engineering occupations,2014,62845.375
1020,"Life, physical, and social science occupations",2014,53213.125
1025,Community and social service occupations,2014,120567.625
1030,Legal occupations,2014,140116.875
1035,"Education, training, and library occupations",2014,433337.375
1040,"Arts, design, entertainment, sports, and media occupations",2014,326988.25
1045,Health diagnosing and treating practitioners and other technical occupations,2014,222505.25
1050,Health technologists and technicians,2014,81922.5
1055,Healthcare support occupations,2014,261548.625
1060,"Fire fighting and prevention, and other protective service workers including supervisors",2014,101078.75
1065,Law enforcement workers including supervisors,2014,57527.875
1070,Food preparation and serving related occupations,2014,398292.5
1075,Building and grounds cleaning and maintenance occupations,2014,310608.5
1080,Personal care and service occupations,2014,302526.25
1085,Sales and related occupations,2014,652031.5
1090,Office and administrative support occupations,2014,767100.625
1095,"Farming, fishing, and forestry occupations",2014,4364.0
1100,Construction and extraction occupations,2014,298331.5
1105,"Installation, maintenance, and repair occupations",2014,114496.125
1110,Production occupations,2014,170006.75
1115,Transportation occupations,2014,280691.0
1120,Material moving occupations,2014,90894.625
1250,Management occupations,2015,710697.5
1255,Business and financial operations occupations,2015,378538.5
1260,Computer and mathematical occupations,2015,166344.0
1265,Architecture and engineering occupations,2015,61046.5
1270,"Life, physical, and social science occupations",2015,61940.0
1275,Community and social service occupations,2015,125916.5
1280,Legal occupations,2015,149847.0
1285,"Education, training, and library occupations",2015,448925.0
1290,"Arts, design, entertainment, sports, and media occupations",2015,346099.5
1295,Health diagnosing and treating practitioners and other technical occupations,2015,226249.5
1300,Health technologists and technicians,2015,91912.0
1305,Healthcare support occupations,2015,271790.5
1310,"Fire fighting and prevention, and other protective service workers including supervisors",2015,106526.5
1315,Law enforcement workers including supervisors,2015,58624.5
1320,Food preparation and serving related occupations,2015,413959.0
1325,Building and grounds cleaning and maintenance occupations,2015,298689.5
1330,Personal care and service occupations,2015,308635.5
1335,Sales and related occupations,2015,639599.0
1340,Office and administrative support occupations,2015,790438.5
1345,"Farming, fishing, and forestry occupations",2015,6223.0
1350,Construction and extraction occupations,2015,293826.5
1355,"Installation, maintenance, and repair occupations",2015,123636.5
1360,Production occupations,2015,171431.5
1365,Transportation occupations,2015,288061.0
1370,Material moving occupations,2015,83841.5
1500,Management occupations,2016,738015.0
1505,Business and financial operations occupations,2016,381351.25
1510,Computer and mathematical occupations,2016,182507.25
1515,Architecture and engineering occupations,2016,68765.25
1520,"Life, physical, and social science occupations",2016,58716.5
1525,Community and social service occupations,2016,133204.0
1530,Legal occupations,2016,150222.25
