"Occupations","variance","year","NumEmps"
"Management occupations",194739,"2010",552620
"Management occupations",194739,"2015",709516
"Management occupations",194739,"2019",747359
"Business and financial operations occupations",96636,"2010",340107
"Business and financial operations occupations",96636,"2015",377498
"Business and financial operations occupations",96636,"2019",436743
"Computer and mathematical occupations",83185,"2010",129308
"Computer and mathematical occupations",83185,"2015",166344
"Computer and mathematical occupations",83185,"2019",212493
"Architecture and engineering occupations",21336,"2010",53954
"Architecture and engineering occupations",21336,"2015",60958
"Architecture and engineering occupations",21336,"2019",75290
"Life, physical, and social science occupations",11372,"2010",50490
"Life, physical, and social science occupations",11372,"2015",61916
"Life, physical, and social science occupations",11372,"2019",61862
"Community and social service occupations",11378,"2010",121263
"Community and social service occupations",11378,"2015",124836
"Community and social service occupations",11378,"2019",132641
"Legal occupations",7954,"2010",139172
"Legal occupations",7954,"2015",149581
"Legal occupations",7954,"2019",147126
"Education, training, and library occupations",395908,"2010",395908
"Education, training, and library occupations",395908,"2015",447813
"Education, training, and library occupations",395908,"2019",0
"Arts, design, entertainment, sports, and media occupations",52297,"2010",296670
"Arts, design, entertainment, sports, and media occupations",52297,"2015",345721
"Arts, design, entertainment, sports, and media occupations",52297,"2019",348967
"Health diagnosing and treating practitioners and other technical occupations",43449,"2010",197194
"Health diagnosing and treating practitioners and other technical occupations",43449,"2015",225416
"Health diagnosing and treating practitioners and other technical occupations",43449,"2019",240643
"Health technologists and technicians",22083,"2010",65780
"Health technologists and technicians",22083,"2015",91317
"Health technologists and technicians",22083,"2019",87863
"Healthcare support occupations",117726,"2010",250331
"Healthcare support occupations",117726,"2015",269607
"Healthcare support occupations",117726,"2019",368057
"Fire fighting and prevention, and other protective service workers including supervisors",103256,"2010",103256
"Fire fighting and prevention, and other protective service workers including supervisors",103256,"2015",105670
"Fire fighting and prevention, and other protective service workers including supervisors",103256,"2019",0
"Law enforcement workers including supervisors",4127,"2010",56339
"Law enforcement workers including supervisors",4127,"2015",57791
"Law enforcement workers including supervisors",4127,"2019",60466
"Food preparation and serving related occupations",51714,"2010",334520
"Food preparation and serving related occupations",51714,"2015",412978
"Food preparation and serving related occupations",51714,"2019",386234
"Building and grounds cleaning and maintenance occupations",17569,"2010",297522
"Building and grounds cleaning and maintenance occupations",17569,"2015",298084
"Building and grounds cleaning and maintenance occupations",17569,"2019",279953
"Personal care and service occupations",19233,"2010",271890
"Personal care and service occupations",19233,"2015",307430
"Personal care and service occupations",19233,"2019",252657
"Sales and related occupations",13287,"2010",617483
"Sales and related occupations",13287,"2015",637868
"Sales and related occupations",13287,"2019",604196
"Office and administrative support occupations",142264,"2010",774468
"Office and administrative support occupations",142264,"2015",788184
"Office and administrative support occupations",142264,"2019",632204
"Farming, fishing, and forestry occupations",1586,"2010",3604
"Farming, fishing, and forestry occupations",1586,"2015",6223
"Farming, fishing, and forestry occupations",1586,"2019",5190
"Construction and extraction occupations",28122,"2010",274780
"Construction and extraction occupations",28122,"2015",293301
"Construction and extraction occupations",28122,"2019",302902
"Installation, maintenance, and repair occupations",674,"2010",110658
"Installation, maintenance, and repair occupations",674,"2015",123231
"Installation, maintenance, and repair occupations",674,"2019",109984
"Production occupations",43142,"2010",192094
"Production occupations",43142,"2015",170848
"Production occupations",43142,"2019",148952
"Transportation occupations",43825,"2010",238416
"Transportation occupations",43825,"2015",287466
"Transportation occupations",43825,"2019",282241
"Material moving occupations",30957,"2010",101287
"Material moving occupations",30957,"2015",83288
"Material moving occupations",30957,"2019",132244
