,Occupations,NumEmps,year
0,Management occupations,552620.0,2010
1,Business and financial operations occupations,340107.0,2010
2,Computer and mathematical occupations,129308.0,2010
3,Architecture and engineering occupations,53954.0,2010
4,"Life, physical, and social science occupations",50490.0,2010
5,Community and social service occupations,121263.0,2010
6,Legal occupations,139172.0,2010
7,"Education, training, and library occupations",395908.0,2010
8,"Arts, design, entertainment, sports, and media occupations",296670.0,2010
9,Health diagnosing and treating practitioners and other technical occupations,197194.0,2010
10,Health technologists and technicians,65780.0,2010
11,Healthcare support occupations,250331.0,2010
12,"Fire fighting and prevention, and other protective service workers including supervisors",103256.0,2010
13,Law enforcement workers including supervisors,56339.0,2010
14,Food preparation and serving related occupations,334520.0,2010
15,Building and grounds cleaning and maintenance occupations,297522.0,2010
16,Personal care and service occupations,271890.0,2010
17,Sales and related occupations,617483.0,2010
18,Office and administrative support occupations,774468.0,2010
19,"Farming, fishing, and forestry occupations",3604.0,2010
20,Construction and extraction occupations,274780.0,2010
21,"Installation, maintenance, and repair occupations",110658.0,2010
22,Production occupations,192094.0,2010
23,Transportation occupations,238416.0,2010
24,Material moving occupations,101287.0,2010
0,Management occupations,536336.0,2011
1,Business and financial operations occupations,345298.0,2011
2,Computer and mathematical occupations,129082.0,2011
3,Architecture and engineering occupations,62383.0,2011
4,"Life, physical, and social science occupations",56323.0,2011
5,Community and social service occupations,102906.0,2011
6,Legal occupations,145017.0,2011
7,"Education, training, and library occupations",383671.0,2011
8,"Arts, design, entertainment, sports, and media occupations",314106.0,2011
9,Health diagnosing and treating practitioners and other technical occupations,192817.0,2011
10,Health technologists and technicians,67244.0,2011
11,Healthcare support occupations,254268.0,2011
12,"Fire fighting and prevention, and other protective service workers including supervisors",107966.0,2011
13,Law enforcement workers including supervisors,53651.0,2011
14,Food preparation and serving related occupations,374001.0,2011
15,Building and grounds cleaning and maintenance occupations,292531.0,2011
16,Personal care and service occupations,294519.0,2011
17,Sales and related occupations,655181.0,2011
18,Office and administrative support occupations,771463.0,2011
19,"Farming, fishing, and forestry occupations",8709.0,2011
20,Construction and extraction occupations,274569.0,2011
21,"Installation, maintenance, and repair occupations",113514.0,2011
22,Production occupations,179153.0,2011
23,Transportation occupations,233448.0,2011
24,Material moving occupations,86591.0,2011
0,Management occupations,600539.0,2012
1,Business and financial operations occupations,346544.0,2012
2,Computer and mathematical occupations,144152.0,2012
3,Architecture and engineering occupations,56954.0,2012
4,"Life, physical, and social science occupations",52597.0,2012
5,Community and social service occupations,115555.0,2012
6,Legal occupations,145743.0,2012
7,"Education, training, and library occupations",407914.0,2012
8,"Arts, design, entertainment, sports, and media occupations",321792.0,2012
9,Health diagnosing and treating practitioners and other technical occupations,210654.0,2012
10,Health technologists and technicians,68788.0,2012
11,Healthcare support occupations,258318.0,2012
12,"Fire fighting and prevention, and other protective service workers including supervisors",110810.0,2012
13,Law enforcement workers including supervisors,60559.0,2012
14,Food preparation and serving related occupations,365191.0,2012
15,Building and grounds cleaning and maintenance occupations,286026.0,2012
16,Personal care and service occupations,294057.0,2012
17,Sales and related occupations,656505.0,2012
18,Office and administrative support occupations,773268.0,2012
19,"Farming, fishing, and forestry occupations",4050.0,2012
20,Construction and extraction occupations,272891.0,2012
21,"Installation, maintenance, and repair occupations",111275.0,2012
22,Production occupations,186414.0,2012
23,Transportation occupations,255455.0,2012
24,Material moving occupations,95240.0,2012
0,Management occupations,623345.0,2013
1,Business and financial operations occupations,366764.0,2013
2,Computer and mathematical occupations,156797.0,2013
3,Architecture and engineering occupations,51193.0,2013
4,"Life, physical, and social science occupations",49862.0,2013
5,Community and social service occupations,122204.0,2013
6,Legal occupations,132560.0,2013
7,"Education, training, and library occupations",420555.0,2013
8,"Arts, design, entertainment, sports, and media occupations",346127.0,2013
9,Health diagnosing and treating practitioners and other technical occupations,215899.0,2013
10,Health technologists and technicians,66923.0,2013
11,Healthcare support occupations,270652.0,2013
12,"Fire fighting and prevention, and other protective service workers including supervisors",105423.0,2013
13,Law enforcement workers including supervisors,54208.0,2013
14,Food preparation and serving related occupations,366800.0,2013
15,Building and grounds cleaning and maintenance occupations,314297.0,2013
16,Personal care and service occupations,285323.0,2013
17,Sales and related occupations,645353.0,2013
18,Office and administrative support occupations,758967.0,2013
19,"Farming, fishing, and forestry occupations",4093.0,2013
20,Construction and extraction occupations,274792.0,2013
21,"Installation, maintenance, and repair occupations",125470.0,2013
22,Production occupations,168698.0,2013
23,Transportation occupations,249087.0,2013
24,Material moving occupations,93078.0,2013
0,Management occupations,681831.0,2014
1,Business and financial operations occupations,372422.0,2014
2,Computer and mathematical occupations,156665.0,2014
3,Architecture and engineering occupations,62474.0,2014
4,"Life, physical, and social science occupations",52762.0,2014
5,Community and social service occupations,120025.0,2014
6,Legal occupations,139189.0,2014
