Occupations,year,YearlyNumEmp,AvgEmp,Normalized
Management occupations,2010,555152.0,663135.65,0.837162049725422
Business and financial operations occupations,2010,341867.25,380920.725,0.897476108710021
Computer and mathematical occupations,2010,129836.25,167944.175,0.7730917133624909
Architecture and engineering occupations,2010,54226.25,63201.175,0.8579943331749765
"Life, physical, and social science occupations",2010,50566.5,56755.475,0.8909536921327854
Community and social service occupations,2010,122973.0,123546.7,0.9953564117859887
Legal occupations,2010,139558.25,143838.45,0.9702430052604153
"Education, training, and library occupations",2010,398378.0,425770.625,0.9356634220597064
"Arts, design, entertainment, sports, and media occupations",2010,297418.0,337749.25,0.880588187834614
Health diagnosing and treating practitioners and other technical occupations,2010,198486.5,222635.775,0.8915301235841365
Health technologists and technicians,2010,66799.0,79355.825,0.8417655540724327
Healthcare support occupations,2010,253999.0,288822.275,0.8794300924331407
"Fire fighting and prevention, and other protective service workers including supervisors",2010,104832.5,108201.775,0.9688611855027333
Law enforcement workers including supervisors,2010,57374.25,58621.375,0.9787257634267365
Food preparation and serving related occupations,2010,336968.75,381283.3,0.8837752663177223
Building and grounds cleaning and maintenance occupations,2010,299408.0,298976.025,1.00144484829511
Personal care and service occupations,2010,274269.25,293855.025,0.9333488511894598
Sales and related occupations,2010,621491.25,636928.175,0.9757634759994719
Office and administrative support occupations,2010,779811.5,757015.25,1.0301133299494296
"Farming, fishing, and forestry occupations",2010,3604.0,4864.525,0.7408739805016934
Construction and extraction occupations,2010,276049.5,290423.6,0.950506432672827
"Installation, maintenance, and repair occupations",2010,111808.25,114837.85,0.973618454194327
Production occupations,2010,193545.5,169087.0,1.1446503870788411
Transportation occupations,2010,240034.5,273026.775,0.8791610273388021
Material moving occupations,2010,102361.25,100645.35,1.0170489744434292
Management occupations,2011,538868.0,663135.65,0.8126059879302221
Business and financial operations occupations,2011,347058.25,380920.725,0.9111036161133003
Computer and mathematical occupations,2011,129610.25,167944.175,0.7717460281072566
Architecture and engineering occupations,2011,62655.25,63201.175,0.9913621067962739
"Life, physical, and social science occupations",2011,56399.5,56755.475,0.9937279178792883
Community and social service occupations,2011,104616.0,123546.7,0.8467729206850527
Legal occupations,2011,145403.25,143838.45,1.010878871400519
"Education, training, and library occupations",2011,386141.0,425770.625,0.9069225947656675
"Arts, design, entertainment, sports, and media occupations",2011,314854.0,337749.25,0.9322122847052954
Health diagnosing and treating practitioners and other technical occupations,2011,194109.5,222635.775,0.8718702104367548
