Occupations,NumEmps
Management occupations,660291.7
Business and financial operations occupations,378860.4
Computer and mathematical occupations,167229.7
Architecture and engineering occupations,62878.0
"Life, physical, and social science occupations",56581.6
Community and social service occupations,122128.7
Legal occupations,143340.6
"Education, training, and library occupations",332511.1
"Arts, design, entertainment, sports, and media occupations",336787.1
Healthcare practitioners and technical occupations:,299487.4
"Fire fighting and prevention, and other protective service workers including supervisors",84213.3
Law enforcement workers including supervisors,57776.7
Food preparation and serving related occupations,378959.9
Sales and related occupations,633190.7
Office and administrative support occupations,752162.0
"Farming, fishing, and forestry occupations",4854.9
Construction and extraction occupations,289278.7
"Installation, maintenance, and repair occupations",113891.3
Production occupations,167846.7
Transportation occupations,271526.4
Material moving occupations,99767.6
