Occupations,NumEmps,Gender
Management occupations,290732.8,Female
Business and financial operations occupations,189071.3,Female
Computer and mathematical occupations,42331.0,Female
Architecture and engineering occupations,14296.2,Female
"Life, physical, and social science occupations",31733.9,Female
Community and social service occupations,83211.9,Female
Legal occupations,70556.5,Female
"Education, training, and library occupations",231593.5,Female
"Arts, design, entertainment, sports, and media occupations",163110.4,Female
Health diagnosing and treating practitioners and other technical occupations,155359.7,Female
Health technologists and technicians,54142.8,Female
Healthcare support occupations,255398.0,Female
"Fire fighting and prevention, and other protective service workers including supervisors",19963.5,Female
Law enforcement workers including supervisors,15787.9,Female
Food preparation and serving related occupations,129038.1,Female
Building and grounds cleaning and maintenance occupations,138153.7,Female
Personal care and service occupations,210094.0,Female
Sales and related occupations,301342.7,Female
Office and administrative support occupations,501803.2,Female
"Farming, fishing, and forestry occupations",1391.3,Female
Construction and extraction occupations,8424.2,Female
"Installation, maintenance, and repair occupations",5015.0,Female
Production occupations,59768.0,Female
Transportation occupations,26771.9,Female
Material moving occupations,20027.8,Female
Management occupations,369558.9,Male
Business and financial operations occupations,189789.1,Male
Computer and mathematical occupations,124898.7,Male
Architecture and engineering occupations,48581.8,Male
"Life, physical, and social science occupations",24847.7,Male
Community and social service occupations,38916.8,Male
Legal occupations,72784.1,Male
"Education, training, and library occupations",100917.6,Male
"Arts, design, entertainment, sports, and media occupations",173676.7,Male
Health diagnosing and treating practitioners and other technical occupations,65661.8,Male
Health technologists and technicians,24323.1,Male
Healthcare support occupations,30277.0,Male
"Fire fighting and prevention, and other protective service workers including supervisors",64249.8,Male
Law enforcement workers including supervisors,41988.8,Male
Food preparation and serving related occupations,249921.8,Male
Building and grounds cleaning and maintenance occupations,159136.2,Male
Personal care and service occupations,81607.9,Male
Sales and related occupations,331848.0,Male
Office and administrative support occupations,250358.8,Male
"Farming, fishing, and forestry occupations",3463.6,Male
Construction and extraction occupations,280854.5,Male
"Installation, maintenance, and repair occupations",108876.3,Male
Production occupations,108078.7,Male
Transportation occupations,244754.5,Male
Material moving occupations,79739.8,Male
