,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",race,year
4,Management occupations_Male,458.0,3330,7144.0,11371,719.0,Asian Alone,2010
5,Business and financial operations occupations_Male,645.0,2069,5636.0,8411,700.0,Asian Alone,2010
7,Computer and mathematical occupations_Male,544.0,2635,3904.0,6097,472.0,Asian Alone,2010
8,Architecture and engineering occupations_Male,271.0,872,402.0,1773,298.0,Asian Alone,2010
9,"Life, physical, and social science occupations_Male",87.0,143,1359.0,724,50.0,Asian Alone,2010
11,Community and social service occupations_Male,118.0,340,306.0,1405,0.0,Asian Alone,2010
12,Legal occupations_Male,0.0,395,2117.0,1199,69.0,Asian Alone,2010
13,"Education, training, and library occupations_Male",407.0,1893,1438.0,1700,462.0,Asian Alone,2010
14,"Arts, design, entertainment, sports, and media occupations_Male",0.0,1691,3200.0,2440,186.0,Asian Alone,2010
16,Health diagnosing and treating practitioners and other technical occupations_Male,514.0,1775,2746.0,4658,921.0,Asian Alone,2010
17,Health technologists and technicians_Male,157.0,546,341.0,1472,135.0,Asian Alone,2010
19,Healthcare support occupations_Male,48.0,755,142.0,2581,370.0,Asian Alone,2010
21,"Fire fighting and prevention, and other protective service workers including supervisors_Male",658.0,536,219.0,1831,119.0,Asian Alone,2010
22,Law enforcement workers including supervisors_Male,140.0,372,0.0,1354,0.0,Asian Alone,2010
23,Food preparation and serving related occupations_Male,1472.0,14646,3934.0,13650,952.0,Asian Alone,2010
24,Building and grounds cleaning and maintenance occupations_Male,533.0,1491,376.0,2458,50.0,Asian Alone,2010
25,Personal care and service occupations_Male,232.0,649,604.0,3036,190.0,Asian Alone,2010
27,Sales and related occupations_Male,1262.0,6869,5507.0,20826,573.0,Asian Alone,2010
28,Office and administrative support occupations_Male,1152.0,6576,2256.0,11489,536.0,Asian Alone,2010
30,"Farming, fishing, and forestry occupations_Male",103.0,0,0.0,126,86.0,Asian Alone,2010
31,Construction and extraction occupations_Male,1143.0,5662,977.0,7498,713.0,Asian Alone,2010
32,"Installation, maintenance, and repair occupations_Male",465.0,1222,163.0,3892,319.0,Asian Alone,2010
34,Production occupations_Male,403.0,4353,558.0,6827,222.0,Asian Alone,2010
35,Transportation occupations_Male,1185.0,6338,1307.0,16827,520.0,Asian Alone,2010
36,Material moving occupations_Male,286.0,1480,353.0,1745,160.0,Asian Alone,2010
40,Management occupations_Female,618.0,2023,6885.0,6367,565.0,Asian Alone,2010
41,Business and financial operations occupations_Female,745.0,2760,7129.0,7774,516.0,Asian Alone,2010
43,Computer and mathematical occupations_Female,0.0,566,1100.0,1101,47.0,Asian Alone,2010
44,Architecture and engineering occupations_Female,51.0,468,620.0,485,0.0,Asian Alone,2010
45,"Life, physical, and social science occupations_Female",179.0,297,1732.0,1843,27.0,Asian Alone,2010
47,Community and social service occupations_Female,0.0,936,672.0,894,152.0,Asian Alone,2010
48,Legal occupations_Female,112.0,647,1746.0,1444,0.0,Asian Alone,2010
49,"Education, training, and library occupations_Female",782.0,2109,2929.0,4916,189.0,Asian Alone,2010
50,"Arts, design, entertainment, sports, and media occupations_Female",341.0,2789,4393.0,3899,32.0,Asian Alone,2010
