,Occupations,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,race,Gender
0,Total:,22160.0,121664,98647.0,248187,16530.0,2010,Asian Alone,Total
1,Male:,12283.0,66638,44989.0,135390,8822.0,2010,Asian Alone,Total Male
37,Female:,9877.0,55026,53658.0,112797,7708.0,2010,Asian Alone,Total Female
0,Total:,19823.0,125204,97458.0,250735,18001.0,2011,Asian Alone,Total
1,Male:,11265.0,66752,47292.0,139027,10116.0,2011,Asian Alone,Total Male
37,Female:,8558.0,58452,50166.0,111708,7885.0,2011,Asian Alone,Total Female
0,Total:,21721.0,128863,104260.0,253033,,2012,Asian Alone,Total
1,Male:,13183.0,66158,46776.0,140344,,2012,Asian Alone,Total Male
37,Female:,8538.0,62705,57484.0,112689,,2012,Asian Alone,Total Female
0,Total:,21959.0,137634,107524.0,272432,17423.0,2013,Asian Alone,Total
1,Male:,12205.0,72710,49574.0,149843,9765.0,2013,Asian Alone,Total Male
37,Female:,9754.0,64924,57950.0,122589,7658.0,2013,Asian Alone,Total Female
0,Total:,24953.0,147945,108383.0,278267,18513.0,2014,Asian Alone,Total
1,Male:,13769.0,77363,49965.0,153040,9818.0,2014,Asian Alone,Total Male
37,Female:,11184.0,70582,58418.0,125227,8695.0,2014,Asian Alone,Total Female
0,Total:,23418.0,155487,110609.0,288735,18219.0,2015,Asian Alone,Total
1,Male:,13451.0,80736,52905.0,158537,10225.0,2015,Asian Alone,Total Male
37,Female:,9967.0,74751,57704.0,130198,7994.0,2015,Asian Alone,Total Female
0,Total:,24106.0,156450,113435.0,294131,19851.0,2016,Asian Alone,Total
1,Male:,13489.0,80651,50793.0,160936,10130.0,2016,Asian Alone,Total Male
37,Female:,10617.0,75799,62642.0,133195,9721.0,2016,Asian Alone,Total Female
0,Total:,25782.0,157908,119627.0,311177,,2017,Asian Alone,Total
1,Male:,15065.0,81231,56074.0,171461,,2017,Asian Alone,Total Male
37,Female:,10717.0,76677,63553.0,139716,,2017,Asian Alone,Total Female
0,Total:,25245.0,155112,117209.0,304406,24312.0,2018,Asian Alone,Total
1,Male:,14116.0,79242,51758.0,164773,12425.0,2018,Asian Alone,Total Male
37,Female:,11129.0,75870,65451.0,139633,11887.0,2018,Asian Alone,Total Female
0,Total:,25415.0,156344,117691.0,300826,26529.0,2019,Asian Alone,Total
1,Male:,13611.0,79255,54989.0,156862,13498.0,2019,Asian Alone,Total Male
37,Female:,11804.0,77089,62702.0,143964,13031.0,2019,Asian Alone,Total Female
0,Total:,183071.0,362635,93376.0,183443,,2010,BLACK OR AFRICAN AMERICAN ALONE,Total
1,Male:,77153.0,149278,44349.0,81639,,2010,BLACK OR AFRICAN AMERICAN ALONE,Total Male
37,Female:,105918.0,213357,49027.0,101804,,2010,BLACK OR AFRICAN AMERICAN ALONE,Total Female
0,Total:,181957.0,350082,96394.0,191957,,2011,BLACK OR AFRICAN AMERICAN ALONE,Total
1,Male:,79980.0,147293,45411.0,86023,,2011,BLACK OR AFRICAN AMERICAN ALONE,Total Male
37,Female:,101977.0,202789,50983.0,105934,,2011,BLACK OR AFRICAN AMERICAN ALONE,Total Female
0,Total:,181006.0,365208,98629.0,193477,19614.0,2012,BLACK OR AFRICAN AMERICAN ALONE,Total
1,Male:,81744.0,153606,46663.0,86416,8594.0,2012,BLACK OR AFRICAN AMERICAN ALONE,Total Male
37,Female:,99262.0,211602,51966.0,107061,11020.0,2012,BLACK OR AFRICAN AMERICAN ALONE,Total Female
0,Total:,188951.0,375145,94738.0,196437,,2013,BLACK OR AFRICAN AMERICAN ALONE,Total
1,Male:,86863.0,159136,45054.0,90822,,2013,BLACK OR AFRICAN AMERICAN ALONE,Total Male
37,Female:,102088.0,216009,49684.0,105615,,2013,BLACK OR AFRICAN AMERICAN ALONE,Total Female
0,Total:,189978.0,380376,100379.0,199668,20214.0,2014,BLACK OR AFRICAN AMERICAN ALONE,Total
1,Male:,84641.0,162442,46580.0,89495,9310.0,2014,BLACK OR AFRICAN AMERICAN ALONE,Total Male
37,Female:,105337.0,217934,53799.0,110173,10904.0,2014,BLACK OR AFRICAN AMERICAN ALONE,Total Female
0,Total:,199838.0,382493,98502.0,201352,,2015,BLACK OR AFRICAN AMERICAN ALONE,Total
1,Male:,89393.0,162442,48047.0,89725,,2015,BLACK OR AFRICAN AMERICAN ALONE,Total Male
37,Female:,110445.0,220051,50455.0,111627,,2015,BLACK OR AFRICAN AMERICAN ALONE,Total Female
0,Total:,209917.0,383641,100625.0,203223,,2016,BLACK OR AFRICAN AMERICAN ALONE,Total
1,Male:,94420.0,165680,47182.0,92801,,2016,BLACK OR AFRICAN AMERICAN ALONE,Total Male
37,Female:,115497.0,217961,53443.0,110422,,2016,BLACK OR AFRICAN AMERICAN ALONE,Total Female
