,Occupations,NumEmps
0,Management occupations,6602917.0
1,Business and financial operations occupations,3788604.0
2,Computer and mathematical occupations,1672297.0
3,Architecture and engineering occupations,628780.0
4,"Life, physical, and social science occupations",565816.0
5,Community and social service occupations,1221287.0
6,Legal occupations,1433406.0
7,"Education, training, and library occupations",4234635.0
8,"Arts, design, entertainment, sports, and media occupations",3367871.0
9,Health diagnosing and treating practitioners and other technical occupations,2210215.0
10,Health technologists and technicians,784659.0
11,Healthcare support occupations,2856750.0
12,"Fire fighting and prevention, and other protective service workers including supervisors",1069671.0
13,Law enforcement workers including supervisors,577767.0
14,Food preparation and serving related occupations,3789599.0
15,Building and grounds cleaning and maintenance occupations,2972899.0
16,Personal care and service occupations,2917019.0
17,Sales and related occupations,6331907.0
18,Office and administrative support occupations,7521620.0
19,"Farming, fishing, and forestry occupations",48549.0
20,Construction and extraction occupations,2892787.0
21,"Installation, maintenance, and repair occupations",1138913.0
22,Production occupations,1678467.0
23,Transportation occupations,2715264.0
24,Material moving occupations,997676.0
