,Occupations,Bronx_County,Kings,Manhattan,Queens,Richmond
0,Management occupations,519889.0,1789245,2570675.0,1400074,323034.0
1,Business and financial operations occupations,244098.0,917839,1622074.0,818691,185902.0
2,Computer and mathematical occupations,98732.0,543567,549483.0,390380,90135.0
3,Architecture and engineering occupations,40266.0,204262,170845.0,166797,46610.0
4,"Life, physical, and social science occupations",35402.0,138283,280102.0,94623,17406.0
5,Community and social service occupations,226927.0,397629,259159.0,278978,58594.0
6,Legal occupations,67267.0,377571,712751.0,220020,55797.0
7,"Education, training, and library occupations",386375.0,1072520,838761.0,771168,256287.0
8,"Arts, design, entertainment, sports, and media occupations",136834.0,1267895,1406516.0,490890,65736.0
9,Healthcare practitioners and technical occupations,338029.0,834112,759069.0,819433,244231.0
10,"Fire fighting and prevention, and other protective service workers including supervisors",196935.0,246174,100318.0,225017,73689.0
11,Law enforcement workers including supervisors,89996.0,153005,49643.0,189013,96110.0
12,Food preparation and serving related occupations,722962.0,1015435,670280.0,1262961,117961.0
13,Sales and related occupations,886803.0,1719662,1740007.0,1648029,337406.0
14,Office and administrative support occupations,1258578.0,2216817,1342269.0,2211937,492019.0
15,"Farming, fishing, and forestry occupations",15365.0,12245,5266.0,14402,1271.0
16,Construction and extraction occupations,457949.0,855467,213707.0,1127677,237987.0
17,"Installation, maintenance, and repair occupations",215947.0,308837,113151.0,403703,97275.0
18,Production occupations,309581.0,500621,216062.0,578692,73511.0
19,Transportation occupations,571646.0,747187,282530.0,961714,152187.0
20,Material moving occupations,221522.0,287195,121034.0,305248,62677.0
