,Occupations,Asian_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Some_Other_Race_Alone,Two_or_More_Races,White_Alone,White_Alone_not_Hispanic_or_Latino
0,Management occupations,516875.0,533574.0,622022.0,256514.0,93157.0,2436442.0,2144333.0
1,Business and financial operations occupations,435745.0,329139.0,286068.0,112637.0,54559.0,1353465.0,1216991.0
2,Computer and mathematical occupations,258272.0,123725.0,116675.0,43921.0,28490.0,578897.0,522317.0
3,Architecture and engineering occupations,77369.0,46057.0,53282.0,19619.0,10161.0,225088.0,197204.0
4,"Life, physical, and social science occupations",64664.0,29624.0,38809.0,9754.0,8226.0,218608.0,196131.0
5,Community and social service occupations,55104.0,335311.0,180073.0,76721.0,18891.0,308885.0,246302.0
6,Legal occupations,76553.0,85139.0,87146.0,30374.0,18992.0,591487.0,543715.0
7,"Education, training, and library occupations",181784.0,372528.0,354253.0,153261.0,40427.0,1186511.0,1036347.0
8,"Arts, design, entertainment, sports, and media occupations",206466.0,152608.0,229736.0,79626.0,49045.0,1387955.0,1262435.0
9,Healthcare practitioners and technical occupations,432636.0,526253.0,260232.0,107751.0,42727.0,871502.0,753773.0
10,"Fire fighting and prevention, and other protective service workers including supervisors",32787.0,266630.0,159595.0,79834.0,13509.0,173385.0,116393.0
11,Law enforcement workers including supervisors,25650.0,142729.0,102292.0,38632.0,7567.0,154147.0,106750.0
12,Food preparation and serving related occupations,485504.0,339495.0,1030354.0,585275.0,60079.0,818357.0,470535.0
13,Sales and related occupations,658843.0,741642.0,991164.0,520064.0,95346.0,1845451.0,1479397.0
14,Office and administrative support occupations,611962.0,1306607.0,1311054.0,629225.0,124350.0,2024030.0,1514392.0
15,"Farming, fishing, and forestry occupations",3336.0,2661.0,14938.0,8255.0,765.0,12054.0,6540.0
16,Construction and extraction occupations,155897.0,314369.0,768141.0,437286.0,31499.0,733541.0,452054.0
17,"Installation, maintenance, and repair occupations",74321.0,188311.0,246071.0,136814.0,20185.0,282408.0,190803.0
18,Production occupations,206086.0,159327.0,438941.0,243150.0,23916.0,384848.0,222199.0
19,Transportation occupations,352966.0,523275.0,621743.0,344324.0,43684.0,525343.0,303929.0
20,Material moving occupations,67359.0,159737.0,281129.0,154831.0,16076.0,207894.0,110650.0
