,Occupations,Bronx County,Kings County,New York County,Queens County,Richmond County,year
0,"Management, business, science, and arts occupations:",192004.0,637388,882872.0,496846,133356.0,2010
1,Service occupations:,275875.0,380315,202137.0,400736,54795.0,2010
2,Sales and office occupations:,202026.0,404160,307205.0,393366,85194.0,2010
3,"Natural resources, construction, and maintenance occupations:",67235.0,113516,26011.0,150660,31620.0,2010
4,"Production, transportation, and material moving occupations:",103755.0,151153,64114.0,183205,29570.0,2010
0,"Management, business, science, and arts occupations:",184230.0,648621,872750.0,498789,130793.0,2011
1,Service occupations:,298132.0,401930,199661.0,413986,63227.0,2011
2,Sales and office occupations:,222612.0,386671,319483.0,411895,85983.0,2011
3,"Natural resources, construction, and maintenance occupations:",67580.0,114013,30116.0,149566,35517.0,2011
4,"Production, transportation, and material moving occupations:",87039.0,154842,66769.0,162183,28359.0,2011
0,"Management, business, science, and arts occupations:",201535.0,692839,916525.0,531681,128652.0,2012
1,Service occupations:,285635.0,407177,196308.0,420928,64913.0,2012
2,Sales and office occupations:,212126.0,409861,320341.0,398432,89013.0,2012
3,"Natural resources, construction, and maintenance occupations:",60695.0,116713,29504.0,147700,33604.0,2012
4,"Production, transportation, and material moving occupations:",108853.0,148805,65093.0,186570,27788.0,2012
0,"Management, business, science, and arts occupations:",201305.0,736790,922796.0,548626,142712.0,2013
1,Service occupations:,294564.0,411678,201059.0,421092,68310.0,2013
2,Sales and office occupations:,216698.0,394827,310850.0,395435,86510.0,2013
3,"Natural resources, construction, and maintenance occupations:",62079.0,122571,30375.0,158150,31180.0,2013
4,"Production, transportation, and material moving occupations:",102587.0,151952,53616.0,174779,27929.0,2013
0,"Management, business, science, and arts occupations:",224263.0,779078,932343.0,559131,149935.0,2014
1,Service occupations:,313632.0,413487,200410.0,427423,69274.0,2014
2,Sales and office occupations:,210659.0,408466,308581.0,398694,86302.0,2014
3,"Natural resources, construction, and maintenance occupations:",75021.0,121702,38745.0,146722,33509.0,2014
4,"Production, transportation, and material moving occupations:",113140.0,153128,52106.0,191821,29249.0,2014
0,"Management, business, science, and arts occupations:",242192.0,823260,959923.0,591668,143873.0,2015
1,Service occupations:,324906.0,416430,216892.0,438171,55161.0,2015
2,Sales and office occupations:,232377.0,396224,314540.0,395758,87153.0,2015
3,"Natural resources, construction, and maintenance occupations:",78287.0,120866,36020.0,151525,36057.0,2015
4,"Production, transportation, and material moving occupations:",104762.0,156557,66302.0,188089,25892.0,2015
0,"Management, business, science, and arts occupations:",233471.0,835220,969459.0,602025,138595.0,2016
1,Service occupations:,348121.0,408036,216222.0,426841,60727.0,2016
2,Sales and office occupations:,213062.0,410411,316926.0,399286,82516.0,2016
3,"Natural resources, construction, and maintenance occupations:",72057.0,118855,30094.0,157040,34520.0,2016
4,"Production, transportation, and material moving occupations:",112978.0,153875,56265.0,181171,27370.0,2016
0,"Management, business, science, and arts occupations:",234670.0,880137,974615.0,606405,142162.0,2017
1,Service occupations:,341823.0,395401,225024.0,446255,59021.0,2017
2,Sales and office occupations:,233260.0,401380,311429.0,387246,77784.0,2017
3,"Natural resources, construction, and maintenance occupations:",67264.0,118050,43445.0,165281,31004.0,2017
4,"Production, transportation, and material moving occupations:",108371.0,154255,66009.0,189901,28589.0,2017
0,"Management, business, science, and arts occupations:",239454.0,892631,964691.0,599018,141570.0,2018
1,Service occupations:,339466.0,405169,217261.0,420024,69476.0,2018
2,Sales and office occupations:,209314.0,368115,291435.0,345623,77898.0,2018
3,"Natural resources, construction, and maintenance occupations:",66631.0,110333,34368.0,164204,32168.0,2018
4,"Production, transportation, and material moving occupations:",128083.0,156876,67711.0,202569,33940.0,2018
0,"Management, business, science, and arts occupations:",236435.0,917733,1011515.0,623012,160893.0,2019
1,Service occupations:,350648.0,392520,227577.0,426195,69654.0,2019
2,Sales and office occupations:,193247.0,356364,281486.0,334231,71072.0,2019
3,"Natural resources, construction, and maintenance occupations:",72412.0,119930,33446.0,154934,37354.0,2019
4,"Production, transportation, and material moving occupations:",133181.0,153560,61641.0,185366,29689.0,2019
