,Occupations,Bronx County,Kings County,New York County,Queens County,Richmond County,year
0,Management occupations,40850.0,132032,221198.0,125286,33254.0,2010
1,Business and financial operations occupations,22639.0,70856,152064.0,76888,17660.0,2010
2,Computer and mathematical occupations,7480.0,41643,41474.0,29692,9019.0,2010
3,Architecture and engineering occupations,3366.0,18163,14960.0,12635,4830.0,2010
4,"Life, physical, and social science occupations",4286.0,9613,25816.0,9580,1195.0,2010
5,Community and social service occupations,21625.0,41450,27160.0,26318,4710.0,2010
6,Legal occupations,8331.0,35118,72089.0,18265,5369.0,2010
7,"Education, training, and library occupations",42148.0,119701,117235.0,88592,28232.0,2010
8,"Arts, design, entertainment, sports, and media occupations",11841.0,96359,142626.0,40890,4954.0,2010
9,Health diagnosing and treating practitioners and other technical occupations,18031.0,50800,60778.0,48646,18939.0,2010
10,Health technologists and technicians,11407.0,21653,7472.0,20054,5194.0,2010
11,Healthcare support occupations,62819.0,91559,28748.0,57824,9381.0,2010
12,"Fire fighting and prevention, and other protective service workers including supervisors",23841.0,30191,11061.0,28211,9952.0,2010
13,Law enforcement workers including supervisors,7539.0,15597,5646.0,19855,7702.0,2010
14,Food preparation and serving related occupations,53446.0,90988,66930.0,114436,8720.0,2010
15,Building and grounds cleaning and maintenance occupations,71140.0,80253,40049.0,96755,9325.0,2010
16,Personal care and service occupations,57090.0,71727,49703.0,83655,9715.0,2010
17,Sales and related occupations,82801.0,160418,172612.0,169102,32550.0,2010
18,Office and administrative support occupations,119225.0,243742,134593.0,224264,52644.0,2010
19,"Farming, fishing, and forestry occupations",1173.0,571,752.0,1022,86.0,2010
20,Construction and extraction occupations,46792.0,79344,17704.0,108649,22291.0,2010
21,"Installation, maintenance, and repair occupations",19270.0,33601,7555.0,40989,9243.0,2010
22,Production occupations,35274.0,57731,23519.0,66484,9086.0,2010
23,Transportation occupations,51299.0,61214,25540.0,86237,14126.0,2010
24,Material moving occupations,17182.0,32208,15055.0,30484,6358.0,2010
0,Management occupations,38634.0,135423,215183.0,118951,28145.0,2011
1,Business and financial operations occupations,22189.0,75806,159192.0,73012,15099.0,2011
2,Computer and mathematical occupations,6857.0,44936,33754.0,34941,8594.0,2011
3,Architecture and engineering occupations,3778.0,20241,17427.0,14643,6294.0,2011
4,"Life, physical, and social science occupations",3610.0,11328,31514.0,8451,1420.0,2011
5,Community and social service occupations,19544.0,31750,23403.0,23866,4343.0,2011
6,Legal occupations,5724.0,31938,81578.0,17735,8042.0,2011
7,"Education, training, and library occupations",43712.0,122136,100781.0,87006,30036.0,2011
8,"Arts, design, entertainment, sports, and media occupations",11922.0,103165,151225.0,41465,6329.0,2011
9,Health diagnosing and treating practitioners and other technical occupations,17068.0,52403,50633.0,55731,16982.0,2011
10,Health technologists and technicians,11192.0,19495,8060.0,22988,5509.0,2011
11,Healthcare support occupations,62395.0,97964,24859.0,58461,10589.0,2011
12,"Fire fighting and prevention, and other protective service workers including supervisors",27657.0,29052,12025.0,29738,9494.0,2011
13,Law enforcement workers including supervisors,8715.0,13022,3767.0,15019,13128.0,2011
14,Food preparation and serving related occupations,61743.0,102421,67328.0,132758,9751.0,2011
15,Building and grounds cleaning and maintenance occupations,67127.0,78837,38801.0,96709,11057.0,2011
16,Personal care and service occupations,70495.0,80634,52881.0,81301,9208.0,2011
17,Sales and related occupations,95756.0,163864,173241.0,186306,36014.0,2011
18,Office and administrative support occupations,126856.0,222807,146242.0,225589,49969.0,2011
19,"Farming, fishing, and forestry occupations",4794.0,1458,570.0,1685,202.0,2011
20,Construction and extraction occupations,40814.0,77826,19126.0,112155,24648.0,2011
