,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",race,year
0,Total:,22160.0,121664,98647.0,248187,16530.0,Asian Alone,2010
1,Male:,12283.0,66638,44989.0,135390,8822.0,Asian Alone,2010
2,"Management, business, science, and arts occupations:_Male",3201.0,15689,28593.0,41250,4012.0,Asian Alone,2010
3,"Management, business, and financial occupations:_Male",1103.0,5399,12780.0,19782,1419.0,Asian Alone,2010
4,Management occupations_Male,458.0,3330,7144.0,11371,719.0,Asian Alone,2010
5,Business and financial operations occupations_Male,645.0,2069,5636.0,8411,700.0,Asian Alone,2010
6,"Computer, engineering, and science occupations:_Male",902.0,3650,5665.0,8594,820.0,Asian Alone,2010
7,Computer and mathematical occupations_Male,544.0,2635,3904.0,6097,472.0,Asian Alone,2010
8,Architecture and engineering occupations_Male,271.0,872,402.0,1773,298.0,Asian Alone,2010
9,"Life, physical, and social science occupations_Male",87.0,143,1359.0,724,50.0,Asian Alone,2010
10,"Education, legal, community service, arts, and media occupations:_Male",525.0,4319,7061.0,6744,717.0,Asian Alone,2010
11,Community and social service occupations_Male,118.0,340,306.0,1405,0.0,Asian Alone,2010
12,Legal occupations_Male,0.0,395,2117.0,1199,69.0,Asian Alone,2010
13,"Education, training, and library occupations_Male",407.0,1893,1438.0,1700,462.0,Asian Alone,2010
14,"Arts, design, entertainment, sports, and media occupations_Male",0.0,1691,3200.0,2440,186.0,Asian Alone,2010
15,Healthcare practitioners and technical occupations:_Male,671.0,2321,3087.0,6130,1056.0,Asian Alone,2010
16,Health diagnosing and treating practitioners and other technical occupations_Male,514.0,1775,2746.0,4658,921.0,Asian Alone,2010
17,Health technologists and technicians_Male,157.0,546,341.0,1472,135.0,Asian Alone,2010
18,Service occupations:_Male,3083.0,18449,5275.0,24910,1681.0,Asian Alone,2010
19,Healthcare support occupations_Male,48.0,755,142.0,2581,370.0,Asian Alone,2010
20,Protective service occupations:_Male,798.0,908,219.0,3185,119.0,Asian Alone,2010
21,"Fire fighting and prevention, and other protective service workers including supervisors_Male",658.0,536,219.0,1831,119.0,Asian Alone,2010
22,Law enforcement workers including supervisors_Male,140.0,372,0.0,1354,0.0,Asian Alone,2010
23,Food preparation and serving related occupations_Male,1472.0,14646,3934.0,13650,952.0,Asian Alone,2010
24,Building and grounds cleaning and maintenance occupations_Male,533.0,1491,376.0,2458,50.0,Asian Alone,2010
25,Personal care and service occupations_Male,232.0,649,604.0,3036,190.0,Asian Alone,2010
26,Sales and office occupations:_Male,2414.0,13445,7763.0,32315,1109.0,Asian Alone,2010
27,Sales and related occupations_Male,1262.0,6869,5507.0,20826,573.0,Asian Alone,2010
28,Office and administrative support occupations_Male,1152.0,6576,2256.0,11489,536.0,Asian Alone,2010
29,"Natural resources, construction, and maintenance occupations:_Male",1711.0,6884,1140.0,11516,1118.0,Asian Alone,2010
30,"Farming, fishing, and forestry occupations_Male",103.0,0,0.0,126,86.0,Asian Alone,2010
31,Construction and extraction occupations_Male,1143.0,5662,977.0,7498,713.0,Asian Alone,2010
32,"Installation, maintenance, and repair occupations_Male",465.0,1222,163.0,3892,319.0,Asian Alone,2010
33,"Production, transportation, and material moving occupations:_Male",1874.0,12171,2218.0,25399,902.0,Asian Alone,2010
34,Production occupations_Male,403.0,4353,558.0,6827,222.0,Asian Alone,2010
35,Transportation occupations_Male,1185.0,6338,1307.0,16827,520.0,Asian Alone,2010
36,Material moving occupations_Male,286.0,1480,353.0,1745,160.0,Asian Alone,2010
37,Female:_Female,9877.0,55026,53658.0,112797,7708.0,Asian Alone,2010
38,"Management, business, science, and arts occupations:_Female",4631.0,16622,32276.0,39172,3144.0,Asian Alone,2010
39,"Management, business, and financial occupations:_Female",1363.0,4783,14014.0,14141,1081.0,Asian Alone,2010
40,Management occupations_Female,618.0,2023,6885.0,6367,565.0,Asian Alone,2010
41,Business and financial operations occupations_Female,745.0,2760,7129.0,7774,516.0,Asian Alone,2010
42,"Computer, engineering, and science occupations:_Female",230.0,1331,3452.0,3429,74.0,Asian Alone,2010
43,Computer and mathematical occupations_Female,0.0,566,1100.0,1101,47.0,Asian Alone,2010
44,Architecture and engineering occupations_Female,51.0,468,620.0,485,0.0,Asian Alone,2010
45,"Life, physical, and social science occupations_Female",179.0,297,1732.0,1843,27.0,Asian Alone,2010
46,"Education, legal, community service, arts, and media occupations:_Female",1235.0,6481,9740.0,11153,373.0,Asian Alone,2010
47,Community and social service occupations_Female,0.0,936,672.0,894,152.0,Asian Alone,2010
48,Legal occupations_Female,112.0,647,1746.0,1444,0.0,Asian Alone,2010
49,"Education, training, and library occupations_Female",782.0,2109,2929.0,4916,189.0,Asian Alone,2010
50,"Arts, design, entertainment, sports, and media occupations_Female",341.0,2789,4393.0,3899,32.0,Asian Alone,2010
51,Healthcare practitioners and technical occupations:_Female,1803.0,4027,5070.0,10449,1616.0,Asian Alone,2010
52,Health diagnosing and treating practitioners and other technical occupations_Female,1512.0,3209,4636.0,7683,1531.0,Asian Alone,2010
53,Health technologists and technicians_Female,291.0,818,434.0,2766,85.0,Asian Alone,2010
54,Service occupations:_Female,2207.0,15856,7680.0,31815,2039.0,Asian Alone,2010
55,Healthcare support occupations_Female,334.0,4681,2029.0,6449,406.0,Asian Alone,2010
56,Protective service occupations:_Female,75.0,0,109.0,858,33.0,Asian Alone,2010
57,"Fire fighting and prevention, and other protective service workers including supervisors_Female",0.0,0,109.0,794,33.0,Asian Alone,2010
58,Law enforcement workers including supervisors_Female,75.0,0,0.0,64,0.0,Asian Alone,2010
59,Food preparation and serving related occupations_Female,173.0,4249,1676.0,5781,396.0,Asian Alone,2010
60,Building and grounds cleaning and maintenance occupations_Female,835.0,2371,1210.0,3074,150.0,Asian Alone,2010
61,Personal care and service occupations_Female,790.0,4555,2656.0,15653,1054.0,Asian Alone,2010
62,Sales and office occupations:_Female,2652.0,16489,11113.0,35951,2311.0,Asian Alone,2010
63,Sales and related occupations_Female,1206.0,6498,4934.0,14449,1100.0,Asian Alone,2010
64,Office and administrative support occupations_Female,1446.0,9991,6179.0,21502,1211.0,Asian Alone,2010
65,"Natural resources, construction, and maintenance occupations:_Female",0.0,555,0.0,445,0.0,Asian Alone,2010
66,"Farming, fishing, and forestry occupations_Female",0.0,298,0.0,0,0.0,Asian Alone,2010
67,Construction and extraction occupations_Female,0.0,218,0.0,336,0.0,Asian Alone,2010
68,"Installation, maintenance, and repair occupations_Female",0.0,39,0.0,109,0.0,Asian Alone,2010
69,"Production, transportation, and material moving occupations:_Female",387.0,5504,2589.0,5414,214.0,Asian Alone,2010
70,Production occupations_Female,387.0,4391,1794.0,4145,214.0,Asian Alone,2010
71,Transportation occupations_Female,0.0,95,112.0,493,0.0,Asian Alone,2010
72,Material moving occupations_Female,0.0,1018,683.0,776,0.0,Asian Alone,2010
73,Total:,19823.0,125204,97458.0,250735,18001.0,Asian Alone,2011
74,Male:,11265.0,66752,47292.0,139027,10116.0,Asian Alone,2011
75,"Management, business, science, and arts occupations:_Male",3056.0,16346,27578.0,42293,3894.0,Asian Alone,2011
76,"Management, business, and financial occupations:_Male",544.0,6029,13478.0,17059,1615.0,Asian Alone,2011
77,Management occupations_Male,280.0,3095,6393.0,10106,909.0,Asian Alone,2011
78,Business and financial operations occupations_Male,264.0,2934,7085.0,6953,706.0,Asian Alone,2011
79,"Computer, engineering, and science occupations:_Male",941.0,4817,3892.0,11872,627.0,Asian Alone,2011
80,Computer and mathematical occupations_Male,556.0,2867,2313.0,8325,323.0,Asian Alone,2011
81,Architecture and engineering occupations_Male,83.0,1609,685.0,2760,199.0,Asian Alone,2011
82,"Life, physical, and social science occupations_Male",302.0,341,894.0,787,105.0,Asian Alone,2011
83,"Education, legal, community service, arts, and media occupations:_Male",722.0,3564,6964.0,7539,519.0,Asian Alone,2011
84,Community and social service occupations_Male,174.0,152,33.0,1088,225.0,Asian Alone,2011
85,Legal occupations_Male,45.0,291,1487.0,262,0.0,Asian Alone,2011
86,"Education, training, and library occupations_Male",207.0,740,3403.0,3177,215.0,Asian Alone,2011
87,"Arts, design, entertainment, sports, and media occupations_Male",296.0,2381,2041.0,3012,79.0,Asian Alone,2011
88,Healthcare practitioners and technical occupations:_Male,849.0,1936,3244.0,5823,1133.0,Asian Alone,2011
89,Health diagnosing and treating practitioners and other technical occupations_Male,519.0,1360,2888.0,4113,794.0,Asian Alone,2011
90,Health technologists and technicians_Male,330.0,576,356.0,1710,339.0,Asian Alone,2011
91,Service occupations:_Male,2519.0,19700,7245.0,25166,1336.0,Asian Alone,2011
92,Healthcare support occupations_Male,17.0,976,402.0,1234,381.0,Asian Alone,2011
93,Protective service occupations:_Male,190.0,1019,84.0,2187,71.0,Asian Alone,2011
94,"Fire fighting and prevention, and other protective service workers including supervisors_Male",143.0,671,33.0,1440,71.0,Asian Alone,2011
95,Law enforcement workers including supervisors_Male,47.0,348,51.0,747,0.0,Asian Alone,2011
96,Food preparation and serving related occupations_Male,1614.0,14639,5338.0,14207,336.0,Asian Alone,2011
97,Building and grounds cleaning and maintenance occupations_Male,443.0,1615,668.0,3853,266.0,Asian Alone,2011
98,Personal care and service occupations_Male,255.0,1451,753.0,3685,282.0,Asian Alone,2011
99,Sales and office occupations:_Male,1632.0,11660,8373.0,33494,2896.0,Asian Alone,2011
100,Sales and related occupations_Male,713.0,6519,5416.0,21157,2195.0,Asian Alone,2011
101,Office and administrative support occupations_Male,919.0,5141,2957.0,12337,701.0,Asian Alone,2011
102,"Natural resources, construction, and maintenance occupations:_Male",1489.0,7305,898.0,10446,645.0,Asian Alone,2011
103,"Farming, fishing, and forestry occupations_Male",0.0,53,0.0,22,202.0,Asian Alone,2011
104,Construction and extraction occupations_Male,636.0,4875,711.0,6463,225.0,Asian Alone,2011
105,"Installation, maintenance, and repair occupations_Male",853.0,2377,187.0,3961,218.0,Asian Alone,2011
106,"Production, transportation, and material moving occupations:_Male",2569.0,11741,3198.0,27628,1345.0,Asian Alone,2011
107,Production occupations_Male,956.0,2408,388.0,5519,563.0,Asian Alone,2011
108,Transportation occupations_Male,1613.0,7573,2036.0,19556,782.0,Asian Alone,2011
109,Material moving occupations_Male,0.0,1760,774.0,2553,0.0,Asian Alone,2011
110,Female:_Female,8558.0,58452,50166.0,111708,7885.0,Asian Alone,2011
111,"Management, business, science, and arts occupations:_Female",3797.0,21987,31604.0,42603,3390.0,Asian Alone,2011
112,"Management, business, and financial occupations:_Female",502.0,7408,12314.0,14688,1003.0,Asian Alone,2011
113,Management occupations_Female,266.0,3157,5726.0,5577,407.0,Asian Alone,2011
114,Business and financial operations occupations_Female,236.0,4251,6588.0,9111,596.0,Asian Alone,2011
115,"Computer, engineering, and science occupations:_Female",114.0,1486,3456.0,4260,156.0,Asian Alone,2011
116,Computer and mathematical occupations_Female,44.0,987,1763.0,2411,26.0,Asian Alone,2011
117,Architecture and engineering occupations_Female,0.0,316,118.0,571,101.0,Asian Alone,2011
118,"Life, physical, and social science occupations_Female",70.0,183,1575.0,1278,29.0,Asian Alone,2011
119,"Education, legal, community service, arts, and media occupations:_Female",1682.0,7001,12139.0,10882,475.0,Asian Alone,2011
120,Community and social service occupations_Female,330.0,406,504.0,1476,76.0,Asian Alone,2011
121,Legal occupations_Female,156.0,982,2631.0,533,22.0,Asian Alone,2011
122,"Education, training, and library occupations_Female",905.0,3076,3151.0,6660,354.0,Asian Alone,2011
123,"Arts, design, entertainment, sports, and media occupations_Female",291.0,2537,5853.0,2213,23.0,Asian Alone,2011
124,Healthcare practitioners and technical occupations:_Female,1499.0,6092,3695.0,12773,1756.0,Asian Alone,2011
125,Health diagnosing and treating practitioners and other technical occupations_Female,1245.0,4576,3052.0,10995,1480.0,Asian Alone,2011
126,Health technologists and technicians_Female,254.0,1516,643.0,1778,276.0,Asian Alone,2011
127,Service occupations:_Female,2800.0,17724,6848.0,26616,2096.0,Asian Alone,2011
128,Healthcare support occupations_Female,1255.0,4053,1251.0,6262,997.0,Asian Alone,2011
129,Protective service occupations:_Female,0.0,417,0.0,351,0.0,Asian Alone,2011
130,"Fire fighting and prevention, and other protective service workers including supervisors_Female",0.0,362,0.0,351,0.0,Asian Alone,2011
131,Law enforcement workers including supervisors_Female,0.0,55,0.0,0,0.0,Asian Alone,2011
132,Food preparation and serving related occupations_Female,172.0,4937,2379.0,5415,416.0,Asian Alone,2011
133,Building and grounds cleaning and maintenance occupations_Female,618.0,1953,1297.0,2645,201.0,Asian Alone,2011
134,Personal care and service occupations_Female,755.0,6364,1921.0,11943,482.0,Asian Alone,2011
135,Sales and office occupations:_Female,1174.0,14204,10320.0,35999,1967.0,Asian Alone,2011
136,Sales and related occupations_Female,350.0,5745,4136.0,16013,791.0,Asian Alone,2011
137,Office and administrative support occupations_Female,824.0,8459,6184.0,19986,1176.0,Asian Alone,2011
138,"Natural resources, construction, and maintenance occupations:_Female",0.0,109,326.0,484,196.0,Asian Alone,2011
139,"Farming, fishing, and forestry occupations_Female",0.0,69,0.0,117,0.0,Asian Alone,2011
140,Construction and extraction occupations_Female,0.0,0,220.0,332,196.0,Asian Alone,2011
141,"Installation, maintenance, and repair occupations_Female",0.0,40,106.0,35,0.0,Asian Alone,2011
142,"Production, transportation, and material moving occupations:_Female",787.0,4428,1068.0,6006,236.0,Asian Alone,2011
143,Production occupations_Female,748.0,3720,735.0,4435,81.0,Asian Alone,2011
144,Transportation occupations_Female,0.0,85,0.0,305,155.0,Asian Alone,2011
145,Material moving occupations_Female,39.0,623,333.0,1266,0.0,Asian Alone,2011
146,Total:,21721.0,128863,104260.0,253033,,Asian Alone,2012
147,Male:,13183.0,66158,46776.0,140344,,Asian Alone,2012
148,"Management, business, science, and arts occupations:_Male",3000.0,18146,26534.0,47747,,Asian Alone,2012
149,"Management, business, and financial occupations:_Male",758.0,7311,12187.0,20536,,Asian Alone,2012
150,Management occupations_Male,271.0,3793,6327.0,12551,,Asian Alone,2012
151,Business and financial operations occupations_Male,487.0,3518,5860.0,7985,,Asian Alone,2012
152,"Computer, engineering, and science occupations:_Male",996.0,4381,4422.0,12467,,Asian Alone,2012
153,Computer and mathematical occupations_Male,603.0,2560,3134.0,8110,,Asian Alone,2012
154,Architecture and engineering occupations_Male,232.0,1345,445.0,3229,,Asian Alone,2012
155,"Life, physical, and social science occupations_Male",161.0,476,843.0,1128,,Asian Alone,2012
156,"Education, legal, community service, arts, and media occupations:_Male",878.0,4008,6026.0,8984,,Asian Alone,2012
157,Community and social service occupations_Male,115.0,241,780.0,1615,,Asian Alone,2012
158,Legal occupations_Male,71.0,450,894.0,885,,Asian Alone,2012
159,"Education, training, and library occupations_Male",692.0,1733,1263.0,3342,,Asian Alone,2012
160,"Arts, design, entertainment, sports, and media occupations_Male",0.0,1584,3089.0,3142,,Asian Alone,2012
161,Healthcare practitioners and technical occupations:_Male,368.0,2446,3899.0,5760,,Asian Alone,2012
162,Health diagnosing and treating practitioners and other technical occupations_Male,289.0,2012,3899.0,3624,,Asian Alone,2012
