Occupations,NumEmps,year
Management occupations,552620.0,2010
Business and financial operations occupations,340107.0,2010
Computer and mathematical occupations,129308.0,2010
Architecture and engineering occupations,53954.0,2010
"Life, physical, and social science occupations",50490.0,2010
Community and social service occupations,121263.0,2010
Legal occupations,139172.0,2010
"Education, training, and library occupations",395908.0,2010
"Arts, design, entertainment, sports, and media occupations",296670.0,2010
Health diagnosing and treating practitioners and other technical occupations,197194.0,2010
Health technologists and technicians,65780.0,2010
Healthcare support occupations,250331.0,2010
"Fire fighting and prevention, and other protective service workers including supervisors",103256.0,2010
Law enforcement workers including supervisors,56339.0,2010
Food preparation and serving related occupations,334520.0,2010
Building and grounds cleaning and maintenance occupations,297522.0,2010
Personal care and service occupations,271890.0,2010
Sales and related occupations,617483.0,2010
Office and administrative support occupations,774468.0,2010
"Farming, fishing, and forestry occupations",3604.0,2010
Construction and extraction occupations,274780.0,2010
"Installation, maintenance, and repair occupations",110658.0,2010
Production occupations,192094.0,2010
Transportation occupations,238416.0,2010
Material moving occupations,101287.0,2010
Management occupations,536336.0,2011
Business and financial operations occupations,345298.0,2011
Computer and mathematical occupations,129082.0,2011
Architecture and engineering occupations,62383.0,2011
"Life, physical, and social science occupations",56323.0,2011
Community and social service occupations,102906.0,2011
Legal occupations,145017.0,2011
"Education, training, and library occupations",383671.0,2011
"Arts, design, entertainment, sports, and media occupations",314106.0,2011
Health diagnosing and treating practitioners and other technical occupations,192817.0,2011
Health technologists and technicians,67244.0,2011
Healthcare support occupations,254268.0,2011
"Fire fighting and prevention, and other protective service workers including supervisors",107966.0,2011
Law enforcement workers including supervisors,53651.0,2011
Food preparation and serving related occupations,374001.0,2011
Building and grounds cleaning and maintenance occupations,292531.0,2011
Personal care and service occupations,294519.0,2011
Sales and related occupations,655181.0,2011
Office and administrative support occupations,771463.0,2011
"Farming, fishing, and forestry occupations",8709.0,2011
Construction and extraction occupations,274569.0,2011
"Installation, maintenance, and repair occupations",113514.0,2011
Production occupations,179153.0,2011
Transportation occupations,233448.0,2011
Material moving occupations,86591.0,2011
Management occupations,600539.0,2012
Business and financial operations occupations,346544.0,2012
Computer and mathematical occupations,144152.0,2012
Architecture and engineering occupations,56954.0,2012
"Life, physical, and social science occupations",52597.0,2012
Community and social service occupations,115555.0,2012
Legal occupations,145743.0,2012
"Education, training, and library occupations",407914.0,2012
"Arts, design, entertainment, sports, and media occupations",321792.0,2012
Health diagnosing and treating practitioners and other technical occupations,210654.0,2012
Health technologists and technicians,68788.0,2012
Healthcare support occupations,258318.0,2012
"Fire fighting and prevention, and other protective service workers including supervisors",110810.0,2012
Law enforcement workers including supervisors,60559.0,2012
Food preparation and serving related occupations,365191.0,2012
Building and grounds cleaning and maintenance occupations,286026.0,2012
Personal care and service occupations,294057.0,2012
Sales and related occupations,656505.0,2012
Office and administrative support occupations,773268.0,2012
