"Occupations","Gender","Boroughs","year","Salary","year_range"
"Management occupations","Male","Bronx County","year2010",52075,"year2010_2013"
"Management occupations","Male","Bronx County","year2011",55677,"year2010_2013"
"Management occupations","Male","Bronx County","year2012",51601,"year2010_2013"
"Management occupations","Male","Bronx County","year2013",47319,"year2010_2013"
"Management occupations","Male","Bronx County","year2014",50170,"year2014_2016"
"Management occupations","Male","Bronx County","year2015",50705,"year2014_2016"
"Management occupations","Male","Bronx County","year2016",51076,"year2014_2016"
"Management occupations","Male","Bronx County","year2017",51890,"year2017_2019"
"Management occupations","Male","Bronx County","year2018",61859,"year2017_2019"
"Management occupations","Male","Bronx County","year2019",70328,"year2017_2019"
"Business and financial operations occupations","Male","Bronx County","year2010",49502,"year2010_2013"
"Business and financial operations occupations","Male","Bronx County","year2011",51465,"year2010_2013"
"Business and financial operations occupations","Male","Bronx County","year2012",44862,"year2010_2013"
"Business and financial operations occupations","Male","Bronx County","year2013",47921,"year2010_2013"
"Business and financial operations occupations","Male","Bronx County","year2014",59167,"year2014_2016"
"Business and financial operations occupations","Male","Bronx County","year2015",56820,"year2014_2016"
"Business and financial operations occupations","Male","Bronx County","year2016",55484,"year2014_2016"
"Business and financial operations occupations","Male","Bronx County","year2017",60387,"year2017_2019"
"Business and financial operations occupations","Male","Bronx County","year2018",62383,"year2017_2019"
"Business and financial operations occupations","Male","Bronx County","year2019",70533,"year2017_2019"
"Computer and mathematical occupations","Male","Bronx County","year2010",49466,"year2010_2013"
"Computer and mathematical occupations","Male","Bronx County","year2011",55646,"year2010_2013"
"Computer and mathematical occupations","Male","Bronx County","year2012",49040,"year2010_2013"
"Computer and mathematical occupations","Male","Bronx County","year2013",65955,"year2010_2013"
"Computer and mathematical occupations","Male","Bronx County","year2014",57705,"year2014_2016"
"Computer and mathematical occupations","Male","Bronx County","year2015",55789,"year2014_2016"
"Computer and mathematical occupations","Male","Bronx County","year2016",62620,"year2014_2016"
"Computer and mathematical occupations","Male","Bronx County","year2017",65189,"year2017_2019"
"Computer and mathematical occupations","Male","Bronx County","year2018",65272,"year2017_2019"
"Computer and mathematical occupations","Male","Bronx County","year2019",66715,"year2017_2019"
"Architecture and engineering occupations","Male","Bronx County","year2010",57070,"year2010_2013"
"Architecture and engineering occupations","Male","Bronx County","year2011",67138,"year2010_2013"
"Architecture and engineering occupations","Male","Bronx County","year2012",82027,"year2010_2013"
"Architecture and engineering occupations","Male","Bronx County","year2013",62100,"year2010_2013"
"Architecture and engineering occupations","Male","Bronx County","year2014",50407,"year2014_2016"
"Architecture and engineering occupations","Male","Bronx County","year2015",60440,"year2014_2016"
"Architecture and engineering occupations","Male","Bronx County","year2016",51811,"year2014_2016"
"Architecture and engineering occupations","Male","Bronx County","year2017",51159,"year2017_2019"
"Architecture and engineering occupations","Male","Bronx County","year2018",79875,"year2017_2019"
"Architecture and engineering occupations","Male","Bronx County","year2019",55123,"year2017_2019"
"Life, physical, and social science occupations","Male","Bronx County","year2010",71368,"year2010_2013"
"Life, physical, and social science occupations","Male","Bronx County","year2011",52237,"year2010_2013"
"Life, physical, and social science occupations","Male","Bronx County","year2012",75464,"year2010_2013"
"Life, physical, and social science occupations","Male","Bronx County","year2013",76315,"year2010_2013"
"Life, physical, and social science occupations","Male","Bronx County","year2014",44863,"year2014_2016"
"Life, physical, and social science occupations","Male","Bronx County","year2015",60906,"year2014_2016"
