"Occupations","Gender","Boroughs","year","Salary","year_range"
"Management occupations","Male","New York County","year2010",100440,"year2010_2013"
"Management occupations","Male","New York County","year2011",104539,"year2010_2013"
"Management occupations","Male","New York County","year2012",111337,"year2010_2013"
"Management occupations","Male","New York County","year2013",120134,"year2010_2013"
"Management occupations","Male","New York County","year2014",117126,"year2014_2016"
"Management occupations","Male","New York County","year2015",120255,"year2014_2016"
"Management occupations","Male","New York County","year2016",130561,"year2014_2016"
"Management occupations","Male","New York County","year2017",123686,"year2017_2019"
"Management occupations","Male","New York County","year2018",122623,"year2017_2019"
"Management occupations","Male","New York County","year2019",142301,"year2017_2019"
"Business and financial operations occupations","Male","New York County","year2010",89923,"year2010_2013"
"Business and financial operations occupations","Male","New York County","year2011",100068,"year2010_2013"
"Business and financial operations occupations","Male","New York County","year2012",100491,"year2010_2013"
"Business and financial operations occupations","Male","New York County","year2013",101372,"year2010_2013"
"Business and financial operations occupations","Male","New York County","year2014",100134,"year2014_2016"
"Business and financial operations occupations","Male","New York County","year2015",105476,"year2014_2016"
"Business and financial operations occupations","Male","New York County","year2016",106090,"year2014_2016"
"Business and financial operations occupations","Male","New York County","year2017",120680,"year2017_2019"
"Business and financial operations occupations","Male","New York County","year2018",120648,"year2017_2019"
"Business and financial operations occupations","Male","New York County","year2019",111620,"year2017_2019"
"Computer and mathematical occupations","Male","New York County","year2010",87516,"year2010_2013"
"Computer and mathematical occupations","Male","New York County","year2011",79552,"year2010_2013"
"Computer and mathematical occupations","Male","New York County","year2012",78523,"year2010_2013"
"Computer and mathematical occupations","Male","New York County","year2013",101365,"year2010_2013"
"Computer and mathematical occupations","Male","New York County","year2014",101113,"year2014_2016"
"Computer and mathematical occupations","Male","New York County","year2015",105242,"year2014_2016"
"Computer and mathematical occupations","Male","New York County","year2016",105291,"year2014_2016"
"Computer and mathematical occupations","Male","New York County","year2017",102359,"year2017_2019"
"Computer and mathematical occupations","Male","New York County","year2018",115745,"year2017_2019"
"Computer and mathematical occupations","Male","New York County","year2019",115707,"year2017_2019"
"Architecture and engineering occupations","Male","New York County","year2010",79611,"year2010_2013"
"Architecture and engineering occupations","Male","New York County","year2011",88605,"year2010_2013"
"Architecture and engineering occupations","Male","New York County","year2012",81729,"year2010_2013"
"Architecture and engineering occupations","Male","New York County","year2013",68656,"year2010_2013"
"Architecture and engineering occupations","Male","New York County","year2014",71143,"year2014_2016"
"Architecture and engineering occupations","Male","New York County","year2015",70691,"year2014_2016"
"Architecture and engineering occupations","Male","New York County","year2016",85927,"year2014_2016"
"Architecture and engineering occupations","Male","New York County","year2017",80665,"year2017_2019"
"Architecture and engineering occupations","Male","New York County","year2018",80557,"year2017_2019"
"Architecture and engineering occupations","Male","New York County","year2019",82241,"year2017_2019"
