"Occupations","Gender","Boroughs","year","Salary","year_range"
"Management occupations","Male","Richmond County","year2010",85946,"year2010_2013"
"Management occupations","Male","Richmond County","year2011",91875,"year2010_2013"
"Management occupations","Male","Richmond County","year2012",82133,"year2010_2013"
"Management occupations","Male","Richmond County","year2013",100018,"year2010_2013"
"Management occupations","Male","Richmond County","year2014",86549,"year2014_2016"
"Management occupations","Male","Richmond County","year2015",82241,"year2014_2016"
"Management occupations","Male","Richmond County","year2016",90877,"year2014_2016"
"Management occupations","Male","Richmond County","year2017",83066,"year2017_2019"
"Management occupations","Male","Richmond County","year2018",101050,"year2017_2019"
"Management occupations","Male","Richmond County","year2019",82633,"year2017_2019"
"Business and financial operations occupations","Male","Richmond County","year2010",80744,"year2010_2013"
"Business and financial operations occupations","Male","Richmond County","year2011",62317,"year2010_2013"
"Business and financial operations occupations","Male","Richmond County","year2012",58996,"year2010_2013"
"Business and financial operations occupations","Male","Richmond County","year2013",100257,"year2010_2013"
"Business and financial operations occupations","Male","Richmond County","year2014",71604,"year2014_2016"
"Business and financial operations occupations","Male","Richmond County","year2015",70636,"year2014_2016"
"Business and financial operations occupations","Male","Richmond County","year2016",66867,"year2014_2016"
"Business and financial operations occupations","Male","Richmond County","year2017",62369,"year2017_2019"
"Business and financial operations occupations","Male","Richmond County","year2018",61748,"year2017_2019"
"Business and financial operations occupations","Male","Richmond County","year2019",74886,"year2017_2019"
"Computer and mathematical occupations","Male","Richmond County","year2010",82728,"year2010_2013"
"Computer and mathematical occupations","Male","Richmond County","year2011",71772,"year2010_2013"
"Computer and mathematical occupations","Male","Richmond County","year2012",70293,"year2010_2013"
"Computer and mathematical occupations","Male","Richmond County","year2013",75290,"year2010_2013"
"Computer and mathematical occupations","Male","Richmond County","year2014",91948,"year2014_2016"
"Computer and mathematical occupations","Male","Richmond County","year2015",66859,"year2014_2016"
"Computer and mathematical occupations","Male","Richmond County","year2016",76000,"year2014_2016"
"Computer and mathematical occupations","Male","Richmond County","year2017",101927,"year2017_2019"
"Computer and mathematical occupations","Male","Richmond County","year2018",85330,"year2017_2019"
"Computer and mathematical occupations","Male","Richmond County","year2019",83949,"year2017_2019"
"Architecture and engineering occupations","Male","Richmond County","year2010",54395,"year2010_2013"
"Architecture and engineering occupations","Male","Richmond County","year2011",67828,"year2010_2013"
"Architecture and engineering occupations","Male","Richmond County","year2012",79516,"year2010_2013"
"Architecture and engineering occupations","Male","Richmond County","year2013",71146,"year2010_2013"
"Architecture and engineering occupations","Male","Richmond County","year2014",76470,"year2014_2016"
"Architecture and engineering occupations","Male","Richmond County","year2015",76526,"year2014_2016"
"Architecture and engineering occupations","Male","Richmond County","year2016",80863,"year2014_2016"
