"year","County","Management, business, science, and arts","Service","Sales and office","Natural resources, construction,maintenance","Production, transportation,material moving"
2010,"Bronx County",192004,275875,202026,67235,103755
2010,"Kings County",637388,380315,404160,113516,151153
2010,"New York County",882872,202137,307205,26011,64114
2010,"Queens County",496846,400736,393366,150660,183205
2010,"Richmond County",133356,54795,85194,31620,29570
2011,"Bronx County",184230,298132,222612,67580,87039
2011,"Kings County",648621,401930,386671,114013,154842
2011,"New York County",872750,199661,319483,30116,66769
2011,"Queens County",498789,413986,411895,149566,162183
2011,"Richmond County",130793,63227,85983,35517,28359
2012,"Bronx County",201535,285635,212126,60695,108853
2012,"Kings County",692839,407177,409861,116713,148805
2012,"New York County",916525,196308,320341,29504,65093
2012,"Queens County",531681,420928,398432,147700,186570
2012,"Richmond County",128652,64913,89013,33604,27788
2013,"Bronx County",201305,294564,216698,62079,102587
2013,"Kings County",736790,411678,394827,122571,151952
2013,"New York County",922796,201059,310850,30375,53616
2013,"Queens County",548626,421092,395435,158150,174779
2013,"Richmond County",142712,68310,86510,31180,27929
2014,"Bronx County",224263,313632,210659,75021,113140
2014,"Kings County",779078,413487,408466,121702,153128
2014,"New York County",932343,200410,308581,38745,52106
2014,"Queens County",559131,427423,398694,146722,191821
2014,"Richmond County",149935,69274,86302,33509,29249
2015,"Bronx County",242192,324906,232377,78287,104762
2015,"Kings County",823260,416430,396224,120866,156557
2015,"New York County",959923,216892,314540,36020,66302
2015,"Queens County",591668,438171,395758,151525,188089
2015,"Richmond County",143873,55161,87153,36057,25892
2016,"Bronx County",233471,348121,213062,72057,112978
2016,"Kings County",835220,408036,410411,118855,153875
2016,"New York County",969459,216222,316926,30094,56265
2016,"Queens County",602025,426841,399286,157040,181171
2016,"Richmond County",138595,60727,82516,34520,27370
2017,"Bronx County",234670,341823,233260,67264,108371
2017,"Kings County",880137,395401,401380,118050,154255
2017,"New York County",974615,225024,311429,43445,66009
2017,"Queens County",606405,446255,387246,165281,189901
2017,"Richmond County",142162,59021,77784,31004,28589
2018,"Bronx County",239454,339466,209314,66631,128083
2018,"Kings County",892631,405169,368115,110333,156876
2018,"New York County",964691,217261,291435,34368,67711
2018,"Queens County",599018,420024,345623,164204,202569
2018,"Richmond County",141570,69476,77898,32168,33940
2019,"Bronx County",236435,350648,193247,72412,133181
2019,"Kings County",917733,392520,356364,119930,153560
2019,"New York County",1011515,227577,281486,33446,61641
2019,"Queens County",623012,426195,334231,154934,185366
2019,"Richmond County",160893,69654,71072,37354,29689
