,Education_Level,"New York, Total","New York, Male","New York, Female","Bronx County, Total","Bronx County, Male","Bronx County, Female","Kings County, Total","Kings County, Male","Kings County, Female","New York County, Total","New York County, Male","New York County, Female","Queens County, Total","Queens County, Male","Queens County, Female","Richmond County, Total","Richmond County, Male","Richmond County, Female",year
0,Less Than High School,2277052,1138213,1143539,311345,148572,162418,407824,194065,213419,187241,85858,101911,344416,169205,175850,42633,21169,21459,2010
1,High School Graduate,4133330,2001402,2131016,289612,140617,148530,544760,251061,292794,185323,89846,95307,479225,231872,247308,111213,49789,61395,2010
2,Some College or Associate's Degree,4107630,1929401,2180918,260809,114201,147278,451766,209562,242062,237324,106817,130084,455922,221734,234503,103275,53127,50120,2010
3,Bechelor's Degree or Higher,4546726,2111695,2436713,157129,59014,98021,511056,227149,285159,741390,342961,399038,491495,222885,269255,103336,47675,55720,2010
4,Bachelor's degree or higher,292525,117951,174767,12288,5722,6555,39331,15091,24139,60868,20685,40252,34524,12343,22215,6303,2525,3764,2010
0,Less Than High School,2260662,1124574,1139829,307780,142118,165769,410387,196399,214136,191904,86936,104382,342896,169289,174332,43438,20215,23180,2011
1,High School Graduate,4138263,2025720,2115599,280109,141289,138425,524261,247855,276544,192424,90411,101957,482811,234394,248858,117296,55420,61742,2011
2,Some College or Associate's Degree,4157080,1940273,2206650,275753,119083,157063,462662,211306,251813,233381,106593,125980,451034,208573,241352,102921,51186,51541,2011
3,Bechelor's Degree or Higher,4618358,2148745,2471960,160081,64274,95794,537174,237378,299814,748139,349864,397892,507749,239714,267019,99570,46019,53479,2011
4,Bachelor's degree or higher,276314,116255,160220,10242,3565,6612,36800,14842,21842,54456,23068,31399,28567,11306,17238,5130,2093,3060,2011
0,Less Than High School,2216468,1101493,1112600,307855,143354,164382,410710,195434,213603,182142,85898,97036,353059,171303,180900,41883,20478,21114,2012
1,High School Graduate,4080198,2004438,2071864,277818,136330,141651,520918,238575,281847,184749,93500,91303,480854,232597,248232,111657,52681,58821,2012
2,Some College or Associate's Degree,4275198,2010736,2273985,284888,127983,157270,457832,212008,246119,240353,104396,135755,466305,223496,243505,108844,53586,55267,2012
3,Bechelor's Degree or Higher,4737385,2197702,2535709,169487,66787,102122,574900,261083,313988,770926,358698,412151,506133,236140,269421,102036,46140,55990,2012
4,Bachelor's degree or higher,291925,126626,164741,10483,3963,6401,41745,18319,23449,54672,22969,31704,31730,13276,18475,7836,3795,4057,2012
0,Less Than High School,2195397,1103549,1088806,295049,141324,152941,407074,195076,211328,181112,86836,94468,342842,163969,180012,40644,18882,21680,2013
1,High School Graduate,4106469,2020941,2089626,289829,143717,146750,519680,239428,280658,189054,94410,94602,493334,244848,248099,114839,54396,60409,2013
2,Some College or Associate's Degree,4247085,1996508,2252158,293569,128664,164614,448629,210405,239575,225304,99282,126737,468873,222917,244294,105005,54033,50739,2013
3,Bechelor's Degree or Higher,4862912,2250209,2615418,175002,68953,106085,610215,275153,334640,791117,365474,425431,523027,243592,279046,106060,47017,59070,2013
4,Bachelor's degree or higher,286927,119744,165697,10771,3534,7339,41546,17649,23837,48071,20622,27497,31859,13004,19000,7097,3467,3619,2013
0,Less Than High School,2189776,1064768,1117231,307850,142118,166066,388537,179344,209917,179206,82715,96876,346728,163984,181551,42133,20825,21581,2014
1,High School Graduate,4112723,2035101,2072153,292005,143823,147804,524448,248243,275917,186166,88953,96234,502317,245504,255647,115188,55929,59388,2014
2,Some College or Associate's Degree,4261645,2020255,2243518,285167,129989,155217,447979,205808,240600,236689,110682,126493,480501,230791,250392,102488,49468,52966,2014
3,Bechelor's Degree or Higher,4970348,2291438,2670067,186400,74054,112268,649630,297040,352080,793622,366746,425809,520726,243982,276020,107760,48976,58610,2014
4,Bachelor's degree or higher,299182,121909,177757,11342,4072,7233,44695,16874,27744,51656,22026,29561,31830,13162,18644,6886,2857,4018,2014
1,Less Than High School,2067912,1034351,1033561,299401,138628,160773,341838,160842,180996,190491,94720,95771,326606,151975,174631,42943,19683,23260,2017
2,High School Graduate,4126195,2070236,2055959,304859,153937,150922,538507,259955,278552,182069,93467,88602,536342,268739,267603,111743,53638,58105,2017
3,Some College or Associate's Degree,4204214,1987679,2216535,300957,135684,165273,446218,202498,243720,229621,99661,129960,468257,226114,242143,101830,51082,50748,2017
4,Bechelor's Degree or Higher,5293026,2425311,2875282,200447,79201,121279,716738,321525,395112,823573,380958,442535,553612,253921,299375,118041,54009,64074,2017
1,Less Than High School,1955839,967588,988251,278617,127221,151396,323009,154653,168356,164532,75382,89150,307855,147645,160210,43736,20961,22775,2018
2,High School Graduate,4037055,2024289,2012766,299738,153138,146600,517925,248363,269562,189061,92776,96285,485656,240787,244869,114991,57199,57792,2018
3,Some College or Associate's Degree,4088171,1948771,2139400,292934,126701,166233,419230,196004,223226,225075,105984,119091,449410,221729,227681,89555,41410,48145,2018
4,Bechelor's Degree or Higher,5396459,2470666,2928336,205794,86492,119450,733843,323854,410693,817054,379162,438140,577617,260831,317037,123860,57847,65914,2018
