,Education_Level,year,Male,Female
0,Less Than High School,2010,618869,675057
1,High School Graduate,2010,763185,845334
2,Some College or Associate's Degree,2010,705441,804047
3,Bechelor's Degree or Higher,2010,899684,1107193
4,Bachelor's degree or higher,2010,56366,96925
5,Less Than High School,2011,614957,681799
6,High School Graduate,2011,769369,827526
7,Some College or Associate's Degree,2011,696741,827749
8,Bechelor's Degree or Higher,2011,937249,1113998
9,Bachelor's degree or higher,2011,54874,80151
10,Less Than High School,2012,616467,677035
11,High School Graduate,2012,753683,821854
12,Some College or Associate's Degree,2012,721469,837916
13,Bechelor's Degree or Higher,2012,968848,1153672
14,Bachelor's degree or higher,2012,62322,84086
15,Less Than High School,2013,606087,660429
16,High School Graduate,2013,776799,830518
17,Some College or Associate's Degree,2013,715301,825959
18,Bechelor's Degree or Higher,2013,1000189,1204272
19,Bachelor's degree or higher,2013,58276,81292
20,Less Than High School,2014,588986,675991
21,High School Graduate,2014,782452,834990
22,Some College or Associate's Degree,2014,726738,825668
23,Bechelor's Degree or Higher,2014,1030798,1224787
24,Bachelor's degree or higher,2014,58991,87200
25,Less Than High School,2017,565848,635431
26,High School Graduate,2017,829736,843784
27,Some College or Associate's Degree,2017,715039,831844
28,Bechelor's Degree or Higher,2017,1089614,1322375
29,Less Than High School,2018,525862,591887
30,High School Graduate,2018,792263,815108
31,Some College or Associate's Degree,2018,691828,784376
32,Bechelor's Degree or Higher,2018,1108186,1351234
33,Less Than High School,2019,501786,573846
34,High School Graduate,2019,809115,819549
35,Some College or Associate's Degree,2019,667578,779216
36,Bechelor's Degree or Higher,2019,1123669,1346981
37,Less Than High School,2015,592837,654172
38,High School Graduate,2015,781545,830141
39,Some College or Associate's Degree,2015,718476,828652
40,Bechelor's Degree or Higher,2015,1068466,1271439
41,Less Than High School,2016,568016,634964
42,High School Graduate,2016,789222,838958
43,Some College or Associate's Degree,2016,732434,820422
44,Bechelor's Degree or Higher,2016,1066385,1287645
