"Education_Level","year","Gender","NumEducated"
"Less Than High School","2010","Male",618869
"Less Than High School","2010","Female",675057
"High School Graduate","2010","Male",763185
"High School Graduate","2010","Female",845334
"Some College, No Degree","2010","Male",402078
"Some College, No Degree","2010","Female",422706
"Some College or Associate's Degree","2010","Male",303360
"Some College or Associate's Degree","2010","Female",381338
"Bechelor's Degree or Higher","2010","Male",899684
"Bechelor's Degree or Higher","2010","Female",1107193
"Less Than High School","2011","Male",614957
"Less Than High School","2011","Female",681799
"High School Graduate","2011","Male",769369
"High School Graduate","2011","Female",827526
"Some College, No Degree","2011","Male",386230
"Some College, No Degree","2011","Female",434348
"Some College or Associate's Degree","2011","Male",310510
"Some College or Associate's Degree","2011","Female",393398
"Bechelor's Degree or Higher","2011","Male",937249
"Bechelor's Degree or Higher","2011","Female",1113998
"Less Than High School","2012","Male",616467
"Less Than High School","2012","Female",677035
"High School Graduate","2012","Male",753683
"High School Graduate","2012","Female",821854
"Some College, No Degree","2012","Male",401326
"Some College, No Degree","2012","Female",433775
"Some College or Associate's Degree","2012","Male",320141
"Some College or Associate's Degree","2012","Female",404139
"Bechelor's Degree or Higher","2012","Male",968848
"Bechelor's Degree or Higher","2012","Female",1153672
"Less Than High School","2013","Male",606087
"Less Than High School","2013","Female",660429
"High School Graduate","2013","Male",776799
"High School Graduate","2013","Female",830518
"Some College, No Degree","2013","Male",392398
"Some College, No Degree","2013","Female",416598
"Some College or Associate's Degree","2013","Male",322901
"Some College or Associate's Degree","2013","Female",409356
"Bechelor's Degree or Higher","2013","Male",1000189
"Bechelor's Degree or Higher","2013","Female",1204272
"Less Than High School","2014","Male",588986
"Less Than High School","2014","Female",675991
"High School Graduate","2014","Male",782452
"High School Graduate","2014","Female",834990
"Some College, No Degree","2014","Male",399003
"Some College, No Degree","2014","Female",414748
"Some College or Associate's Degree","2014","Male",327734
"Some College or Associate's Degree","2014","Female",410919
"Bechelor's Degree or Higher","2014","Male",1030798
"Bechelor's Degree or Higher","2014","Female",1224787
"Less Than High School","2017","Male",565848
"Less Than High School","2017","Female",635431
"High School Graduate","2017","Male",829736
"High School Graduate","2017","Female",843784
"Some College, No Degree","2017","Male",393193
"Some College, No Degree","2017","Female",428820
"Some College or Associate's Degree","2017","Male",321846
"Some College or Associate's Degree","2017","Female",403024
"Bechelor's Degree or Higher","2017","Male",1089614
"Bechelor's Degree or Higher","2017","Female",1322375
"Less Than High School","2018","Male",525862
"Less Than High School","2018","Female",591887
"High School Graduate","2018","Male",792263
"High School Graduate","2018","Female",815108
"Some College, No Degree","2018","Male",383154
"Some College, No Degree","2018","Female",415332
"Some College or Associate's Degree","2018","Male",308674
"Some College or Associate's Degree","2018","Female",369044
"Bechelor's Degree or Higher","2018","Male",1108186
"Bechelor's Degree or Higher","2018","Female",1351234
"Less Than High School","2019","Male",501786
"Less Than High School","2019","Female",573846
"High School Graduate","2019","Male",809115
"High School Graduate","2019","Female",819549
"Some College, No Degree","2019","Male",378701
"Some College, No Degree","2019","Female",409080
"Some College or Associate's Degree","2019","Male",288877
"Some College or Associate's Degree","2019","Female",370136
"Bechelor's Degree or Higher","2019","Male",1123669
"Bechelor's Degree or Higher","2019","Female",1346981
"Less Than High School","2015","Male",592837
"Less Than High School","2015","Female",654172
"High School Graduate","2015","Male",781545
"High School Graduate","2015","Female",830141
"Some College, No Degree","2015","Male",394822
"Some College, No Degree","2015","Female",437555
"Some College or Associate's Degree","2015","Male",323654
"Some College or Associate's Degree","2015","Female",391097
"Bechelor's Degree or Higher","2015","Male",1068466
"Bechelor's Degree or Higher","2015","Female",1271439
"Less Than High School","2016","Male",568016
"Less Than High School","2016","Female",634964
"High School Graduate","2016","Male",789222
"High School Graduate","2016","Female",838958
"Some College, No Degree","2016","Male",404210
"Some College, No Degree","2016","Female",427974
"Some College or Associate's Degree","2016","Male",328224
"Some College or Associate's Degree","2016","Female",392448
"Bechelor's Degree or Higher","2016","Male",1066385
"Bechelor's Degree or Higher","2016","Female",1287645
