,NumEmp,Gender,year,Salary_CountyGender
0,3096087.0,Male,2010,46858.54350395839
1,3150482.0,Male,2011,46655.16333573085
2,3211351.0,Male,2012,47139.00237785904
3,3256769.0,Male,2013,48320.73671925764
4,3333473.0,Male,2014,46871.59637511989
5,3419593.0,Male,2015,49671.45925571845
6,3439473.0,Male,2016,50218.16575528189
7,3452113.0,Male,2017,52052.28131218571
8,3377656.0,Male,2018,55420.17564467587
9,3395223.0,Male,2019,57281.900583627845
0,2873027.0,Female,2010,38683.44183333698
1,2884265.0,Female,2011,40466.083830372736
2,2989940.0,Female,2012,41643.006999214034
3,3011701.0,Female,2013,41947.3898122545
4,3103348.0,Female,2014,41276.30224315964
5,3183292.0,Female,2015,41495.795273848584
6,3165670.0,Female,2016,42506.787258243916
7,3236668.0,Female,2017,45126.215271384026
8,3200372.0,Female,2018,47810.88591885777
9,3238872.0,Female,2019,49206.70617132549
