"year","Gender","Education_Level","NumEducated","NumEmp","Salary_CountyGender"
2010,"Female","Less Than High School",675057,2873027,38683.441833337
2010,"Female","High School Graduate",845334,2873027,38683.441833337
2010,"Female","Some College, No Degree",422706,2873027,38683.441833337
2010,"Female","Some College or Associate's Degree",381338,2873027,38683.441833337
2010,"Female","Bechelor's Degree or Higher",1107193,2873027,38683.441833337
2010,"Male","Less Than High School",618869,3096087,46858.5435039584
2010,"Male","High School Graduate",763185,3096087,46858.5435039584
2010,"Male","Some College, No Degree",402078,3096087,46858.5435039584
2010,"Male","Some College or Associate's Degree",303360,3096087,46858.5435039584
2010,"Male","Bechelor's Degree or Higher",899684,3096087,46858.5435039584
2011,"Female","Less Than High School",681799,2884265,40466.0838303727
2011,"Female","High School Graduate",827526,2884265,40466.0838303727
2011,"Female","Some College, No Degree",434348,2884265,40466.0838303727
2011,"Female","Some College or Associate's Degree",393398,2884265,40466.0838303727
2011,"Female","Bechelor's Degree or Higher",1113998,2884265,40466.0838303727
2011,"Male","Less Than High School",614957,3150482,46655.1633357309
2011,"Male","High School Graduate",769369,3150482,46655.1633357309
2011,"Male","Some College, No Degree",386230,3150482,46655.1633357309
2011,"Male","Some College or Associate's Degree",310510,3150482,46655.1633357309
2011,"Male","Bechelor's Degree or Higher",937249,3150482,46655.1633357309
2012,"Female","Less Than High School",677035,2989940,41643.006999214
2012,"Female","High School Graduate",821854,2989940,41643.006999214
2012,"Female","Some College, No Degree",433775,2989940,41643.006999214
2012,"Female","Some College or Associate's Degree",404139,2989940,41643.006999214
2012,"Female","Bechelor's Degree or Higher",1153672,2989940,41643.006999214
2012,"Male","Less Than High School",616467,3211351,47139.002377859
2012,"Male","High School Graduate",753683,3211351,47139.002377859
2012,"Male","Some College, No Degree",401326,3211351,47139.002377859
2012,"Male","Some College or Associate's Degree",320141,3211351,47139.002377859
2012,"Male","Bechelor's Degree or Higher",968848,3211351,47139.002377859
2013,"Female","Less Than High School",660429,3011701,41947.3898122545
2013,"Female","High School Graduate",830518,3011701,41947.3898122545
2013,"Female","Some College, No Degree",416598,3011701,41947.3898122545
2013,"Female","Some College or Associate's Degree",409356,3011701,41947.3898122545
2013,"Female","Bechelor's Degree or Higher",1204272,3011701,41947.3898122545
2013,"Male","Less Than High School",606087,3256769,48320.7367192576
2013,"Male","High School Graduate",776799,3256769,48320.7367192576
2013,"Male","Some College, No Degree",392398,3256769,48320.7367192576
2013,"Male","Some College or Associate's Degree",322901,3256769,48320.7367192576
2013,"Male","Bechelor's Degree or Higher",1000189,3256769,48320.7367192576
