,Gender,Boroughs,year,Salary_CountyGender
0,Male,Bronx County,year2010,41084.16
1,Male,Bronx County,year2011,41193.04
2,Male,Bronx County,year2012,39712.68
3,Male,Bronx County,year2013,40585.76
4,Male,Bronx County,year2014,39686.44
5,Male,Bronx County,year2015,39976.16
6,Male,Bronx County,year2016,41026.88
7,Male,Bronx County,year2017,41455.6
8,Male,Bronx County,year2018,44184.08
9,Male,Bronx County,year2019,47463.48
250,Female,Bronx County,year2010,35105.48
251,Female,Bronx County,year2011,31102.12
252,Female,Bronx County,year2012,37686.04
253,Female,Bronx County,year2013,37264.36
254,Female,Bronx County,year2014,36468.0
255,Female,Bronx County,year2015,34697.08
256,Female,Bronx County,year2016,34234.16
257,Female,Bronx County,year2017,38590.56
258,Female,Bronx County,year2018,37695.4
259,Female,Bronx County,year2019,41836.6
500,Male,Queens County,year2010,42950.52
501,Male,Queens County,year2011,44526.16
502,Male,Queens County,year2012,44982.72
503,Male,Queens County,year2013,46207.0
504,Male,Queens County,year2014,44277.08
505,Male,Queens County,year2015,47160.4
506,Male,Queens County,year2016,47644.56
507,Male,Queens County,year2017,50916.44
508,Male,Queens County,year2018,51490.72
509,Male,Queens County,year2019,52750.6
750,Female,Queens County,year2010,38949.333333333336
751,Female,Queens County,year2011,40090.04
752,Female,Queens County,year2012,40880.8
753,Female,Queens County,year2013,40047.56
754,Female,Queens County,year2014,39950.04
755,Female,Queens County,year2015,40140.8
756,Female,Queens County,year2016,40246.04
757,Female,Queens County,year2017,42744.32
758,Female,Queens County,year2018,45261.44
759,Female,Queens County,year2019,46399.28
1000,Male,Kings County,year2010,44426.24
1001,Male,Kings County,year2011,43151.84
1002,Male,Kings County,year2012,44221.96
1003,Male,Kings County,year2013,43310.36
1004,Male,Kings County,year2014,44667.4
1005,Male,Kings County,year2015,47730.12
1006,Male,Kings County,year2016,48550.88
1007,Male,Kings County,year2017,49251.16
1008,Male,Kings County,year2018,54244.96
1009,Male,Kings County,year2019,55390.68
1250,Female,Kings County,year2010,37216.92
1251,Female,Kings County,year2011,40585.48
1252,Female,Kings County,year2012,39452.12
1253,Female,Kings County,year2013,41078.973333333335
1254,Female,Kings County,year2014,38165.96
1255,Female,Kings County,year2015,40463.18
1256,Female,Kings County,year2016,41119.72
1257,Female,Kings County,year2017,44011.88
1258,Female,Kings County,year2018,46058.48
1259,Female,Kings County,year2019,48516.96
1500,Male,New York County,year2010,55521.64
1501,Male,New York County,year2011,54345.52
1502,Male,New York County,year2012,55938.24
1503,Male,New York County,year2013,58987.4
1504,Male,New York County,year2014,55639.4
1505,Male,New York County,year2015,59692.68
1506,Male,New York County,year2016,59661.36
1507,Male,New York County,year2017,61505.04
1508,Male,New York County,year2018,65620.2
1509,Male,New York County,year2019,70002.0
1750,Female,New York County,year2010,41308.36
1751,Female,New York County,year2011,45530.52
1752,Female,New York County,year2012,47603.48
1753,Female,New York County,year2013,46222.48
1754,Female,New York County,year2014,49099.96
1755,Female,New York County,year2015,47625.44
1756,Female,New York County,year2016,50847.44
1757,Female,New York County,year2017,52458.84
1758,Female,New York County,year2018,58414.24
1759,Female,New York County,year2019,57625.12
2000,Male,Richmond County,year2010,55196.38
2001,Male,Richmond County,year2011,54480.94
2002,Male,Richmond County,year2012,53154.1
2003,Male,Richmond County,year2013,57488.98
2004,Male,Richmond County,year2014,52965.10333333333
2005,Male,Richmond County,year2015,54566.50333333333
2006,Male,Richmond County,year2016,55536.74333333333
2007,Male,Richmond County,year2017,58809.11333333333
2008,Male,Richmond County,year2018,67151.95333333332
2009,Male,Richmond County,year2019,60158.11333333333
2250,Female,Richmond County,year2010,42472.59666666666
2251,Female,Richmond County,year2011,43714.26333333333
2252,Female,Richmond County,year2012,39643.596666666665
2253,Female,Richmond County,year2013,48683.05
2254,Female,Richmond County,year2014,42267.545
2255,Female,Richmond County,year2015,45296.985
2256,Female,Richmond County,year2016,46717.985
2257,Female,Richmond County,year2017,48114.18666666666
2258,Female,Richmond County,year2018,50237.14666666666
2259,Female,Richmond County,year2019,47875.74666666666
