,Label,Total,year
0,Civilian employed population 16 years and over,8913640.0,2010
1,"Agriculture, forestry, fishing and hunting, and mining",57713.0,2010
2,Construction,502090.0,2010
3,Manufacturing,600607.0,2010
4,Wholesale trade,233847.0,2010
5,Retail trade,957810.0,2010
6,"Transportation and warehousing, and utilities",459582.0,2010
7,Information,255604.0,2010
8,"Finance and insurance, and real estate and rental and leasing",738131.0,2010
9,"Professional, scientific, and management, and administrative and waste management services",977046.0,2010
10,"Educational services, and health care and social assistance",2457616.0,2010
11,"Arts, entertainment, and recreation, and accommodation and food services",771535.0,2010
12,"Other services, except public administration",465602.0,2010
13,Public administration,436457.0,2010
0,Civilian employed population 16 years and over,8959015.0,2011
1,"Agriculture, forestry, fishing and hunting, and mining",53868.0,2011
2,Construction,497782.0,2011
3,Manufacturing,598136.0,2011
4,Wholesale trade,225373.0,2011
5,Retail trade,983700.0,2011
6,"Transportation and warehousing, and utilities",456823.0,2011
7,Information,255015.0,2011
8,"Finance and insurance, and real estate and rental and leasing",728876.0,2011
9,"Professional, scientific, and management, and administrative and waste management services",988778.0,2011
10,"Educational services, and health care and social assistance",2460620.0,2011
11,"Arts, entertainment, and recreation, and accommodation and food services",824296.0,2011
12,"Other services, except public administration",457705.0,2011
13,Public administration,428043.0,2011
0,Civilian employed population 16 years and over,9099766.0,2012
1,"Agriculture, forestry, fishing and hunting, and mining",51554.0,2012
2,Construction,511823.0,2012
3,Manufacturing,614140.0,2012
4,Wholesale trade,223605.0,2012
5,Retail trade,1014676.0,2012
6,"Transportation and warehousing, and utilities",453119.0,2012
7,Information,256407.0,2012
8,"Finance and insurance, and real estate and rental and leasing",726950.0,2012
9,"Professional, scientific, and management, and administrative and waste management services",1021447.0,2012
10,"Educational services, and health care and social assistance",2486435.0,2012
11,"Arts, entertainment, and recreation, and accommodation and food services",854118.0,2012
12,"Other services, except public administration",458288.0,2012
13,Public administration,427204.0,2012
0,Civilian employed population 16 years and over,9213552.0,2013
1,"Agriculture, forestry, fishing and hunting, and mining",58946.0,2013
2,Construction,514249.0,2013
3,Manufacturing,604458.0,2013
4,Wholesale trade,228397.0,2013
5,Retail trade,988572.0,2013
6,"Transportation and warehousing, and utilities",456049.0,2013
7,Information,270229.0,2013
8,"Finance and insurance, and real estate and rental and leasing",749611.0,2013
9,"Professional, scientific, and management, and administrative and waste management services",1081785.0,2013
10,"Educational services, and health care and social assistance",2516343.0,2013
11,"Arts, entertainment, and recreation, and accommodation and food services",873245.0,2013
12,"Other services, except public administration",459490.0,2013
13,Public administration,412178.0,2013
0,Civilian employed population 16 years and over,9354155.0,2014
1,"Agriculture, forestry, fishing and hunting, and mining",57066.0,2014
2,Construction,524696.0,2014
3,Manufacturing,588566.0,2014
4,Wholesale trade,226317.0,2014
5,Retail trade,1010157.0,2014
6,"Transportation and warehousing, and utilities",482703.0,2014
7,Information,280583.0,2014
8,"Finance and insurance, and real estate and rental and leasing",739236.0,2014
9,"Professional, scientific, and management, and administrative and waste management services",1077330.0,2014
10,"Educational services, and health care and social assistance",2572061.0,2014
11,"Arts, entertainment, and recreation, and accommodation and food services",908775.0,2014
12,"Other services, except public administration",467177.0,2014
13,Public administration,419488.0,2014
0,Civilian employed population 16 years and over,9473337.0,2015
1,"Agriculture, forestry, fishing and hunting, and mining",52298.0,2015
2,Construction,535021.0,2015
3,Manufacturing,577352.0,2015
4,Wholesale trade,235404.0,2015
5,Retail trade,1001975.0,2015
6,"Transportation and warehousing, and utilities",515243.0,2015
7,Information,280858.0,2015
8,"Finance and insurance, and real estate and rental and leasing",744778.0,2015
9,"Professional, scientific, and management, and administrative and waste management services",1104596.0,2015
10,"Educational services, and health care and social assistance",2599743.0,2015
11,"Arts, entertainment, and recreation, and accommodation and food services",933041.0,2015
12,"Other services, except public administration",473357.0,2015
13,Public administration,419671.0,2015
0,Civilian employed population 16 years and over,9503468.0,2016
1,"Agriculture, forestry, fishing and hunting, and mining",61159.0,2016
2,Construction,532751.0,2016
3,Manufacturing,571646.0,2016
4,Wholesale trade,228960.0,2016
5,Retail trade,1014960.0,2016
6,"Transportation and warehousing, and utilities",500780.0,2016
7,Information,273141.0,2016
8,"Finance and insurance, and real estate and rental and leasing",764623.0,2016
9,"Professional, scientific, and management, and administrative and waste management services",1113867.0,2016
10,"Educational services, and health care and social assistance",2588717.0,2016
11,"Arts, entertainment, and recreation, and accommodation and food services",935384.0,2016
12,"Other services, except public administration",475263.0,2016
13,Public administration,442217.0,2016
0,Civilian employed population 16 years and over,9634437.0,2017
1,"Agriculture, forestry, fishing and hunting, and mining",52520.0,2017
2,Construction,551537.0,2017
3,Manufacturing,584904.0,2017
4,Wholesale trade,221498.0,2017
5,Retail trade,989478.0,2017
6,"Transportation and warehousing, and utilities",527257.0,2017
7,Information,273633.0,2017
8,"Finance and insurance, and real estate and rental and leasing",770444.0,2017
9,"Professional, scientific, and management, and administrative and waste management services",1163020.0,2017
10,"Educational services, and health care and social assistance",2668285.0,2017
11,"Arts, entertainment, and recreation, and accommodation and food services",912225.0,2017
12,"Other services, except public administration",487740.0,2017
13,Public administration,431896.0,2017
0,Civilian employed population 16 years and over,9504716.0,2018
1,"Agriculture, forestry, fishing and hunting, and mining",50480.0,2018
2,Construction,545896.0,2018
3,Manufacturing,551379.0,2018
4,Wholesale trade,205014.0,2018
5,Retail trade,941072.0,2018
6,"Transportation and warehousing, and utilities",555380.0,2018
7,Information,266579.0,2018
8,"Finance and insurance, and real estate and rental and leasing",757363.0,2018
9,"Professional, scientific, and management, and administrative and waste management services",1166509.0,2018
10,"Educational services, and health care and social assistance",2647464.0,2018
11,"Arts, entertainment, and recreation, and accommodation and food services",905696.0,2018
12,"Other services, except public administration",467645.0,2018
13,Public administration,444239.0,2018
0,Civilian employed population 16 years and over,9611029.0,2019
1,"Agriculture, forestry, fishing and hunting, and mining",55788.0,2019
2,Construction,575689.0,2019
3,Manufacturing,551686.0,2019
4,Wholesale trade,218852.0,2019
5,Retail trade,926508.0,2019
6,"Transportation and warehousing, and utilities",550264.0,2019
7,Information,275395.0,2019
8,"Finance and insurance, and real estate and rental and leasing",750572.0,2019
9,"Professional, scientific, and management, and administrative and waste management services",1168402.0,2019
10,"Educational services, and health care and social assistance",2760336.0,2019
11,"Arts, entertainment, and recreation, and accommodation and food services",906635.0,2019
12,"Other services, except public administration",428369.0,2019
13,Public administration,442533.0,2019
