,Earning_category,"New York, Total","New York, Male","New York, Female",year
0,Population 16 years and over with earnings,10016259,5166443,4849816,2010
1,Median earnings (dollars),32088,37063,28902,2010
2,Full-time year-round workers with earnings,6315556,3513784,2801772,2010
3,$1 to $9999 or loss,132626,66761,64440,2010
4,$10000 to $14999,239991,122982,114872,2010
5,$15000 to $24999,814706,425167,389446,2010
6,$25000 to $34999,972595,463819,504318,2010
7,$35000 to $49999,1282057,660591,619191,2010
8,$50000 to $64999,978911,551664,425869,2010
9,$65000 to $74999,397880,228395,170908,2010
10,$75000 to $99999,656817,390030,263366,2010
11,$100000 or more,846284,604370,246555,2010
13,Mean earnings (dollars),62837,70791,52862,2010
0,Population 16 years and over with earnings,10007118,5167836,4839282,2011
1,Median earnings (dollars),32288,36969,28794,2011
2,Full-time year-round workers with earnings,6311311,3521841,2789470,2011
3,$1 to $9999 or loss,126226,56349,66947,2011
4,$10000 to $14999,252452,130308,122736,2011
5,$15000 to $24999,833093,433186,396104,2011
6,$25000 to $34999,927762,464883,463052,2011
7,$35000 to $49999,1230705,648018,582999,2011
8,$50000 to $64999,953007,524754,429578,2011
9,$65000 to $74999,403923,232441,172947,2011
10,$75000 to $99999,675310,397968,278947,2011
11,$100000 or more,902517,630409,273368,2011
13,Mean earnings (dollars),64597,72521,54591,2011
0,Population 16 years and over with earnings,10136122,5216128,4919994,2012
1,Median earnings (dollars),33190,38724,29693,2012
2,Full-time year-round workers with earnings,6434149,3588872,2845277,2012
3,$1 to $9999 or loss,122248,61010,62596,2012
4,$10000 to $14999,238063,114843,122346,2012
5,$15000 to $24999,810702,427075,381267,2012
6,$25000 to $34999,926517,462964,463780,2012
7,$35000 to $49999,1228922,628052,600353,2012
8,$50000 to $64999,1003727,559864,441017,2012
9,$65000 to $74999,443956,254809,190633,2012
10,$75000 to $99999,714190,423486,293063,2012
11,$100000 or more,945819,656763,290218,2012
13,Mean earnings (dollars),65236,73130,55280,2012
0,Population 16 years and over with earnings,10228286,5268036,4960250,2013
1,Median earnings (dollars),33062,38004,30279,2013
2,Full-time year-round workers with earnings,6480034,3597220,2882814,2013
3,$1 to $9999 or loss,123120,61152,60539,2013
4,$10000 to $14999,239761,125902,115312,2013
5,$15000 to $24999,790564,420874,369000,2013
6,$25000 to $34999,946084,467638,475664,2013
7,$35000 to $49999,1211766,618721,596742,2013
8,$50000 to $64999,972005,532388,438187,2013
9,$65000 to $74999,427682,241013,184500,2013
10,$75000 to $99999,725763,420874,305578,2013
11,$100000 or more,1043285,705055,334406,2013
13,Mean earnings (dollars),67670,75949,57340,2013
0,Population 16 years and over with earnings,10311945,5311053,5000892,2014
1,Median earnings (dollars),34308,39407,30475,2014
2,Full-time year-round workers with earnings,6555496,3648217,2907279,2014
3,$1 to $9999 or loss,124554,62019,61052,2014
4,$10000 to $14999,222886,116742,104662,2014
5,$15000 to $24999,799770,412248,386668,2014
6,$25000 to $34999,937435,481564,453535,2014
7,$35000 to $49999,1232433,631141,601806,2014
8,$50000 to $64999,1002990,547232,453535,2014
9,$65000 to $74999,439218,244430,191880,2014
10,$75000 to $99999,734215,426841,311078,2014
11,$100000 or more,1061990,725995,337244,2014
13,Mean earnings (dollars),68681,76685,58637,2014
0,Population 16 years and over with earnings,10404534,5360629,5043905,2015
1,Median earnings (dollars),35580,40570,30878,2015
2,Full-time year-round workers with earnings,6664138,3717680,2946458,2015
3,$1 to $9999 or loss,106626,55765,53036,2015
4,$10000 to $14999,219916,107812,111965,2015
5,$15000 to $24999,766375,401509,368307,2015
6,$25000 to $34999,926315,475863,447861,2015
7,$35000 to $49999,1246193,639440,604023,2015
8,$50000 to $64999,1039605,572522,468486,2015
9,$65000 to $74999,466489,260237,206252,2015
10,$75000 to $99999,766375,442403,324110,2015
11,$100000 or more,1126239,762124,362414,2015
13,Mean earnings (dollars),69491,77548,59326,2015
0,Population 16 years and over with earnings,10429686,5376236,5053450,2016
1,Median earnings (dollars),36263,41130,31539,2016
2,Full-time year-round workers with earnings,6710730,3745109,2965621,2016
3,$1 to $9999 or loss,100660,56176,47449,2016
4,$10000 to $14999,201321,97372,103796,2016
5,$15000 to $24999,758312,393236,364771,2016
6,$25000 to $34999,899237,471883,430015,2016
7,$35000 to $49999,1228063,629178,596089,2016
8,$50000 to $64999,1046873,576746,474499,2016
9,$65000 to $74999,476461,262157,213524,2016
10,$75000 to $99999,778444,438177,341046,2016
11,$100000 or more,1214642,820178,397393,2016
13,Mean earnings (dollars),72152,80871,61142,2016
0,Population 16 years and over with earnings,10529212,5419511,5109701,2017
1,Median earnings (dollars),37329,42037,32231,2017
2,FULL-TIME YEAR-ROUND WORKERS WITH EARNINGS,6840326,3802754,3037572,2017
3,$1 to $9999 or loss,100586,55533,45053,2017
4,$10000 to $14999,171998,81185,90813,2017
5,$15000 to $24999,744090,377236,366854,2017
6,$25000 to $34999,934382,482190,452192,2017
7,$35000 to $49999,1225018,633902,591116,2017
8,$50000 to $64999,1069139,578461,490678,2017
9,$65000 to $74999,478176,270965,207211,2017
10,$75000 to $99999,818426,456060,362366,2017
11,$100000 or more,1298511,867222,431289,2017
13,Mean earnings (dollars) for full-time year-round workers with earnings,74240,82900,63400,2017
0,Population 16 years and over with earnings,10392043,5341254,5050789,2018
1,Median earnings (dollars),40222,45254,35133,2018
2,FULL-TIME YEAR-ROUND WORKERS WITH EARNINGS,6800397,3767097,3033300,2018
3,$1 to $9999 or loss,98100,50053,48047,2018
4,$10000 to $14999,142382,71458,70924,2018
5,$15000 to $24999,634414,324652,309762,2018
6,$25000 to $34999,887327,458148,429179,2018
7,$35000 to $49999,1213855,610086,603769,2018
8,$50000 to $64999,1080671,595637,485034,2018
9,$65000 to $74999,493716,272278,221438,2018
10,$75000 to $99999,876204,480384,395820,2018
11,$100000 or more,1373728,904401,469327,2018
13,Mean earnings (dollars) for full-time year-round workers with earnings,77058,85741,66273,2018
0,Population 16 years and over with earnings,10429826,5336031,5093795,2019
1,Median earnings (dollars),41492,47239,36555,2019
2,FULL-TIME YEAR-ROUND WORKERS WITH EARNINGS,6963659,3845793,3117866,2019
3,$1 to $9999 or loss,100192,50948,49244,2019
4,$10000 to $14999,131190,69266,61924,2019
5,$15000 to $24999,557985,272023,285962,2019
6,$25000 to $34999,903135,475262,427873,2019
7,$35000 to $49999,1247532,623245,624287,2019
8,$50000 to $64999,1068313,583885,484428,2019
9,$65000 to $74999,519073,282622,236451,2019
10,$75000 to $99999,914589,509721,404868,2019
11,$100000 or more,1521650,978821,542829,2019
13,Mean earnings (dollars) for full-time year-round workers with earnings,80779,89787,69668,2019
