,Occupations,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,Gender
4,Management occupations,52075,63901,100440,58163,85946,2010,Male
5,Business and financial operations occupations,49502,65022,89923,60423,80744,2010,Male
7,Computer and mathematical occupations,49466,70859,87516,64772,82728,2010,Male
8,Architecture and engineering occupations,57070,56783,79611,71412,54395,2010,Male
9,"Life, physical, and social science occupations",71368,68804,55215,41411,79576,2010,Male
11,Community and social service occupations,42250,41704,45277,35700,40492,2010,Male
12,Legal occupations,62235,101667,181871,71681,92443,2010,Male
13,"Education, training, and library occupations",46088,45696,54339,56816,59548,2010,Male
14,"Arts, design, entertainment, sports, and media occupations",35569,41647,51856,41470,60117,2010,Male
16,Health diagnosing and treating practitioners and other technical occupations,81106,66068,127862,65926,77428,2010,Male
17,Health technologists and technicians,44469,50671,40143,36777,46270,2010,Male
19,Healthcare support occupations,35139,22232,38415,33157,37374,2010,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",24917,30586,29004,41570,54781,2010,Male
22,Law enforcement workers including supervisors,85363,67034,82054,72227,75707,2010,Male
23,Food preparation and serving related occupations,19478,21457,21144,20747,17364,2010,Male
24,Building and grounds cleaning and maintenance occupations,25166,28636,27796,31731,37946,2010,Male
25,Personal care and service occupations,24566,21830,28697,27053,30305,2010,Male
27,Sales and related occupations,24829,31312,71113,31098,40071,2010,Male
28,Office and administrative support occupations,27301,31633,32461,32054,47212,2010,Male
30,"Farming, fishing, and forestry occupations",41019,35486,18486,23383,,2010,Male
31,Construction and extraction occupations,30809,30602,24712,31043,52489,2010,Male
32,"Installation, maintenance, and repair occupations",31363,38733,33243,41113,51855,2010,Male
34,Production occupations,25244,27122,25548,28281,46439,2010,Male
35,Transportation occupations,22453,31139,22094,30658,49607,2010,Male
36,Material moving occupations,18259,20032,19221,25097,52580,2010,Male
40,Management occupations,51569,55771,81424,59391,62268,2010,Female
41,Business and financial operations occupations,47375,59101,66629,56425,70219,2010,Female
43,Computer and mathematical occupations,60507,71367,65183,71091,60992,2010,Female
44,Architecture and engineering occupations,35373,50718,68612,46190,56889,2010,Female
45,"Life, physical, and social science occupations",62160,56235,46387,51214,82988,2010,Female
47,Community and social service occupations,38509,41324,42123,42700,46311,2010,Female
48,Legal occupations,54693,64545,130675,50355,51122,2010,Female
49,"Education, training, and library occupations",40006,36217,42362,41654,50900,2010,Female
50,"Arts, design, entertainment, sports, and media occupations",52075,42397,51261,40058,53750,2010,Female
52,Health diagnosing and treating practitioners and other technical occupations,66384,70047,63712,69379,68474,2010,Female
53,Health technologists and technicians,39129,39186,37000,43343,52348,2010,Female
55,Healthcare support occupations,20758,22489,20370,26378,26839,2010,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",17435,26179,24757,18307,35077,2010,Female
58,Law enforcement workers including supervisors,60306,51037,63725,56952,68071,2010,Female
59,Food preparation and serving related occupations,13199,20562,16938,17752,12368,2010,Female
60,Building and grounds cleaning and maintenance occupations,15825,17426,14168,17997,15901,2010,Female
61,Personal care and service occupations,14790,16918,16656,16229,19713,2010,Female
63,Sales and related occupations,13706,20135,41546,21003,20782,2010,Female
64,Office and administrative support occupations,32243,31659,40056,32627,31707,2010,Female
66,"Farming, fishing, and forestry occupations",2500-,7675,2500-,,,2010,Female
67,Construction and extraction occupations,13790,19070,4883,48117,7326,2010,Female
68,"Installation, maintenance, and repair occupations",40174,42075,12387,32075,66669,2010,Female
70,Production occupations,16567,19021,18920,20663,26341,2010,Female
71,Transportation occupations,26867,35089,27020,33986,25693,2010,Female
72,Material moving occupations,15878,14180,21067,19784,21250,2010,Female
4,Management occupations,55677,66216,104539,61957,91875,2011,Male
5,Business and financial operations occupations,51465,71657,100068,63396,62317,2011,Male
7,Computer and mathematical occupations,55646,66235,79552,71316,71772,2011,Male
8,Architecture and engineering occupations,67138,61578,88605,69806,67828,2011,Male
9,"Life, physical, and social science occupations",52237,50824,52382,64556,71345,2011,Male
11,Community and social service occupations,37344,34798,42874,42358,47188,2011,Male
12,Legal occupations,100509,102691,168198,82482,61071,2011,Male
13,"Education, training, and library occupations",51832,36438,56169,44706,60188,2011,Male
14,"Arts, design, entertainment, sports, and media occupations",32840,49141,61588,40044,61852,2011,Male
16,Health diagnosing and treating practitioners and other technical occupations,64250,75696,75595,75779,90473,2011,Male
17,Health technologists and technicians,45636,37247,50275,46235,60283,2011,Male
19,Healthcare support occupations,26759,30233,21748,33189,30847,2011,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",30254,27207,20122,34181,42252,2011,Male
22,Law enforcement workers including supervisors,72654,67052,73586,80598,86219,2011,Male
23,Food preparation and serving related occupations,20006,21023,19223,22113,12257,2011,Male
24,Building and grounds cleaning and maintenance occupations,25074,28009,21219,33286,34002,2011,Male
25,Personal care and service occupations,27188,25427,35932,25155,29686,2011,Male
27,Sales and related occupations,21561,30052,95365,26766,31325,2011,Male
28,Office and administrative support occupations,28801,30698,36482,33028,36471,2011,Male
30,"Farming, fishing, and forestry occupations",25825,26890,35364,14692,,2011,Male
31,Construction and extraction occupations,27890,27589,22414,27893,52211,2011,Male
32,"Installation, maintenance, and repair occupations",31537,37316,30004,39159,58569,2011,Male
34,Production occupations,26881,23281,26594,26761,44216,2011,Male
35,Transportation occupations,25316,27263,22135,29070,60034,2011,Male
36,Material moving occupations,25506,24235,18605,24628,71250,2011,Male
40,Management occupations,51271,57321,81609,57330,63364,2011,Female
41,Business and financial operations occupations,48341,51479,75495,57340,62815,2011,Female
43,Computer and mathematical occupations,64071,72108,75969,56492,70775,2011,Female
44,Architecture and engineering occupations,7990,63008,76303,49212,40869,2011,Female
45,"Life, physical, and social science occupations",52132,52500,43674,63581,70635,2011,Female
47,Community and social service occupations,37496,41532,42799,40821,50597,2011,Female
48,Legal occupations,42318,67106,114509,55264,68274,2011,Female
49,"Education, training, and library occupations",37265,36236,44464,42183,34851,2011,Female
50,"Arts, design, entertainment, sports, and media occupations",34090,50326,50601,37386,41283,2011,Female
52,Health diagnosing and treating practitioners and other technical occupations,65566,67518,72187,76216,75551,2011,Female
53,Health technologists and technicians,36468,41266,45895,44256,40552,2011,Female
55,Healthcare support occupations,20742,24001,19482,25662,30680,2011,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",18065,25750,30621,31186,31443,2011,Female
58,Law enforcement workers including supervisors,32464,53066,66269,79327,89852,2011,Female
59,Food preparation and serving related occupations,15532,18841,23286,17409,16152,2011,Female
60,Building and grounds cleaning and maintenance occupations,14850,16561,16025,19311,23196,2011,Female
61,Personal care and service occupations,14557,16185,15232,15985,16898,2011,Female
63,Sales and related occupations,12999,18885,37358,16611,18992,2011,Female
64,Office and administrative support occupations,33050,31813,35614,32772,36950,2011,Female
66,"Farming, fishing, and forestry occupations",,57955,,11471,,2011,Female
67,Construction and extraction occupations,41058,41196,45460,50810,50576,2011,Female
68,"Installation, maintenance, and repair occupations",10362,38180,30916,59681,,2011,Female
