,year,Gender,Bronx,Kings,New_York,Queens,Richmond,New York City
0,2010,Total,840895.0,1686532,1482339.0,1624813,334535.0,5969114.0
1,2010,Total Male,422223.0,861321,748657.0,883819,180067.0,3096087.0
2,2010,Total Female,418672.0,825211,733682.0,740994,154468.0,2873027.0
3,2011,Total,859593.0,1706077,1488779.0,1636419,343879.0,6034747.0
4,2011,Total Male,431279.0,870953,763514.0,899434,185302.0,3150482.0
5,2011,Total Female,428314.0,835124,725265.0,736985,158577.0,2884265.0
6,2012,Total,868844.0,1775395,1527771.0,1685311,343970.0,6201291.0
7,2012,Total Male,434205.0,909214,768337.0,917616,181979.0,3211351.0
8,2012,Total Female,434639.0,866181,759434.0,767695,161991.0,2989940.0
9,2013,Total,877233.0,1817818,1518696.0,1698082,356641.0,6268470.0
10,2013,Total Male,438886.0,930941,773649.0,921829,191464.0,3256769.0
11,2013,Total Female,438347.0,886877,745047.0,776253,165177.0,3011701.0
12,2014,Total,936715.0,1875861,1532185.0,1723791,368269.0,6436821.0
13,2014,Total Male,472405.0,964750,772943.0,932491,190884.0,3333473.0
14,2014,Total Female,464310.0,911111,759242.0,791300,177385.0,3103348.0
15,2015,Total,982524.0,1913337,1593677.0,1765211,348136.0,6602885.0
16,2015,Total Male,492695.0,975846,814165.0,952291,184596.0,3419593.0
17,2015,Total Female,489829.0,937491,779512.0,812920,163540.0,3183292.0
18,2016,Total,979689.0,1926397,1588966.0,1766363,343728.0,6605143.0
19,2016,Total Male,494700.0,990506,813383.0,956697,184187.0,3439473.0
20,2016,Total Female,484989.0,935891,775583.0,809666,159541.0,3165670.0
21,2017,Total,985388.0,1949223,1620522.0,1795088,338560.0,6688781.0
22,2017,Total Male,485409.0,992478,824743.0,967883,181600.0,3452113.0
23,2017,Total Female,499979.0,956745,795779.0,827205,156960.0,3236668.0
24,2018,Total,982948.0,1933124,1575466.0,1731438,355052.0,6578028.0
25,2018,Total Male,492325.0,977551,793490.0,924932,189358.0,3377656.0
26,2018,Total Female,490623.0,955573,781976.0,806506,165694.0,3200372.0
27,2019,Total,985923.0,1940107,1615665.0,1723738,368662.0,6634095.0
28,2019,Total Male,497168.0,982780,810633.0,911029,193613.0,3395223.0
29,2019,Total Female,488755.0,957327,805032.0,812709,175049.0,3238872.0
