"Occupations","Gender","Boroughs","year","Salary","year_range"
"Management occupations","Male","Kings County","year2010",63901,"year2010_2013"
"Management occupations","Male","Kings County","year2011",66216,"year2010_2013"
"Management occupations","Male","Kings County","year2012",66829,"year2010_2013"
"Management occupations","Male","Kings County","year2013",65116,"year2010_2013"
"Management occupations","Male","Kings County","year2014",67142,"year2014_2016"
"Management occupations","Male","Kings County","year2015",75244,"year2014_2016"
"Management occupations","Male","Kings County","year2016",77194,"year2014_2016"
"Management occupations","Male","Kings County","year2017",79988,"year2017_2019"
"Management occupations","Male","Kings County","year2018",80773,"year2017_2019"
"Management occupations","Male","Kings County","year2019",90528,"year2017_2019"
"Business and financial operations occupations","Male","Kings County","year2010",65022,"year2010_2013"
"Business and financial operations occupations","Male","Kings County","year2011",71657,"year2010_2013"
"Business and financial operations occupations","Male","Kings County","year2012",62933,"year2010_2013"
"Business and financial operations occupations","Male","Kings County","year2013",61935,"year2010_2013"
"Business and financial operations occupations","Male","Kings County","year2014",70139,"year2014_2016"
"Business and financial operations occupations","Male","Kings County","year2015",75175,"year2014_2016"
"Business and financial operations occupations","Male","Kings County","year2016",75600,"year2014_2016"
"Business and financial operations occupations","Male","Kings County","year2017",74936,"year2017_2019"
"Business and financial operations occupations","Male","Kings County","year2018",85417,"year2017_2019"
"Business and financial operations occupations","Male","Kings County","year2019",80451,"year2017_2019"
"Computer and mathematical occupations","Male","Kings County","year2010",70859,"year2010_2013"
"Computer and mathematical occupations","Male","Kings County","year2011",66235,"year2010_2013"
"Computer and mathematical occupations","Male","Kings County","year2012",72637,"year2010_2013"
"Computer and mathematical occupations","Male","Kings County","year2013",75399,"year2010_2013"
"Computer and mathematical occupations","Male","Kings County","year2014",78026,"year2014_2016"
"Computer and mathematical occupations","Male","Kings County","year2015",80487,"year2014_2016"
"Computer and mathematical occupations","Male","Kings County","year2016",79217,"year2014_2016"
"Computer and mathematical occupations","Male","Kings County","year2017",84436,"year2017_2019"
"Computer and mathematical occupations","Male","Kings County","year2018",97624,"year2017_2019"
"Computer and mathematical occupations","Male","Kings County","year2019",92429,"year2017_2019"
