Occupations,Gender,Boroughs,year,Salary,year_range,Salary_avg,Salary_year,Salary_county,Salary_gender,Salary_YearlyAvg
Management occupations,Male,Bronx County,year2010,52075.0,year2010_2013,51668.0,70422.45,54820.8,80244.66,67094.8
Management occupations,Male,Bronx County,year2011,55677.0,year2010_2013,51668.0,70422.45,54820.8,80244.66,69115.9
Management occupations,Male,Bronx County,year2012,51601.0,year2010_2013,51668.0,70422.45,54820.8,80244.66,72026.5
Management occupations,Male,Bronx County,year2013,47319.0,year2010_2013,51668.0,70422.45,54820.8,80244.66,73452.6
Management occupations,Male,Bronx County,year2014,50170.0,year2014_2016,50650.33333333334,73709.76666666666,54820.8,80244.66,71319.5
Management occupations,Male,Bronx County,year2015,50705.0,year2014_2016,50650.33333333334,73709.76666666666,54820.8,80244.66,73571.9
Management occupations,Male,Bronx County,year2016,51076.0,year2014_2016,50650.33333333334,73709.76666666666,54820.8,80244.66,76237.9
Management occupations,Male,Bronx County,year2017,51890.0,year2017_2019,61359.0,81321.26666666668,54820.8,80244.66,77821.8
Management occupations,Male,Bronx County,year2018,61859.0,year2017_2019,61359.0,81321.26666666668,54820.8,80244.66,80119.1
Management occupations,Male,Bronx County,year2019,70328.0,year2017_2019,61359.0,81321.26666666668,54820.8,80244.66,86022.9
Business and financial operations occupations,Male,Bronx County,year2010,49502.0,year2010_2013,48437.5,65363.2,54552.75,74453.28,64536.3
Business and financial operations occupations,Male,Bronx County,year2011,51465.0,year2010_2013,48437.5,65363.2,54552.75,74453.28,64437.3
Business and financial operations occupations,Male,Bronx County,year2012,44862.0,year2010_2013,48437.5,65363.2,54552.75,74453.28,62463.1
Business and financial operations occupations,Male,Bronx County,year2013,47921.0,year2010_2013,48437.5,65363.2,54552.75,74453.28,70016.1
Business and financial operations occupations,Male,Bronx County,year2014,59167.0,year2014_2016,57157.0,67663.93333333332,54552.75,74453.28,66972.5
Business and financial operations occupations,Male,Bronx County,year2015,56820.0,year2014_2016,57157.0,67663.93333333332,54552.75,74453.28,68185.0
Business and financial operations occupations,Male,Bronx County,year2016,55484.0,year2014_2016,57157.0,67663.93333333332,54552.75,74453.28,67834.3
Business and financial operations occupations,Male,Bronx County,year2017,60387.0,year2017_2019,64434.33333333334,74765.93333333332,54552.75,74453.28,71643.8
Business and financial operations occupations,Male,Bronx County,year2018,62383.0,year2017_2019,64434.33333333334,74765.93333333332,54552.75,74453.28,74160.2
Business and financial operations occupations,Male,Bronx County,year2019,70533.0,year2017_2019,64434.33333333334,74765.93333333332,54552.75,74453.28,78493.8
Computer and mathematical occupations,Male,Bronx County,year2010,49466.0,year2010_2013,55026.75,70812.2,61062.85,79089.86,68448.1
Computer and mathematical occupations,Male,Bronx County,year2011,55646.0,year2010_2013,55026.75,70812.2,61062.85,79089.86,68393.6
Computer and mathematical occupations,Male,Bronx County,year2012,49040.0,year2010_2013,55026.75,70812.2,61062.85,79089.86,67254.8
Computer and mathematical occupations,Male,Bronx County,year2013,65955.0,year2010_2013,55026.75,70812.2,61062.85,79089.86,79152.3
Computer and mathematical occupations,Male,Bronx County,year2014,57705.0,year2014_2016,58704.66666666666,75369.39999999998,61062.85,79089.86,77417.2
Computer and mathematical occupations,Male,Bronx County,year2015,55789.0,year2014_2016,58704.66666666666,75369.39999999998,61062.85,79089.86,73205.0
Computer and mathematical occupations,Male,Bronx County,year2016,62620.0,year2014_2016,58704.66666666666,75369.39999999998,61062.85,79089.86,75486.0
Computer and mathematical occupations,Male,Bronx County,year2017,65189.0,year2017_2019,65725.33333333331,81843.89999999997,61062.85,79089.86,80663.1
Computer and mathematical occupations,Male,Bronx County,year2018,65272.0,year2017_2019,65725.33333333331,81843.89999999997,61062.85,79089.86,82133.8
Computer and mathematical occupations,Male,Bronx County,year2019,66715.0,year2017_2019,65725.33333333331,81843.89999999997,61062.85,79089.86,82734.8
Architecture and engineering occupations,Male,Bronx County,year2010,57070.0,year2010_2013,67083.75,61062.18333333335,56375.6,72546.7,57705.3
Architecture and engineering occupations,Male,Bronx County,year2011,67138.0,year2010_2013,67083.75,61062.18333333335,56375.6,72546.7,59233.7
Architecture and engineering occupations,Male,Bronx County,year2012,82027.0,year2010_2013,67083.75,61062.18333333335,56375.6,72546.7,67040.0
Architecture and engineering occupations,Male,Bronx County,year2013,62100.0,year2010_2013,67083.75,61062.18333333335,56375.6,72546.7,60269.73333333334
Architecture and engineering occupations,Male,Bronx County,year2014,50407.0,year2014_2016,54219.33333333334,69758.20000000001,56375.6,72546.7,70454.1
Architecture and engineering occupations,Male,Bronx County,year2015,60440.0,year2014_2016,54219.33333333334,69758.20000000001,56375.6,72546.7,69207.8
Architecture and engineering occupations,Male,Bronx County,year2016,51811.0,year2014_2016,54219.33333333334,69758.20000000001,56375.6,72546.7,69612.7
Architecture and engineering occupations,Male,Bronx County,year2017,51159.0,year2017_2019,62052.33333333334,74832.61666666667,56375.6,72546.7,72242.45
Architecture and engineering occupations,Male,Bronx County,year2018,79875.0,year2017_2019,62052.33333333334,74832.61666666667,56375.6,72546.7,77308.4
Architecture and engineering occupations,Male,Bronx County,year2019,55123.0,year2017_2019,62052.33333333334,74832.61666666667,56375.6,72546.7,74947.0
"Life, physical, and social science occupations",Male,Bronx County,year2010,71368.0,year2010_2013,68846.0,60559.25,57610.05,68051.34,61535.8
"Life, physical, and social science occupations",Male,Bronx County,year2011,52237.0,year2010_2013,68846.0,60559.25,57610.05,68051.34,57386.6
"Life, physical, and social science occupations",Male,Bronx County,year2012,75464.0,year2010_2013,68846.0,60559.25,57610.05,68051.34,57263.3
"Life, physical, and social science occupations",Male,Bronx County,year2013,76315.0,year2010_2013,68846.0,60559.25,57610.05,68051.34,66051.3
"Life, physical, and social science occupations",Male,Bronx County,year2014,44863.0,year2014_2016,53277.33333333334,57284.39999999998,57610.05,68051.34,52731.0
"Life, physical, and social science occupations",Male,Bronx County,year2015,60906.0,year2014_2016,53277.33333333334,57284.39999999998,57610.05,68051.34,59742.6
"Life, physical, and social science occupations",Male,Bronx County,year2016,54063.0,year2014_2016,53277.33333333334,57284.39999999998,57610.05,68051.34,59379.6
"Life, physical, and social science occupations",Male,Bronx County,year2017,51780.0,year2017_2019,62093.66666666666,71285.76666666668,57610.05,68051.34,67315.7
"Life, physical, and social science occupations",Male,Bronx County,year2018,72363.0,year2017_2019,62093.66666666666,71285.76666666668,57610.05,68051.34,74664.8
"Life, physical, and social science occupations",Male,Bronx County,year2019,62138.0,year2017_2019,62093.66666666666,71285.76666666668,57610.05,68051.34,71876.8
Community and social service occupations,Male,Bronx County,year2010,42250.0,year2010_2013,39275.75,42134.725,41120.95,42997.12,41639.0
Community and social service occupations,Male,Bronx County,year2011,37344.0,year2010_2013,39275.75,42134.725,41120.95,42997.12,41780.7
Community and social service occupations,Male,Bronx County,year2012,45053.0,year2010_2013,39275.75,42134.725,41120.95,42997.12,43214.2
Community and social service occupations,Male,Bronx County,year2013,32456.0,year2010_2013,39275.75,42134.725,41120.95,42997.12,41905.0
Community and social service occupations,Male,Bronx County,year2014,40801.0,year2014_2016,39739.66666666666,43277.799999999996,41120.95,42997.12,44079.5
Community and social service occupations,Male,Bronx County,year2015,37856.0,year2014_2016,39739.66666666666,43277.799999999996,41120.95,42997.12,43428.9
Community and social service occupations,Male,Bronx County,year2016,40562.0,year2014_2016,39739.66666666666,43277.799999999996,41120.95,42997.12,42325.0
Community and social service occupations,Male,Bronx County,year2017,36592.0,year2017_2019,42260.333333333336,47217.0,41120.95,42997.12,41810.0
Community and social service occupations,Male,Bronx County,year2018,38109.0,year2017_2019,42260.333333333336,47217.0,41120.95,42997.12,46766.7
Community and social service occupations,Male,Bronx County,year2019,52080.0,year2017_2019,42260.333333333336,47217.0,41120.95,42997.12,53074.3
Legal occupations,Male,Bronx County,year2010,62235.0,year2010_2013,73099.0,86041.15,64577.8,106772.7,86128.7
Legal occupations,Male,Bronx County,year2011,100509.0,year2010_2013,73099.0,86041.15,64577.8,106772.7,86242.2
Legal occupations,Male,Bronx County,year2012,55902.0,year2010_2013,73099.0,86041.15,64577.8,106772.7,83018.3
Legal occupations,Male,Bronx County,year2013,73750.0,year2010_2013,73099.0,86041.15,64577.8,106772.7,88775.4
Legal occupations,Male,Bronx County,year2014,63534.0,year2014_2016,69151.0,91934.26666666666,64577.8,106772.7,83236.5
Legal occupations,Male,Bronx County,year2015,61862.0,year2014_2016,69151.0,91934.26666666666,64577.8,106772.7,91585.2
Legal occupations,Male,Bronx County,year2016,82057.0,year2014_2016,69151.0,91934.26666666666,64577.8,106772.7,100981.1
Legal occupations,Male,Bronx County,year2017,92083.0,year2017_2019,83623.0,103607.99999999999,64577.8,106772.7,96452.0
Legal occupations,Male,Bronx County,year2018,60543.0,year2017_2019,83623.0,103607.99999999999,64577.8,106772.7,104282.1
Legal occupations,Male,Bronx County,year2019,98243.0,year2017_2019,83623.0,103607.99999999999,64577.8,106772.7,110089.9
"Education, training, and library occupations",Male,Bronx County,year2010,46088.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,47362.6
"Education, training, and library occupations",Male,Bronx County,year2011,51832.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,44433.2
"Education, training, and library occupations",Male,Bronx County,year2012,34219.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,40823.8
"Education, training, and library occupations",Male,Bronx County,year2013,39688.0,year2010_2013,42956.75,43742.75,39589.0,50621.52,42351.4
"Education, training, and library occupations",Male,Bronx County,year2014,38790.0,year2014_2016,38381.0,46244.600000000006,39589.0,50621.52,43953.1
"Education, training, and library occupations",Male,Bronx County,year2015,43103.0,year2014_2016,38381.0,46244.600000000006,39589.0,50621.52,48814.3
"Education, training, and library occupations",Male,Bronx County,year2016,33250.0,year2014_2016,38381.0,46244.600000000006,39589.0,50621.52,45966.4
"Education, training, and library occupations",Male,Bronx County,year2017,51480.0,year2017_2019,47099.33333333334,50006.60000000003,39589.0,50621.52,49658.9
