"Occupations","Gender","Boroughs","year","Salary","year_range","Salary_avg"
"Management occupations","Male","Bronx County","year2010",52075,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2011",55677,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2012",51601,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2013",47319,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2014",50170,"year2014_2016",50650.3333333333
"Management occupations","Male","Bronx County","year2015",50705,"year2014_2016",50650.3333333333
"Management occupations","Male","Bronx County","year2016",51076,"year2014_2016",50650.3333333333
"Management occupations","Male","Bronx County","year2017",51890,"year2017_2019",61359
"Management occupations","Male","Bronx County","year2018",61859,"year2017_2019",61359
"Management occupations","Male","Bronx County","year2019",70328,"year2017_2019",61359
"Management occupations","Male","Kings County","year2010",63901,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2011",66216,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2012",66829,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2013",65116,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2014",67142,"year2014_2016",73193.3333333333
"Management occupations","Male","Kings County","year2015",75244,"year2014_2016",73193.3333333333
"Management occupations","Male","Kings County","year2016",77194,"year2014_2016",73193.3333333333
"Management occupations","Male","Kings County","year2017",79988,"year2017_2019",83763
"Management occupations","Male","Kings County","year2018",80773,"year2017_2019",83763
"Management occupations","Male","Kings County","year2019",90528,"year2017_2019",83763
"Management occupations","Male","New York County","year2010",100440,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2011",104539,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2012",111337,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2013",120134,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2014",117126,"year2014_2016",122647.333333333
"Management occupations","Male","New York County","year2015",120255,"year2014_2016",122647.333333333
"Management occupations","Male","New York County","year2016",130561,"year2014_2016",122647.333333333
"Management occupations","Male","New York County","year2017",123686,"year2017_2019",129536.666666667
"Management occupations","Male","New York County","year2018",122623,"year2017_2019",129536.666666667
"Management occupations","Male","New York County","year2019",142301,"year2017_2019",129536.666666667
"Management occupations","Male","Queens County","year2010",58163,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2011",61957,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2012",64361,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2013",66544,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2014",61541,"year2014_2016",61760.6666666667
"Management occupations","Male","Queens County","year2015",61529,"year2014_2016",61760.6666666667
"Management occupations","Male","Queens County","year2016",62212,"year2014_2016",61760.6666666667
"Management occupations","Male","Queens County","year2017",70073,"year2017_2019",73635
"Management occupations","Male","Queens County","year2018",75730,"year2017_2019",73635
"Management occupations","Male","Queens County","year2019",75102,"year2017_2019",73635
"Management occupations","Male","Richmond County","year2010",85946,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2011",91875,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2012",82133,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2013",100018,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2014",86549,"year2014_2016",86555.6666666667
"Management occupations","Male","Richmond County","year2015",82241,"year2014_2016",86555.6666666667
"Management occupations","Male","Richmond County","year2016",90877,"year2014_2016",86555.6666666667
"Management occupations","Male","Richmond County","year2017",83066,"year2017_2019",88916.3333333333
"Management occupations","Male","Richmond County","year2018",101050,"year2017_2019",88916.3333333333
"Management occupations","Male","Richmond County","year2019",82633,"year2017_2019",88916.3333333333
"Business and financial operations occupations","Male","Bronx County","year2010",49502,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2011",51465,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2012",44862,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2013",47921,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2014",59167,"year2014_2016",57157
"Business and financial operations occupations","Male","Bronx County","year2015",56820,"year2014_2016",57157
"Business and financial operations occupations","Male","Bronx County","year2016",55484,"year2014_2016",57157
"Business and financial operations occupations","Male","Bronx County","year2017",60387,"year2017_2019",64434.3333333333
"Business and financial operations occupations","Male","Bronx County","year2018",62383,"year2017_2019",64434.3333333333
"Business and financial operations occupations","Male","Bronx County","year2019",70533,"year2017_2019",64434.3333333333
"Business and financial operations occupations","Male","Kings County","year2010",65022,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2011",71657,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2012",62933,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2013",61935,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2014",70139,"year2014_2016",73638
"Business and financial operations occupations","Male","Kings County","year2015",75175,"year2014_2016",73638
"Business and financial operations occupations","Male","Kings County","year2016",75600,"year2014_2016",73638
"Business and financial operations occupations","Male","Kings County","year2017",74936,"year2017_2019",80268
"Business and financial operations occupations","Male","Kings County","year2018",85417,"year2017_2019",80268
"Business and financial operations occupations","Male","Kings County","year2019",80451,"year2017_2019",80268
"Business and financial operations occupations","Male","New York County","year2010",89923,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2011",100068,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2012",100491,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2013",101372,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2014",100134,"year2014_2016",103900
"Business and financial operations occupations","Male","New York County","year2015",105476,"year2014_2016",103900
"Business and financial operations occupations","Male","New York County","year2016",106090,"year2014_2016",103900
"Business and financial operations occupations","Male","New York County","year2017",120680,"year2017_2019",117649.333333333
"Business and financial operations occupations","Male","New York County","year2018",120648,"year2017_2019",117649.333333333
"Business and financial operations occupations","Male","New York County","year2019",111620,"year2017_2019",117649.333333333
"Business and financial operations occupations","Male","Queens County","year2010",60423,"year2010_2013",63683.25
"Business and financial operations occupations","Male","Queens County","year2011",63396,"year2010_2013",63683.25
