"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","21721","128863","104260","253033"
"Male:","13183","66158","46776","140344"
"Management, business, science, and arts occupations:","3000","18146","26534","47747"
"Management, business, and financial occupations:","758","7311","12187","20536"
"Management occupations","271","3793","6327","12551"
"Business and financial operations occupations","487","3518","5860","7985"
"Computer, engineering, and science occupations:","996","4381","4422","12467"
"Computer and mathematical occupations","603","2560","3134","8110"
"Architecture and engineering occupations","232","1345","445","3229"
"Life, physical, and social science occupations","161","476","843","1128"
"Education, legal, community service, arts, and media occupations:","878","4008","6026","8984"
"Community and social service occupations","115","241","780","1615"
"Legal occupations","71","450","894","885"
"Education, training, and library occupations","692","1733","1263","3342"
"Arts, design, entertainment, sports, and media occupations","0","1584","3089","3142"
"Healthcare practitioners and technical occupations:","368","2446","3899","5760"
"Health diagnosing and treating practitioners and other technical occupations","289","2012","3899","3624"
"Health technologists and technicians","79","434","0","2136"
"Service occupations:","2990","16845","5947","25064"
"Healthcare support occupations","234","393","233","1693"
"Protective service occupations:","122","1163","187","2796"
"Fire fighting and prevention, and other protective service workers including supervisors","79","511","65","2004"
"Law enforcement workers including supervisors","43","652","122","792"
"Food preparation and serving related occupations","1544","11961","4058","15273"
"Building and grounds cleaning and maintenance occupations","959","1549","249","2683"
"Personal care and service occupations","131","1779","1220","2619"
"Sales and office occupations:","3357","13936","10211","30102"
"Sales and related occupations","2256","8120","6294","17588"
"Office and administrative support occupations","1101","5816","3917","12514"
"Natural resources, construction, and maintenance occupations:","1526","5631","654","12744"
"Farming, fishing, and forestry occupations","0","179","0","0"
"Construction and extraction occupations","1008","3670","269","8746"
"Installation, maintenance, and repair occupations","518","1782","385","3998"
"Production, transportation, and material moving occupations:","2310","11600","3430","24687"
"Production occupations","472","2785","631","4583"
"Transportation occupations","1556","7669","2146","18306"
"Material moving occupations","282","1146","653","1798"
"Female:","8538","62705","57484","112689"
"Management, business, science, and arts occupations:","2968","22439","37571","43372"
"Management, business, and financial occupations:","925","9094","15062","17082"
"Management occupations","305","4371","7336","8943"
"Business and financial operations occupations","620","4723","7726","8139"
"Computer, engineering, and science occupations:","457","2087","3580","3313"
"Computer and mathematical occupations","277","924","1603","2071"
"Architecture and engineering occupations","49","695","704","397"
"Life, physical, and social science occupations","131","468","1273","845"
"Education, legal, community service, arts, and media occupations:","467","7326","13128","10835"
"Community and social service occupations","0","482","677","1142"
"Legal occupations","0","334","3190","1143"
"Education, training, and library occupations","435","3291","3601","6304"
"Arts, design, entertainment, sports, and media occupations","32","3219","5660","2246"
"Healthcare practitioners and technical occupations:","1119","3932","5801","12142"
"Health diagnosing and treating practitioners and other technical occupations","944","3099","5435","9779"
"Health technologists and technicians","175","833","366","2363"
"Service occupations:","2338","18220","6377","28701"
"Healthcare support occupations","209","4864","2090","5629"
"Protective service occupations:","154","99","0","437"
"Fire fighting and prevention, and other protective service workers including supervisors","154","74","0","287"
"Law enforcement workers including supervisors","0","25","0","150"
"Food preparation and serving related occupations","575","4904","1480","5838"
"Building and grounds cleaning and maintenance occupations","491","1281","851","3699"
"Personal care and service occupations","909","7072","1956","13098"
"Sales and office occupations:","2779","16592","10780","32698"
"Sales and related occupations","1647","7821","5286","15594"
"Office and administrative support occupations","1132","8771","5494","17104"
"Natural resources, construction, and maintenance occupations:","0","62","122","279"
"Farming, fishing, and forestry occupations","0","27","0","0"
"Construction and extraction occupations","0","0","122","86"
"Installation, maintenance, and repair occupations","0","35","0","193"
"Production, transportation, and material moving occupations:","453","5392","2634","7639"
"Production occupations","177","4642","2251","5952"
"Transportation occupations","0","36","383","576"
"Material moving occupations","276","714","0","1111"
