"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","181006","365208","98629","193477","19614"
"Male:","81744","153606","46663","86416","8594"
"Management, business, science, and arts occupations:","17928","37664","16687","20238","2669"
"Management, business, and financial occupations:","6386","15664","7410","8001","791"
"Management occupations","4084","9365","5190","5519","407"
"Business and financial operations occupations","2302","6299","2220","2482","384"
"Computer, engineering, and science occupations:","2663","4441","1510","4323","48"
"Computer and mathematical occupations","1447","2974","1229","2391","0"
"Architecture and engineering occupations","620","700","178","1753","0"
"Life, physical, and social science occupations","596","767","103","179","48"
"Education, legal, community service, arts, and media occupations:","5722","13416","6426","5756","1527"
"Community and social service occupations","1764","2870","1379","1911","588"
"Legal occupations","276","660","514","190","131"
"Education, training, and library occupations","2482","6340","1926","2377","728"
"Arts, design, entertainment, sports, and media occupations","1200","3546","2607","1278","80"
"Healthcare practitioners and technical occupations:","3157","4143","1341","2158","303"
"Health diagnosing and treating practitioners and other technical occupations","1506","2073","882","1307","190"
"Health technologists and technicians","1651","2070","459","851","113"
"Service occupations:","20465","37170","12503","19252","2141"
"Healthcare support occupations","2706","3593","697","1537","262"
"Protective service occupations:","5942","13220","5759","6761","1019"
"Fire fighting and prevention, and other protective service workers including supervisors","5004","10561","4251","4192","693"
"Law enforcement workers including supervisors","938","2659","1508","2569","326"
"Food preparation and serving related occupations","3952","6195","1893","3336","542"
"Building and grounds cleaning and maintenance occupations","5642","9992","2758","4489","318"
"Personal care and service occupations","2223","4170","1396","3129","0"
"Sales and office occupations:","19257","30943","9544","20022","1469"
"Sales and related occupations","7352","12861","4581","7899","711"
"Office and administrative support occupations","11905","18082","4963","12123","758"
"Natural resources, construction, and maintenance occupations:","10039","21920","2238","11076","903"
"Farming, fishing, and forestry occupations","0","0","0","83","0"
"Construction and extraction occupations","5958","15227","1732","4929","335"
"Installation, maintenance, and repair occupations","4081","6693","506","6064","568"
"Production, transportation, and material moving occupations:","14055","25909","5691","15828","1412"
"Production occupations","2082","5531","1099","3637","369"
"Transportation occupations","9312","16410","4044","10175","394"
"Material moving occupations","2661","3968","548","2016","649"
"Female:","99262","211602","51966","107061","11020"
"Management, business, science, and arts occupations:","30982","67498","21177","37328","3518"
"Management, business, and financial occupations:","9560","18344","6622","10095","1461"
"Management occupations","5061","11070","4477","5807","939"
"Business and financial operations occupations","4499","7274","2145","4288","522"
"Computer, engineering, and science occupations:","803","2485","931","1272","0"
"Computer and mathematical occupations","719","1815","442","864","0"
"Architecture and engineering occupations","84","174","0","107","0"
"Life, physical, and social science occupations","0","496","489","301","0"
"Education, legal, community service, arts, and media occupations:","12706","29963","10305","16575","1306"
"Community and social service occupations","4151","9957","2790","6257","858"
"Legal occupations","690","3187","1145","857","237"
"Education, training, and library occupations","7463","14448","5477","8689","179"
"Arts, design, entertainment, sports, and media occupations","402","2371","893","772","32"
"Healthcare practitioners and technical occupations:","7913","16706","3319","9386","751"
"Health diagnosing and treating practitioners and other technical occupations","4908","10611","2319","6446","673"
"Health technologists and technicians","3005","6095","1000","2940","78"
"Service occupations:","36645","81651","12955","36067","3751"
"Healthcare support occupations","17029","37575","5437","17546","1176"
"Protective service occupations:","2849","8357","2324","3983","432"
"Fire fighting and prevention, and other protective service workers including supervisors","2417","4727","1232","2102","87"
"Law enforcement workers including supervisors","432","3630","1092","1881","345"
"Food preparation and serving related occupations","3136","5834","853","2611","907"
"Building and grounds cleaning and maintenance occupations","3500","9234","1673","2954","143"
"Personal care and service occupations","10131","20651","2668","8973","1093"
"Sales and office occupations:","29362","55777","16224","29614","3142"
"Sales and related occupations","10646","17184","4513","9522","1389"
"Office and administrative support occupations","18716","38593","11711","20092","1753"
"Natural resources, construction, and maintenance occupations:","95","727","103","668","176"
"Farming, fishing, and forestry occupations","0","0","0","73","0"
"Construction and extraction occupations","0","347","0","322","176"
"Installation, maintenance, and repair occupations","95","380","103","273","0"
"Production, transportation, and material moving occupations:","2178","5949","1507","3384","433"
"Production occupations","709","1975","714","1233","283"
"Transportation occupations","972","2690","660","1877","0"
"Material moving occupations","497","1284","133","274","150"
