"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","208237","92614","80253","140826"
"Male:","106666","54314","38299","80319"
"Management, business, science, and arts occupations:","14176","7373","5121","8983"
"Management, business, and financial occupations:","7375","3259","3076","4441"
"Management occupations","5734","2290","2604","3069"
"Business and financial operations occupations","1641","969","472","1372"
"Computer, engineering, and science occupations:","1800","683","303","791"
"Computer and mathematical occupations","1240","365","258","583"
"Architecture and engineering occupations","303","160","0","162"
"Life, physical, and social science occupations","257","158","45","46"
"Education, legal, community service, arts, and media occupations:","4506","2852","1647","2685"
"Community and social service occupations","1123","454","188","322"
"Legal occupations","193","374","296","376"
"Education, training, and library occupations","1286","1179","998","585"
"Arts, design, entertainment, sports, and media occupations","1904","845","165","1402"
"Healthcare practitioners and technical occupations:","495","579","95","1066"
"Health diagnosing and treating practitioners and other technical occupations","299","227","95","664"
"Health technologists and technicians","196","352","0","402"
"Service occupations:","36703","17014","12720","21592"
"Healthcare support occupations","1153","702","39","447"
"Protective service occupations:","3323","2201","875","2868"
"Fire fighting and prevention, and other protective service workers including supervisors","2822","1070","744","2185"
"Law enforcement workers including supervisors","501","1131","131","683"
"Food preparation and serving related occupations","16159","7561","6161","9427"
"Building and grounds cleaning and maintenance occupations","13826","5302","3837","6269"
"Personal care and service occupations","2242","1248","1808","2581"
"Sales and office occupations:","17315","8841","7999","13491"
"Sales and related occupations","7872","4904","4164","6419"
"Office and administrative support occupations","9443","3937","3835","7072"
"Natural resources, construction, and maintenance occupations:","13638","9933","4064","18278"
"Farming, fishing, and forestry occupations","48","0","0","597"
"Construction and extraction occupations","9791","7494","2507","14250"
"Installation, maintenance, and repair occupations","3799","2439","1557","3431"
"Production, transportation, and material moving occupations:","24834","11153","8395","17975"
"Production occupations","5777","4449","2611","4616"
"Transportation occupations","13522","5055","3932","9811"
"Material moving occupations","5535","1649","1852","3548"
"Female:","101571","38300","41954","60507"
"Management, business, science, and arts occupations:","19683","8339","10917","11532"
"Management, business, and financial occupations:","6237","2154","3837","3630"
"Management occupations","3574","1533","2903","1664"
"Business and financial operations occupations","2663","621","934","1966"
"Computer, engineering, and science occupations:","568","228","367","631"
"Computer and mathematical occupations","224","51","297","163"
"Architecture and engineering occupations","26","93","0","338"
"Life, physical, and social science occupations","318","84","70","130"
"Education, legal, community service, arts, and media occupations:","11235","4893","5322","4912"
"Community and social service occupations","2793","1283","606","1404"
"Legal occupations","298","463","729","431"
"Education, training, and library occupations","7286","2756","2806","2911"
"Arts, design, entertainment, sports, and media occupations","858","391","1181","166"
"Healthcare practitioners and technical occupations:","1643","1064","1391","2359"
"Health diagnosing and treating practitioners and other technical occupations","950","733","1082","1256"
"Health technologists and technicians","693","331","309","1103"
"Service occupations:","44352","15449","16070","23061"
"Healthcare support occupations","13066","4915","6807","4607"
"Protective service occupations:","2638","663","505","690"
"Fire fighting and prevention, and other protective service workers including supervisors","1579","430","366","191"
"Law enforcement workers including supervisors","1059","233","139","499"
"Food preparation and serving related occupations","6307","1624","2863","3250"
"Building and grounds cleaning and maintenance occupations","7979","4726","1914","8551"
"Personal care and service occupations","14362","3521","3981","5963"
"Sales and office occupations:","29919","11187","11698","20486"
"Sales and related occupations","13990","5113","5610","5822"
"Office and administrative support occupations","15929","6074","6088","14664"
"Natural resources, construction, and maintenance occupations:","493","132","176","610"
"Farming, fishing, and forestry occupations","0","0","132","0"
"Construction and extraction occupations","57","0","44","518"
"Installation, maintenance, and repair occupations","436","132","0","92"
"Production, transportation, and material moving occupations:","7124","3193","3093","4818"
"Production occupations","3855","2157","2299","3004"
"Transportation occupations","1340","219","145","890"
"Material moving occupations","1929","817","649","924"
