"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","112251","521361","557796","461622","155456"
"Male:","57310","277271","285876","256488","82885"
"Management, business, science, and arts occupations:","15504","125261","191987","84463","26883"
"Management, business, and financial occupations:","6432","46046","88823","38505","12593"
"Management occupations","4270","34022","53487","26352","8260"
"Business and financial operations occupations","2162","12024","35336","12153","4333"
"Computer, engineering, and science occupations:","2516","19410","24658","11428","5116"
"Computer and mathematical occupations","1094","12763","13248","6184","2748"
"Architecture and engineering occupations","1081","4526","6343","3594","1965"
"Life, physical, and social science occupations","341","2121","5067","1650","403"
"Education, legal, community service, arts, and media occupations:","4751","54115","67703","28618","6584"
"Community and social service occupations","404","3333","2270","1470","870"
"Legal occupations","685","7539","17242","4629","1088"
"Education, training, and library occupations","2347","17268","15841","10749","3084"
"Arts, design, entertainment, sports, and media occupations","1315","25975","32350","11770","1542"
"Healthcare practitioners and technical occupations:","1805","5690","10803","5912","2590"
"Health diagnosing and treating practitioners and other technical occupations","1445","4260","9807","3781","1998"
"Health technologists and technicians","360","1430","996","2131","592"
"Service occupations:","12665","40533","22722","53942","15507"
"Healthcare support occupations","369","2669","1040","1385","543"
"Protective service occupations:","3196","7290","3562","11741","8004"
"Fire fighting and prevention, and other protective service workers including supervisors","2149","4411","2528","6688","4474"
"Law enforcement workers including supervisors","1047","2879","1034","5053","3530"
"Food preparation and serving related occupations","4614","14892","9843","21958","2634"
"Building and grounds cleaning and maintenance occupations","3242","9665","2738","11854","3180"
"Personal care and service occupations","1244","6017","5539","7004","1146"
"Sales and office occupations:","10183","54036","54755","41759","15055"
"Sales and related occupations","5148","32811","41416","22839","8296"
"Office and administrative support occupations","5035","21225","13339","18920","6759"
"Natural resources, construction, and maintenance occupations:","9285","30818","7306","40536","14875"
"Farming, fishing, and forestry occupations","529","92","83","87","0"
"Construction and extraction occupations","6070","22893","4900","30852","9356"
"Installation, maintenance, and repair occupations","2686","7833","2323","9597","5519"
"Production, transportation, and material moving occupations:","9673","26623","9106","35788","10565"
"Production occupations","3021","9503","3755","11356","2562"
"Transportation occupations","4583","12776","4237","18068","5218"
"Material moving occupations","2069","4344","1114","6364","2785"
"Female:","54941","244090","271920","205134","72571"
"Management, business, science, and arts occupations:","21938","125309","190596","81398","33281"
"Management, business, and financial occupations:","6621","38235","75978","26653","8391"
"Management occupations","4825","25409","44885","16788","5559"
"Business and financial operations occupations","1796","12826","31093","9865","2832"
"Computer, engineering, and science occupations:","1032","8275","13993","4734","2440"
"Computer and mathematical occupations","459","4036","7011","2485","1550"
"Architecture and engineering occupations","71","1422","1169","1031","178"
"Life, physical, and social science occupations","502","2817","5813","1218","712"
"Education, legal, community service, arts, and media occupations:","10549","64335","80489","35844","15923"
"Community and social service occupations","1684","7648","5226","4119","1353"
"Legal occupations","742","6893","17254","3568","1704"
"Education, training, and library occupations","6226","29860","23623","22280","12119"
"Arts, design, entertainment, sports, and media occupations","1897","19934","34386","5877","747"
"Healthcare practitioners and technical occupations:","3736","14464","20136","14167","6527"
"Health diagnosing and treating practitioners and other technical occupations","2656","11861","16979","11262","4361"
"Health technologists and technicians","1080","2603","3157","2905","2166"
"Service occupations:","13262","45375","21799","51364","11712"
"Healthcare support occupations","3014","14046","4116","9894","3367"
"Protective service occupations:","1178","1931","1435","1741","938"
"Fire fighting and prevention, and other protective service workers including supervisors","763","1368","1077","1016","463"
"Law enforcement workers including supervisors","415","563","358","725","475"
"Food preparation and serving related occupations","2399","8909","5957","11872","1894"
"Building and grounds cleaning and maintenance occupations","2708","8349","2067","13708","1131"
"Personal care and service occupations","3963","12140","8224","14149","4382"
"Sales and office occupations:","17129","65667","55881","63030","26001"
"Sales and related occupations","4922","22622","29886","18666","7783"
"Office and administrative support occupations","12207","43045","25995","44364","18218"
"Natural resources, construction, and maintenance occupations:","246","1339","408","1477","296"
"Farming, fishing, and forestry occupations","0","126","116","0","0"
"Construction and extraction occupations","112","923","169","793","143"
"Installation, maintenance, and repair occupations","134","290","123","684","153"
"Production, transportation, and material moving occupations:","2366","6400","3236","7865","1281"
"Production occupations","1371","3784","1789","4630","630"
"Transportation occupations","759","1379","1239","1294","573"
"Material moving occupations","236","1237","208","1941","78"
