"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","188951","375145","94738","196437"
"Male:","86863","159136","45054","90822"
"Management, business, science, and arts occupations:","17267","37345","15603","19438"
"Management, business, and financial occupations:","6548","14272","7062","7476"
"Management occupations","3897","9300","3380","4828"
"Business and financial operations occupations","2651","4972","3682","2648"
"Computer, engineering, and science occupations:","2373","5640","2283","2602"
"Computer and mathematical occupations","1247","2481","1149","1735"
"Architecture and engineering occupations","958","2208","1044","767"
"Life, physical, and social science occupations","168","951","90","100"
"Education, legal, community service, arts, and media occupations:","6869","13694","5513","7166"
"Community and social service occupations","2192","4805","1728","2295"
"Legal occupations","783","806","137","852"
"Education, training, and library occupations","2438","4106","2031","2165"
"Arts, design, entertainment, sports, and media occupations","1456","3977","1617","1854"
"Healthcare practitioners and technical occupations:","1477","3739","745","2194"
"Health diagnosing and treating practitioners and other technical occupations","748","2358","542","948"
"Health technologists and technicians","729","1381","203","1246"
"Service occupations:","24018","43700","11848","22611"
"Healthcare support occupations","2163","3197","708","1915"
"Protective service occupations:","7680","15164","2302","7260"
"Fire fighting and prevention, and other protective service workers including supervisors","6583","11776","1935","4780"
"Law enforcement workers including supervisors","1097","3388","367","2480"
"Food preparation and serving related occupations","4642","8004","3090","4060"
"Building and grounds cleaning and maintenance occupations","6804","12319","3463","6259"
"Personal care and service occupations","2729","5016","2285","3117"
"Sales and office occupations:","18713","29686","9066","16609"
"Sales and related occupations","10379","12800","5259","8057"
"Office and administrative support occupations","8334","16886","3807","8552"
"Natural resources, construction, and maintenance occupations:","8419","23046","3056","14996"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","5079","14180","1448","7975"
"Installation, maintenance, and repair occupations","3340","8866","1608","7021"
"Production, transportation, and material moving occupations:","18446","25359","5481","17168"
"Production occupations","3727","4771","332","2592"
"Transportation occupations","12287","16296","4061","11063"
"Material moving occupations","2432","4292","1088","3513"
"Female:","102088","216009","49684","105615"
"Management, business, science, and arts occupations:","29732","66586","20208","36060"
"Management, business, and financial occupations:","8363","18316","8391","10729"
"Management occupations","4150","11625","5447","5980"
"Business and financial operations occupations","4213","6691","2944","4749"
"Computer, engineering, and science occupations:","736","2412","579","1579"
"Computer and mathematical occupations","187","1547","340","972"
"Architecture and engineering occupations","0","324","239","442"
"Life, physical, and social science occupations","549","541","0","165"
"Education, legal, community service, arts, and media occupations:","13632","25688","7886","14458"
"Community and social service occupations","5359","7716","1588","5372"
"Legal occupations","936","2463","1628","1217"
"Education, training, and library occupations","6086","13663","3224","7233"
"Arts, design, entertainment, sports, and media occupations","1251","1846","1446","636"
"Healthcare practitioners and technical occupations:","7001","20170","3352","9294"
"Health diagnosing and treating practitioners and other technical occupations","4475","12529","1741","5999"
"Health technologists and technicians","2526","7641","1611","3295"
"Service occupations:","41323","83091","13146","31808"
"Healthcare support occupations","21178","41389","4243","16080"
"Protective service occupations:","2652","6123","1825","3374"
"Fire fighting and prevention, and other protective service workers including supervisors","1470","4094","1499","1610"
"Law enforcement workers including supervisors","1182","2029","326","1764"
"Food preparation and serving related occupations","4377","6859","1364","2705"
"Building and grounds cleaning and maintenance occupations","4405","9199","1887","2181"
"Personal care and service occupations","8711","19521","3827","7468"
"Sales and office occupations:","28769","57356","14839","32841"
"Sales and related occupations","8733","18595","4391","9057"
"Office and administrative support occupations","20036","38761","10448","23784"
"Natural resources, construction, and maintenance occupations:","428","1514","382","1156"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","131","719","0","550"
"Installation, maintenance, and repair occupations","297","795","382","606"
"Production, transportation, and material moving occupations:","1836","7462","1109","3750"
"Production occupations","1011","2504","457","1509"
"Transportation occupations","716","3962","238","1804"
"Material moving occupations","109","996","414","437"
