"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","289490","211186","174894","309310","37198"
"Male:","145670","118577","91230","179308","19354"
"Management, business, science, and arts occupations:","21189","16897","23288","26325","3536"
"Management, business, and financial occupations:","8484","6922","10726","12292","1857"
"Management occupations","5617","5028","8461","9466","1405"
"Business and financial operations occupations","2867","1894","2265","2826","452"
"Computer, engineering, and science occupations:","2085","2283","2346","4312","564"
"Computer and mathematical occupations","1482","1143","1147","2507","455"
"Architecture and engineering occupations","350","861","773","1129","109"
"Life, physical, and social science occupations","253","279","426","676","0"
"Education, legal, community service, arts, and media occupations:","8298","6116","9209","8483","976"
"Community and social service occupations","2122","956","1779","873","107"
"Legal occupations","227","683","1059","880","69"
"Education, training, and library occupations","3091","1940","1953","4142","709"
"Arts, design, entertainment, sports, and media occupations","2858","2537","4418","2588","91"
"Healthcare practitioners and technical occupations:","2322","1576","1007","1238","139"
"Health diagnosing and treating practitioners and other technical occupations","1285","908","454","787","49"
"Health technologists and technicians","1037","668","553","451","90"
"Service occupations:","46232","35999","25821","53842","5331"
"Healthcare support occupations","1615","950","945","1112","0"
"Protective service occupations:","6263","3928","2722","5766","1302"
"Fire fighting and prevention, and other protective service workers including supervisors","4091","2676","2279","3574","623"
"Law enforcement workers including supervisors","2172","1252","443","2192","679"
"Food preparation and serving related occupations","16821","17258","9737","26464","1935"
"Building and grounds cleaning and maintenance occupations","17030","11116","9460","16235","1563"
"Personal care and service occupations","4503","2747","2957","4265","531"
"Sales and office occupations:","28059","17909","18828","29224","2719"
"Sales and related occupations","12749","8349","10690","14236","1530"
"Office and administrative support occupations","15310","9560","8138","14988","1189"
"Natural resources, construction, and maintenance occupations:","21182","25170","9852","37751","4686"
"Farming, fishing, and forestry occupations","60","0","0","577","0"
"Construction and extraction occupations","13617","19314","6536","26556","3685"
"Installation, maintenance, and repair occupations","7505","5856","3316","10618","1001"
"Production, transportation, and material moving occupations:","29008","22602","13441","32166","3082"
"Production occupations","7063","6170","3188","9498","564"
"Transportation occupations","13992","11906","9272","16166","1860"
"Material moving occupations","7953","4526","981","6502","658"
"Female:","143820","92609","83664","130002","17844"
"Management, business, science, and arts occupations:","30022","25093","26703","33735","6119"
"Management, business, and financial occupations:","8614","8264","7849","14100","1815"
"Management occupations","5428","5514","4205","7001","1324"
"Business and financial operations occupations","3186","2750","3644","7099","491"
"Computer, engineering, and science occupations:","1128","1089","1537","1296","79"
"Computer and mathematical occupations","475","629","749","351","0"
"Architecture and engineering occupations","224","180","196","238","34"
"Life, physical, and social science occupations","429","280","592","707","45"
"Education, legal, community service, arts, and media occupations:","16344","12376","13581","14207","2725"
"Community and social service occupations","3850","2267","1737","2164","708"
"Legal occupations","986","1432","469","493","247"
"Education, training, and library occupations","10593","6896","6654","8838","1563"
"Arts, design, entertainment, sports, and media occupations","915","1781","4721","2712","207"
"Healthcare practitioners and technical occupations:","3936","3364","3736","4132","1500"
"Health diagnosing and treating practitioners and other technical occupations","1838","2034","2085","2323","975"
"Health technologists and technicians","2098","1330","1651","1809","525"
"Service occupations:","59207","34668","28990","49360","5387"
"Healthcare support occupations","19780","11033","7419","11787","1168"
"Protective service occupations:","2103","2099","1570","1940","477"
"Fire fighting and prevention, and other protective service workers including supervisors","1489","944","1000","890","0"
"Law enforcement workers including supervisors","614","1155","570","1050","477"
"Food preparation and serving related occupations","8871","4377","4820","7548","1206"
"Building and grounds cleaning and maintenance occupations","11952","8957","6236","18219","1603"
"Personal care and service occupations","16501","8202","8945","9866","933"
"Sales and office occupations:","44763","24356","24399","37069","6097"
"Sales and related occupations","16923","8450","10706","14531","3241"
"Office and administrative support occupations","27840","15906","13693","22538","2856"
"Natural resources, construction, and maintenance occupations:","1303","629","601","1971","0"
"Farming, fishing, and forestry occupations","0","85","0","538","0"
"Construction and extraction occupations","590","268","361","866","0"
"Installation, maintenance, and repair occupations","713","276","240","567","0"
"Production, transportation, and material moving occupations:","8525","7863","2971","7867","241"
"Production occupations","4558","4660","1535","5393","30"
"Transportation occupations","2087","1389","652","1687","159"
"Material moving occupations","1880","1814","784","787","52"
