"Label","Kings County, New York / Estimate","Queens County, New York / Estimate"
"Total:","22229","30314"
"Male:","11169","15307"
"Management, business, science, and arts occupations:","4435","5328"
"Management, business, and financial occupations:","1190","2036"
"Management occupations","662","1751"
"Business and financial operations occupations","528","285"
"Computer, engineering, and science occupations:","973","1234"
"Computer and mathematical occupations","864","761"
"Architecture and engineering occupations","109","385"
"Life, physical, and social science occupations","0","88"
"Education, legal, community service, arts, and media occupations:","2034","1636"
"Community and social service occupations","22","233"
"Legal occupations","185","239"
"Education, training, and library occupations","329","731"
"Arts, design, entertainment, sports, and media occupations","1498","433"
"Healthcare practitioners and technical occupations:","238","422"
"Health diagnosing and treating practitioners and other technical occupations","204","269"
"Health technologists and technicians","34","153"
"Service occupations:","1611","3385"
"Healthcare support occupations","0","108"
"Protective service occupations:","432","1014"
"Fire fighting and prevention, and other protective service workers including supervisors","281","802"
"Law enforcement workers including supervisors","151","212"
"Food preparation and serving related occupations","189","1330"
"Building and grounds cleaning and maintenance occupations","552","644"
"Personal care and service occupations","438","289"
"Sales and office occupations:","2243","3235"
"Sales and related occupations","1455","1770"
"Office and administrative support occupations","788","1465"
"Natural resources, construction, and maintenance occupations:","1241","1435"
"Farming, fishing, and forestry occupations","0","0"
"Construction and extraction occupations","631","754"
"Installation, maintenance, and repair occupations","610","681"
"Production, transportation, and material moving occupations:","1639","1924"
"Production occupations","355","546"
"Transportation occupations","867","1254"
"Material moving occupations","417","124"
"Female:","11060","15007"
"Management, business, science, and arts occupations:","5552","4850"
"Management, business, and financial occupations:","2096","1445"
"Management occupations","1292","807"
"Business and financial operations occupations","804","638"
"Computer, engineering, and science occupations:","485","339"
"Computer and mathematical occupations","324","177"
"Architecture and engineering occupations","120","0"
"Life, physical, and social science occupations","41","162"
"Education, legal, community service, arts, and media occupations:","2512","1932"
"Community and social service occupations","323","697"
"Legal occupations","325","80"
"Education, training, and library occupations","916","786"
"Arts, design, entertainment, sports, and media occupations","948","369"
"Healthcare practitioners and technical occupations:","459","1134"
"Health diagnosing and treating practitioners and other technical occupations","431","877"
"Health technologists and technicians","28","257"
"Service occupations:","1883","4401"
"Healthcare support occupations","740","1636"
"Protective service occupations:","279","268"
"Fire fighting and prevention, and other protective service workers including supervisors","198","36"
"Law enforcement workers including supervisors","81","232"
"Food preparation and serving related occupations","325","1277"
"Building and grounds cleaning and maintenance occupations","51","496"
"Personal care and service occupations","488","724"
"Sales and office occupations:","3155","4835"
"Sales and related occupations","1189","1654"
"Office and administrative support occupations","1966","3181"
"Natural resources, construction, and maintenance occupations:","0","125"
"Farming, fishing, and forestry occupations","0","0"
"Construction and extraction occupations","0","0"
"Installation, maintenance, and repair occupations","0","125"
"Production, transportation, and material moving occupations:","470","796"
"Production occupations","95","651"
"Transportation occupations","171","114"
"Material moving occupations","204","31"
