"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","24953","147945","108383","278267","18513"
"Male:","13769","77363","49965","153040","9818"
"Management, business, science, and arts occupations:","4771","22450","33401","47799","3779"
"Management, business, and financial occupations:","1711","9416","18080","21653","1319"
"Management occupations","1402","6169","11238","13864","985"
"Business and financial operations occupations","309","3247","6842","7789","334"
"Computer, engineering, and science occupations:","1029","5261","7474","11755","981"
"Computer and mathematical occupations","439","3745","5013","7577","761"
"Architecture and engineering occupations","151","1187","1048","3387","220"
"Life, physical, and social science occupations","439","329","1413","791","0"
"Education, legal, community service, arts, and media occupations:","671","4790","5957","8091","789"
"Community and social service occupations","90","454","137","1068","145"
"Legal occupations","0","345","1657","1485","333"
"Education, training, and library occupations","404","1807","1129","1950","163"
"Arts, design, entertainment, sports, and media occupations","177","2184","3034","3588","148"
"Healthcare practitioners and technical occupations:","1360","2983","1890","6300","690"
"Health diagnosing and treating practitioners and other technical occupations","773","2085","1765","4814","650"
"Health technologists and technicians","587","898","125","1486","40"
"Service occupations:","3452","20363","6194","28210","1991"
"Healthcare support occupations","283","962","61","861","196"
"Protective service occupations:","285","600","525","3202","575"
"Fire fighting and prevention, and other protective service workers including supervisors","65","492","395","1783","301"
"Law enforcement workers including supervisors","220","108","130","1419","274"
"Food preparation and serving related occupations","1557","15553","4090","17145","487"
"Building and grounds cleaning and maintenance occupations","810","1526","257","2327","623"
"Personal care and service occupations","517","1722","1261","4675","110"
"Sales and office occupations:","2549","16152","5701","31824","2499"
"Sales and related occupations","1822","10816","3633","17854","1840"
"Office and administrative support occupations","727","5336","2068","13970","659"
"Natural resources, construction, and maintenance occupations:","733","5410","1822","13705","357"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","441","3891","1376","8009","222"
"Installation, maintenance, and repair occupations","292","1519","446","5696","135"
"Production, transportation, and material moving occupations:","2264","12988","2847","31502","1192"
"Production occupations","450","3316","1483","5471","477"
"Transportation occupations","1780","8341","920","23046","524"
"Material moving occupations","34","1331","444","2985","191"
"Female:","11184","70582","58418","125227","8695"
"Management, business, science, and arts occupations:","4087","26166","37133","50780","3935"
"Management, business, and financial occupations:","882","8989","19546","18616","819"
"Management occupations","551","4442","11092","8872","257"
"Business and financial operations occupations","331","4547","8454","9744","562"
"Computer, engineering, and science occupations:","433","2741","2819","4158","382"
"Computer and mathematical occupations","61","1529","1382","2340","300"
"Architecture and engineering occupations","30","857","411","506","0"
"Life, physical, and social science occupations","342","355","1026","1312","82"
"Education, legal, community service, arts, and media occupations:","759","9718","10093","14217","1332"
"Community and social service occupations","0","1055","535","1627","46"
"Legal occupations","71","1120","2018","1739","39"
"Education, training, and library occupations","542","3896","3299","7256","810"
"Arts, design, entertainment, sports, and media occupations","146","3647","4241","3595","437"
"Healthcare practitioners and technical occupations:","2013","4718","4675","13789","1402"
"Health diagnosing and treating practitioners and other technical occupations","1770","3650","4023","10409","1167"
"Health technologists and technicians","243","1068","652","3380","235"
"Service occupations:","3601","21091","8005","34991","1886"
"Healthcare support occupations","516","5731","2173","7044","560"
"Protective service occupations:","0","82","43","219","79"
"Fire fighting and prevention, and other protective service workers including supervisors","0","43","43","219","36"
"Law enforcement workers including supervisors","0","39","0","0","43"
"Food preparation and serving related occupations","471","4583","2040","6176","432"
"Building and grounds cleaning and maintenance occupations","448","2126","824","3553","152"
"Personal care and service occupations","2166","8569","2925","17999","663"
"Sales and office occupations:","3253","17417","11960","32840","2624"
"Sales and related occupations","2370","8101","5537","14298","1472"
"Office and administrative support occupations","883","9316","6423","18542","1152"
"Natural resources, construction, and maintenance occupations:","0","272","179","436","0"
"Farming, fishing, and forestry occupations","0","0","62","0","0"
"Construction and extraction occupations","0","87","117","126","0"
"Installation, maintenance, and repair occupations","0","185","0","310","0"
"Production, transportation, and material moving occupations:","243","5636","1141","6180","250"
"Production occupations","86","4984","1047","5108","211"
"Transportation occupations","0","143","0","349","0"
"Material moving occupations","157","509","94","723","39"
