"Label","Bronx County, New York / Estimate","Richmond County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Kings County, New York / Estimate"
"Total:","24106","19851","113435","294131","156450"
"Male:","13489","10130","50793","160936","80651"
"Management, business, science, and arts occupations:","3984","4992","32512","52169","27312"
"Management, business, and financial occupations:","1148","2421","14859","22453","10248"
"Management occupations","723","1459","8643","14376","6979"
"Business and financial operations occupations","425","962","6216","8077","3269"
"Computer, engineering, and science occupations:","717","1445","7523","12380","8124"
"Computer and mathematical occupations","565","967","5778","7970","5728"
"Architecture and engineering occupations","53","323","1271","3160","1936"
"Life, physical, and social science occupations","99","155","474","1250","460"
"Education, legal, community service, arts, and media occupations:","1107","322","5462","9591","5957"
"Community and social service occupations","171","54","231","1939","359"
"Legal occupations","108","0","1942","1083","704"
"Education, training, and library occupations","727","153","1567","4326","2101"
"Arts, design, entertainment, sports, and media occupations","101","115","1722","2243","2793"
"Healthcare practitioners and technical occupations:","1012","804","4668","7745","2983"
"Health diagnosing and treating practitioners and other technical occupations","656","654","4179","6120","2059"
"Health technologists and technicians","356","150","489","1625","924"
"Service occupations:","4122","2028","5933","33161","16492"
"Healthcare support occupations","536","316","308","1793","1089"
"Protective service occupations:","469","57","438","4570","1212"
"Fire fighting and prevention, and other protective service workers including supervisors","270","0","438","3006","521"
"Law enforcement workers including supervisors","199","57","0","1564","691"
"Food preparation and serving related occupations","1924","1174","3914","19245","10712"
"Building and grounds cleaning and maintenance occupations","430","377","584","3611","1741"
"Personal care and service occupations","763","104","689","3942","1738"
"Sales and office occupations:","2400","1523","7835","32016","14389"
"Sales and related occupations","1395","1012","4909","16725","7964"
"Office and administrative support occupations","1005","511","2926","15291","6425"
"Natural resources, construction, and maintenance occupations:","849","631","1318","13331","5972"
"Farming, fishing, and forestry occupations","0","0","0","158","66"
"Construction and extraction occupations","537","266","796","9010","4490"
"Installation, maintenance, and repair occupations","312","365","522","4163","1416"
"Production, transportation, and material moving occupations:","2134","956","3195","30259","16486"
"Production occupations","385","148","1623","5586","3469"
"Transportation occupations","1469","762","1572","22642","11515"
"Material moving occupations","280","46","0","2031","1502"
"Female:","10617","9721","62642","133195","75799"
"Management, business, science, and arts occupations:","5324","5578","40629","48449","30452"
"Management, business, and financial occupations:","1885","1930","16646","15981","11945"
"Management occupations","1378","1015","8778","7778","6642"
"Business and financial operations occupations","507","915","7868","8203","5303"
"Computer, engineering, and science occupations:","474","365","5653","3721","3084"
"Computer and mathematical occupations","240","284","3176","2502","1692"
"Architecture and engineering occupations","29","0","0","671","899"
"Life, physical, and social science occupations","205","81","2477","548","493"
"Education, legal, community service, arts, and media occupations:","1186","907","11670","14258","10399"
"Community and social service occupations","76","55","1000","2160","694"
"Legal occupations","0","53","2749","1702","866"
"Education, training, and library occupations","818","609","4085","7029","4777"
"Arts, design, entertainment, sports, and media occupations","292","190","3836","3367","4062"
"Healthcare practitioners and technical occupations:","1779","2376","6660","14489","5024"
"Health diagnosing and treating practitioners and other technical occupations","1451","2012","6044","12059","4179"
"Health technologists and technicians","328","364","616","2430","845"
"Service occupations:","2438","1170","8424","36945","20682"
"Healthcare support occupations","667","357","2521","7619","9052"
"Protective service occupations:","0","0","0","526","280"
"Fire fighting and prevention, and other protective service workers including supervisors","0","0","0","428","170"
"Law enforcement workers including supervisors","0","0","0","98","110"
"Food preparation and serving related occupations","336","42","1971","6080","4741"
"Building and grounds cleaning and maintenance occupations","734","280","1508","3591","1699"
"Personal care and service occupations","701","491","2424","19129","4910"
"Sales and office occupations:","2470","2320","11823","40603","19277"
"Sales and related occupations","1394","845","4686","18728","7767"
"Office and administrative support occupations","1076","1475","7137","21875","11510"
"Natural resources, construction, and maintenance occupations:","0","0","314","812","301"
"Farming, fishing, and forestry occupations","0","0","0","309","31"
"Construction and extraction occupations","0","0","165","190","62"
"Installation, maintenance, and repair occupations","0","0","149","313","208"
"Production, transportation, and material moving occupations:","385","653","1452","6386","5087"
"Production occupations","313","628","1113","4432","4040"
"Transportation occupations","0","25","0","777","143"
"Material moving occupations","72","0","339","1177","904"
