"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","57658","483196","496821","289233","136784"
"Male:","29661","254878","253959","154674","71973"
"Management, business, science, and arts occupations:","12798","146905","188560","69771","28144"
"Management, business, and financial occupations:","4902","57719","95459","30654","13815"
"Management occupations","3176","42980","62073","17733","9139"
"Business and financial operations occupations","1726","14739","33386","12921","4676"
"Computer, engineering, and science occupations:","1461","22371","24347","11852","5176"
"Computer and mathematical occupations","839","15051","14704","8117","3432"
"Architecture and engineering occupations","432","5559","3941","3023","1472"
"Life, physical, and social science occupations","190","1761","5702","712","272"
"Education, legal, community service, arts, and media occupations:","4993","60071","57335","21880","6860"
"Community and social service occupations","839","2440","1661","2268","784"
"Legal occupations","609","9366","16579","2876","1077"
"Education, training, and library occupations","2405","15399","13533","8871","3304"
"Arts, design, entertainment, sports, and media occupations","1140","32866","25562","7865","1695"
"Healthcare practitioners and technical occupations:","1442","6744","11419","5385","2293"
"Health diagnosing and treating practitioners and other technical occupations","1093","5976","10210","3496","1860"
"Health technologists and technicians","349","768","1209","1889","433"
"Service occupations:","4732","24457","13292","23160","12392"
"Healthcare support occupations","166","1475","411","474","958"
"Protective service occupations:","808","3375","2165","6160","7425"
"Fire fighting and prevention, and other protective service workers including supervisors","729","1741","1260","3193","2972"
"Law enforcement workers including supervisors","79","1634","905","2967","4453"
"Food preparation and serving related occupations","1357","10597","5967","6793","1314"
"Building and grounds cleaning and maintenance occupations","1339","4671","699","4623","1870"
"Personal care and service occupations","1062","4339","4050","5110","825"
"Sales and office occupations:","5712","41867","42110","25297","11562"
"Sales and related occupations","2626","25201","30374","13881","5838"
"Office and administrative support occupations","3086","16666","11736","11416","5724"
"Natural resources, construction, and maintenance occupations:","4323","20688","5498","19752","9726"
"Farming, fishing, and forestry occupations","0","360","146","0","9"
"Construction and extraction occupations","2546","14828","3255","13741","6895"
"Installation, maintenance, and repair occupations","1777","5500","2097","6011","2822"
"Production, transportation, and material moving occupations:","2096","20961","4499","16694","10149"
"Production occupations","713","5347","1641","4738","2101"
"Transportation occupations","989","13090","2086","8447","5328"
"Material moving occupations","394","2524","772","3509","2720"
"Female:","27997","228318","242862","134559","64811"
"Management, business, science, and arts occupations:","15133","142661","175960","73581","34247"
"Management, business, and financial occupations:","5377","47524","71686","25109","9397"
"Management occupations","3079","31110","41871","15138","6259"
"Business and financial operations occupations","2298","16414","29815","9971","3138"
"Computer, engineering, and science occupations:","1245","11342","12868","3568","1253"
"Computer and mathematical occupations","446","5008","5318","1662","751"
"Architecture and engineering occupations","339","2606","2516","812","45"
"Life, physical, and social science occupations","460","3728","5034","1094","457"
"Education, legal, community service, arts, and media occupations:","6357","68883","71876","32927","16270"
"Community and social service occupations","1150","6267","5782","4706","2113"
"Legal occupations","391","6624","13633","3033","745"
"Education, training, and library occupations","3642","28989","19631","18221","11851"
"Arts, design, entertainment, sports, and media occupations","1174","27003","32830","6967","1561"
"Healthcare practitioners and technical occupations:","2154","14912","19530","11977","7327"
"Health diagnosing and treating practitioners and other technical occupations","1493","11844","18266","9140","5275"
"Health technologists and technicians","661","3068","1264","2837","2052"
"Service occupations:","4530","32024","19566","21845","9204"
"Healthcare support occupations","1144","10855","1377","3440","2562"
"Protective service occupations:","952","1780","81","1232","846"
"Fire fighting and prevention, and other protective service workers including supervisors","600","1323","0","545","221"
"Law enforcement workers including supervisors","352","457","81","687","625"
"Food preparation and serving related occupations","661","6781","6904","5638","1952"
"Building and grounds cleaning and maintenance occupations","717","3046","1652","3300","1414"
"Personal care and service occupations","1056","9562","9552","8235","2430"
"Sales and office occupations:","7686","48976","44760","35287","20055"
"Sales and related occupations","1699","16620","25288","10071","6821"
"Office and administrative support occupations","5987","32356","19472","25216","13234"
"Natural resources, construction, and maintenance occupations:","165","996","820","664","390"
"Farming, fishing, and forestry occupations","0","98","0","111","0"
"Construction and extraction occupations","108","744","600","261","306"
"Installation, maintenance, and repair occupations","57","154","220","292","84"
"Production, transportation, and material moving occupations:","483","3661","1756","3182","915"
"Production occupations","294","2515","1522","1936","426"
"Transportation occupations","131","536","213","961","489"
"Material moving occupations","58","610","21","285","0"
