"Label","New York County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate","Bronx County, New York / Estimate"
"Total:","77952","100493","165885","198868"
"Male:","41829","57785","94138","101246"
"Management, business, science, and arts occupations:","8132","10652","13888","12385"
"Management, business, and financial occupations:","4785","4744","6687","5739"
"Management occupations","4253","3047","5093","4568"
"Business and financial operations occupations","532","1697","1594","1171"
"Computer, engineering, and science occupations:","1164","1922","3577","1248"
"Computer and mathematical occupations","1164","1321","1685","1083"
"Architecture and engineering occupations","0","376","1478","128"
"Life, physical, and social science occupations","0","225","414","37"
"Education, legal, community service, arts, and media occupations:","1970","3562","2660","4554"
"Community and social service occupations","0","182","240","1158"
"Legal occupations","38","420","285","213"
"Educational instruction, and library occupations","1631","1054","1315","1623"
"Arts, design, entertainment, sports, and media occupations","301","1906","820","1560"
"Healthcare practitioners and technical occupations:","213","424","964","844"
"Health diagnosing and treating practitioners and other technical occupations","0","264","295","307"
"Health technologists and technicians","213","160","669","537"
"Service occupations:","13321","16454","25434","31141"
"Healthcare support occupations","515","352","310","1678"
"Protective service occupations:","1596","1318","2451","3553"
"Firefighting and prevention, and other protective service workers including supervisors","1037","1022","1382","1959"
"Law enforcement workers including supervisors","559","296","1069","1594"
"Food preparation and serving related occupations","6328","8893","13979","13323"
"Building and grounds cleaning and maintenance occupations","3293","4606","5985","9840"
"Personal care and service occupations","1589","1285","2709","2747"
"Sales and office occupations:","5748","6656","9572","14351"
"Sales and related occupations","2195","3553","4977","8498"
"Office and administrative support occupations","3553","3103","4595","5853"
"Natural resources, construction, and maintenance occupations:","7175","14721","29428","17711"
"Farming, fishing, and forestry occupations","134","333","64","245"
"Construction and extraction occupations","5365","12986","24940","13069"
"Installation, maintenance, and repair occupations","1676","1402","4424","4397"
"Production, transportation, and material moving occupations:","7453","9302","15816","25658"
"Production occupations","1860","1749","4095","4933"
"Transportation occupations","3783","4905","9062","14541"
"Material moving occupations","1810","2648","2659","6184"
"Female:","36123","42708","71747","97622"
"Management, business, science, and arts occupations:","8840","10017","15687","18506"
"Management, business, and financial occupations:","3274","2951","5202","5698"
"Management occupations","2206","1582","3019","4049"
"Business and financial operations occupations","1068","1369","2183","1649"
"Computer, engineering, and science occupations:","418","586","1015","595"
"Computer and mathematical occupations","0","353","485","381"
"Architecture and engineering occupations","306","0","362","32"
"Life, physical, and social science occupations","112","233","168","182"
"Education, legal, community service, arts, and media occupations:","3734","5556","5720","9009"
"Community and social service occupations","280","591","627","2119"
"Legal occupations","446","1002","568","407"
"Educational instruction, and library occupations","2526","3268","2993","5562"
"Arts, design, entertainment, sports, and media occupations","482","695","1532","921"
"Healthcare practitioners and technical occupations:","1414","924","3750","3204"
"Health diagnosing and treating practitioners and other technical occupations","865","653","2534","1640"
"Health technologists and technicians","549","271","1216","1564"
"Service occupations:","18554","18443","34917","48136"
"Healthcare support occupations","5507","6399","6807","23820"
"Protective service occupations:","589","427","392","3026"
"Firefighting and prevention, and other protective service workers including supervisors","369","326","331","2031"
"Law enforcement workers including supervisors","220","101","61","995"
"Food preparation and serving related occupations","4255","2793","7596","4257"
"Building and grounds cleaning and maintenance occupations","3993","5827","12959","7275"
"Personal care and service occupations","4210","2997","7163","9758"
"Sales and office occupations:","7201","11023","16098","24003"
"Sales and related occupations","3629","4980","7831","9970"
"Office and administrative support occupations","3572","6043","8267","14033"
"Natural resources, construction, and maintenance occupations:","0","165","229","345"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","0","45","152","144"
"Installation, maintenance, and repair occupations","0","120","77","201"
"Production, transportation, and material moving occupations:","1528","3060","4816","6632"
"Production occupations","1036","1525","2134","2612"
"Transportation occupations","0","475","1781","1893"
"Material moving occupations","492","1060","901","2127"
