"Label","New York County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate","Bronx County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","493517","483541","280179","51734","133529"
"Male:","248378","251027","149879","27080","71382"
"Management, business, science, and arts occupations:","184353","145673","68516","11372","25148"
"Management, business, and financial occupations:","89602","54049","33984","4073","11567"
"Management occupations","53259","35745","22441","2983","7185"
"Business and financial operations occupations","36343","18304","11543","1090","4382"
"Computer, engineering, and science occupations:","28350","26294","12143","2439","4421"
"Computer and mathematical occupations","18827","18472","6650","1570","3003"
"Architecture and engineering occupations","3773","5541","4817","211","1191"
"Life, physical, and social science occupations","5750","2281","676","658","227"
"Education, legal, community service, arts, and media occupations:","54932","58365","18519","3630","7278"
"Community and social service occupations","2482","3087","1342","449","832"
"Legal occupations","15726","8568","3853","855","885"
"Educational instruction, and library occupations","13391","17508","6046","1189","3949"
"Arts, design, entertainment, sports, and media occupations","23333","29202","7278","1137","1612"
"Healthcare practitioners and technical occupations:","11469","6965","3870","1230","1882"
"Health diagnosing and treating practitioners and other technical occupations","10342","4829","2933","649","1550"
"Health technologists and technicians","1127","2136","937","581","332"
"Service occupations:","15298","25569","21569","4786","13672"
"Healthcare support occupations","1172","2453","683","256","880"
"Protective service occupations:","1710","4397","6688","993","6846"
"Firefighting and prevention, and other protective service workers including supervisors","1312","2581","3758","844","4285"
"Law enforcement workers including supervisors","398","1816","2930","149","2561"
"Food preparation and serving related occupations","7607","8635","6399","1173","1215"
"Building and grounds cleaning and maintenance occupations","1984","4741","3427","1087","2908"
"Personal care and service occupations","2825","5343","4372","1277","1823"
"Sales and office occupations:","40608","43041","22661","5252","10823"
"Sales and related occupations","30192","26365","13379","2993","6901"
"Office and administrative support occupations","10416","16676","9282","2259","3922"
"Natural resources, construction, and maintenance occupations:","2978","17733","19584","3004","11000"
"Farming, fishing, and forestry occupations","149","67","0","171","0"
"Construction and extraction occupations","2005","14808","14457","1964","8328"
"Installation, maintenance, and repair occupations","824","2858","5127","869","2672"
"Production, transportation, and material moving occupations:","5141","19011","17549","2666","10739"
"Production occupations","2689","4839","4156","985","2151"
"Transportation occupations","1181","10564","9890","860","5748"
"Material moving occupations","1271","3608","3503","821","2840"
"Female:","245139","232514","130300","24654","62147"
"Management, business, science, and arts occupations:","175255","146274","71080","13100","30916"
"Management, business, and financial occupations:","71600","47845","23392","3522","8875"
"Management occupations","45313","28340","14068","2555","5305"
"Business and financial operations occupations","26287","19505","9324","967","3570"
"Computer, engineering, and science occupations:","16789","10007","5062","796","1487"
"Computer and mathematical occupations","7628","5540","2452","278","868"
"Architecture and engineering occupations","2931","1161","856","127","231"
"Life, physical, and social science occupations","6230","3306","1754","391","388"
"Education, legal, community service, arts, and media occupations:","72311","71760","31605","6527","14026"
"Community and social service occupations","4584","5162","3390","1088","1842"
"Legal occupations","10361","6701","3328","908","650"
"Educational instruction, and library occupations","28717","29860","18236","3728","10205"
"Arts, design, entertainment, sports, and media occupations","28649","30037","6651","803","1329"
"Healthcare practitioners and technical occupations:","14555","16662","11021","2255","6528"
"Health diagnosing and treating practitioners and other technical occupations","13321","13411","8903","1868","4660"
"Health technologists and technicians","1234","3251","2118","387","1868"
"Service occupations:","16850","34890","19271","4371","9559"
"Healthcare support occupations","3879","13089","4688","1169","3492"
"Protective service occupations:","131","1259","952","143","1219"
"Firefighting and prevention, and other protective service workers including supervisors","131","822","621","143","552"
"Law enforcement workers including supervisors","0","437","331","0","667"
"Food preparation and serving related occupations","4447","8223","4806","952","2225"
"Building and grounds cleaning and maintenance occupations","638","2912","3474","1288","357"
"Personal care and service occupations","7755","9407","5351","819","2266"
"Sales and office occupations:","49342","47362","35899","6526","19490"
"Sales and related occupations","22180","15478","9878","1046","5241"
"Office and administrative support occupations","27162","31884","26021","5480","14249"
"Natural resources, construction, and maintenance occupations:","59","415","867","169","431"
"Farming, fishing, and forestry occupations","0","45","0","94","0"
"Construction and extraction occupations","0","340","668","40","351"
"Installation, maintenance, and repair occupations","59","30","199","35","80"
"Production, transportation, and material moving occupations:","3633","3573","3183","488","1751"
"Production occupations","2499","2229","1624","153","742"
"Transportation occupations","1134","380","939","74","679"
"Material moving occupations","0","964","620","261","330"
