,"Bronx County, New York","Kings County, New York",Label,"New York County, New York","Queens County, New York","Richmond County, New York / Estimate",race,year
0,22160,121664,Total:,98647,248187,16530.0,Asian Alone,2010
1,12283,66638,Male:,44989,135390,8822.0,Asian Alone,2010
2,3201,15689,"Management, business, science, and arts occupations:",28593,41250,4012.0,Asian Alone,2010
3,1103,5399,"Management, business, and financial occupations:",12780,19782,1419.0,Asian Alone,2010
4,458,3330,Management occupations,7144,11371,719.0,Asian Alone,2010
5,645,2069,Business and financial operations occupations,5636,8411,700.0,Asian Alone,2010
6,902,3650,"Computer, engineering, and science occupations:",5665,8594,820.0,Asian Alone,2010
7,544,2635,Computer and mathematical occupations,3904,6097,472.0,Asian Alone,2010
8,271,872,Architecture and engineering occupations,402,1773,298.0,Asian Alone,2010
9,87,143,"Life, physical, and social science occupations",1359,724,50.0,Asian Alone,2010
10,525,4319,"Education, legal, community service, arts, and media occupations:",7061,6744,717.0,Asian Alone,2010
11,118,340,Community and social service occupations,306,1405,0.0,Asian Alone,2010
12,0,395,Legal occupations,2117,1199,69.0,Asian Alone,2010
13,407,1893,"Education, training, and library occupations",1438,1700,462.0,Asian Alone,2010
14,0,1691,"Arts, design, entertainment, sports, and media occupations",3200,2440,186.0,Asian Alone,2010
15,671,2321,Healthcare practitioners and technical occupations:,3087,6130,1056.0,Asian Alone,2010
16,514,1775,Health diagnosing and treating practitioners and other technical occupations,2746,4658,921.0,Asian Alone,2010
17,157,546,Health technologists and technicians,341,1472,135.0,Asian Alone,2010
18,3083,18449,Service occupations:,5275,24910,1681.0,Asian Alone,2010
19,48,755,Healthcare support occupations,142,2581,370.0,Asian Alone,2010
20,798,908,Protective service occupations:,219,3185,119.0,Asian Alone,2010
21,658,536,"Fire fighting and prevention, and other protective service workers including supervisors",219,1831,119.0,Asian Alone,2010
22,140,372,Law enforcement workers including supervisors,0,1354,0.0,Asian Alone,2010
23,1472,14646,Food preparation and serving related occupations,3934,13650,952.0,Asian Alone,2010
24,533,1491,Building and grounds cleaning and maintenance occupations,376,2458,50.0,Asian Alone,2010
25,232,649,Personal care and service occupations,604,3036,190.0,Asian Alone,2010
26,2414,13445,Sales and office occupations:,7763,32315,1109.0,Asian Alone,2010
27,1262,6869,Sales and related occupations,5507,20826,573.0,Asian Alone,2010
28,1152,6576,Office and administrative support occupations,2256,11489,536.0,Asian Alone,2010
29,1711,6884,"Natural resources, construction, and maintenance occupations:",1140,11516,1118.0,Asian Alone,2010
30,103,0,"Farming, fishing, and forestry occupations",0,126,86.0,Asian Alone,2010
31,1143,5662,Construction and extraction occupations,977,7498,713.0,Asian Alone,2010
32,465,1222,"Installation, maintenance, and repair occupations",163,3892,319.0,Asian Alone,2010
33,1874,12171,"Production, transportation, and material moving occupations:",2218,25399,902.0,Asian Alone,2010
34,403,4353,Production occupations,558,6827,222.0,Asian Alone,2010
35,1185,6338,Transportation occupations,1307,16827,520.0,Asian Alone,2010
36,286,1480,Material moving occupations,353,1745,160.0,Asian Alone,2010
37,9877,55026,Female:,53658,112797,7708.0,Asian Alone,2010
38,4631,16622,"Management, business, science, and arts occupations:",32276,39172,3144.0,Asian Alone,2010
39,1363,4783,"Management, business, and financial occupations:",14014,14141,1081.0,Asian Alone,2010
40,618,2023,Management occupations,6885,6367,565.0,Asian Alone,2010
41,745,2760,Business and financial operations occupations,7129,7774,516.0,Asian Alone,2010
42,230,1331,"Computer, engineering, and science occupations:",3452,3429,74.0,Asian Alone,2010
43,0,566,Computer and mathematical occupations,1100,1101,47.0,Asian Alone,2010
44,51,468,Architecture and engineering occupations,620,485,0.0,Asian Alone,2010
45,179,297,"Life, physical, and social science occupations",1732,1843,27.0,Asian Alone,2010
46,1235,6481,"Education, legal, community service, arts, and media occupations:",9740,11153,373.0,Asian Alone,2010
47,0,936,Community and social service occupations,672,894,152.0,Asian Alone,2010
48,112,647,Legal occupations,1746,1444,0.0,Asian Alone,2010
49,782,2109,"Education, training, and library occupations",2929,4916,189.0,Asian Alone,2010
50,341,2789,"Arts, design, entertainment, sports, and media occupations",4393,3899,32.0,Asian Alone,2010
51,1803,4027,Healthcare practitioners and technical occupations:,5070,10449,1616.0,Asian Alone,2010
52,1512,3209,Health diagnosing and treating practitioners and other technical occupations,4636,7683,1531.0,Asian Alone,2010
53,291,818,Health technologists and technicians,434,2766,85.0,Asian Alone,2010
54,2207,15856,Service occupations:,7680,31815,2039.0,Asian Alone,2010
55,334,4681,Healthcare support occupations,2029,6449,406.0,Asian Alone,2010
56,75,0,Protective service occupations:,109,858,33.0,Asian Alone,2010
