"Label","Bronx County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate","New York County, New York!!Estimate","Kings County, New York!!Estimate"
"Total:","28,742","36,793","50,224","61,389","37,703"
"    Male:","30,729","40,148","53,620","68,501","40,921"
"        Management, business, science, and arts occupations:","50,951","62,306","71,096","101,095","67,314"
"            Management, business, and financial occupations:","51,739","62,808","76,531","122,003","76,818"
"                Management occupations","51,076","62,212","90,877","130,561","77,194"
"                Business and financial operations occupations","55,484","65,599","66,867","106,090","75,600"
"            Computer, engineering, and science occupations:","59,335","74,132","75,516","99,194","77,227"
"                Computer and mathematical occupations","62,620","72,158","76,000","105,291","79,217"
"                Architecture and engineering occupations","51,811","76,323","80,863","85,927","77,416"
"                Life, physical, and social science occupations","54,063","73,393","66,559","82,380","69,224"
"            Education, legal, community service, arts, and media occupations:","37,788","50,686","57,097","72,404","51,813"
"                Community and social service occupations","40,562","45,750","32,975","45,915","42,391"
"                Legal occupations","82,057","79,588","100,063","201,297","122,201"
"                Education, training, and library occupations","33,250","51,756","66,400","51,467","40,668"
"                Arts, design, entertainment, sports, and media occupations","31,034","41,355","52,151","60,448","51,448"
"            Healthcare practitioners and technical occupations:","62,379","76,678","62,440","87,920","65,064"
"                Health diagnosing and treating practitioners and other technical occupations","82,529","90,232","80,703","90,507","73,755"
"                Health technologists and technicians","45,907","50,358","44,025","37,903","52,152"
"        Service occupations:","26,130","29,227","44,549","28,772","26,686"
"            Healthcare support occupations","32,741","30,785","32,212","22,353","27,086"
"            Protective service occupations:","32,366","46,413","70,461","41,984","41,546"
"                Fire fighting and prevention, and other protective service workers including supervisors","27,193","36,341","53,884","32,031","32,854"
"                Law enforcement workers including supervisors","61,782","61,691","81,825","73,132","61,815"
"            Food preparation and serving related occupations","21,296","24,060","25,302","23,728","21,537"
"            Building and grounds cleaning and maintenance occupations","26,873","32,476","41,716","32,323","28,465"
"            Personal care and service occupations","30,987","31,033","24,345","31,388","24,275"
"        Sales and office occupations:","25,381","32,476","43,579","56,588","32,190"
"            Sales and related occupations","25,104","30,020","44,499","80,119","33,485"
"            Office and administrative support occupations","25,635","37,174","41,534","40,955","31,678"
"        Natural resources, construction, and maintenance occupations:","35,093","38,037","51,823","35,725","35,585"
"            Farming, fishing, and forestry occupations","30,833","25,468","-","-","31,399"
"            Construction and extraction occupations","31,630","35,311","50,699","35,291","31,199"
"            Installation, maintenance, and repair occupations","37,092","43,584","56,655","40,702","45,102"
"        Production, transportation, and material moving occupations:","29,954","31,415","51,319","26,374","29,186"
"            Production occupations","26,814","31,455","66,207","25,835","30,184"
"            Transportation occupations","30,746","31,352","50,934","26,706","30,429"
"            Material moving occupations","26,553","31,640","41,565","26,071","22,998"
"    Female:","26,032","33,789","41,090","55,213","35,897"
"        Management, business, science, and arts occupations:","48,129","56,803","62,179","71,978","56,588"
"            Management, business, and financial occupations:","51,894","62,211","68,984","86,210","62,460"
"                Management occupations","51,837","65,105","73,651","91,611","68,255"
"                Business and financial operations occupations","52,176","61,605","59,258","80,324","55,340"
"            Computer, engineering, and science occupations:","54,552","66,520","70,027","67,837","65,114"
"                Computer and mathematical occupations","61,926","70,911","77,821","77,045","71,871"
"                Architecture and engineering occupations","32,207","69,593","90,081","65,732","66,174"
"                Life, physical, and social science occupations","32,269","52,297","56,694","60,508","46,409"
"            Education, legal, community service, arts, and media occupations:","37,341","44,809","51,814","59,306","50,012"
"                Community and social service occupations","42,591","46,544","42,252","39,468","44,802"
"                Legal occupations","51,660","60,952","91,464","140,763","79,766"
"                Education, training, and library occupations","32,289","40,260","51,053","51,448","41,073"
"                Arts, design, entertainment, sports, and media occupations","35,000","46,082","68,355","57,070","51,668"
"            Healthcare practitioners and technical occupations:","62,054","62,856","70,646","75,293","62,902"
"                Health diagnosing and treating practitioners and other technical occupations","75,063","71,578","75,913","79,470","71,290"
"                Health technologists and technicians","37,281","43,888","46,342","50,213","40,327"
"        Service occupations:","17,337","20,208","22,623","18,133","21,386"
"            Healthcare support occupations","20,186","25,601","24,660","19,594","22,300"
"            Protective service occupations:","27,711","40,717","37,225","30,429","42,166"
"                Fire fighting and prevention, and other protective service workers including supervisors","18,129","15,546","13,795","21,921","33,601"
"                Law enforcement workers including supervisors","58,750","59,654","68,214","65,719","51,754"
"            Food preparation and serving related occupations","15,845","17,262","20,959","20,392","17,589"
"            Building and grounds cleaning and maintenance occupations","14,904","19,634","30,285","16,030","19,396"
"            Personal care and service occupations","14,800","17,634","19,359","15,073","20,212"
"        Sales and office occupations:","26,229","30,544","35,250","42,285","30,059"
"            Sales and related occupations","16,128","19,712","22,212","51,245","20,341"
"            Office and administrative support occupations","34,015","36,160","38,858","39,315","33,248"
"        Natural resources, construction, and maintenance occupations:","42,464","36,667","61,326","75,119","30,981"
"            Farming, fishing, and forestry occupations","-","21,421","-","-","20,219"
"            Construction and extraction occupations","42,030","41,543","61,084","57,971","51,592"
"            Installation, maintenance, and repair occupations","46,051","36,510","-","81,594","27,482"
"        Production, transportation, and material moving occupations:","24,096","22,145","30,874","25,404","22,843"
"            Production occupations","17,446","22,324","16,950","25,687","21,474"
"            Transportation occupations","29,633","26,669","31,812","43,432","31,120"
"            Material moving occupations","19,350","17,666","-","16,447","20,690"
