"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,404,534","5,360,629","5,043,905"
"Median earnings (dollars)","35,580","40,570","30,878"
"Full-time, year-round workers with earnings","6,664,138","3,717,680","2,946,458"
"    $1 to $9,999 or loss","1.6%","1.5%","1.8%"
"    $10,000 to $14,999","3.3%","2.9%","3.8%"
"    $15,000 to $24,999","11.5%","10.8%","12.5%"
"    $25,000 to $34,999","13.9%","12.8%","15.2%"
"    $35,000 to $49,999","18.7%","17.2%","20.5%"
"    $50,000 to $64,999","15.6%","15.4%","15.9%"
"    $65,000 to $74,999","7%","7%","7%"
"    $75,000 to $99,999","11.5%","11.9%","11%"
"    $100,000 or more","16.9%","20.5%","12.3%"
"Median earnings (dollars)","(X)","52,124","46,208"
"Mean earnings (dollars)","69,491","77,548","59,326"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","40,996","46,553","35,922"
"        Less than high school graduate","20,814","23,981","16,203"
"        High school graduate (includes equivalency)","30,614","35,668","23,940"
"        Some college or associate's degree","36,736","43,881","31,321"
"        Bachelor's degree","55,360","63,032","49,180"
"        Graduate or professional degree","71,684","86,817","62,172"
"PERCENT IMPUTED","","",""
"    Earnings in the past 12 months","24.4%","(X)","(X)"
