"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","120733","496204","542543","444037","153816"
"Male:","63416","263418","275189","247364","82619"
"Management, business, science, and arts occupations:","15915","114625","191941","73653","27656"
"Management, business, and financial occupations:","5949","41094","87004","34708","13924"
"Management occupations","3971","29009","50751","23656","9817"
"Business and financial operations occupations","1978","12085","36253","11052","4107"
"Computer, engineering, and science occupations:","1834","20622","22659","10418","5497"
"Computer and mathematical occupations","797","13253","13812","6363","3253"
"Architecture and engineering occupations","484","5279","4706","3220","1921"
"Life, physical, and social science occupations","553","2090","4141","835","323"
"Education, legal, community service, arts, and media occupations:","6383","46683","71491","22940","5006"
"Community and social service occupations","806","4790","3241","2281","487"
"Legal occupations","1059","7538","19336","2948","1144"
"Education, training, and library occupations","2576","15174","19820","9245","1999"
"Arts, design, entertainment, sports, and media occupations","1942","19181","29094","8466","1376"
"Healthcare practitioners and technical occupations:","1749","6226","10787","5587","3229"
"Health diagnosing and treating practitioners and other technical occupations","980","4519","10297","3426","2551"
"Health technologists and technicians","769","1707","490","2161","678"
"Service occupations:","15928","36894","22113","50078","13902"
"Healthcare support occupations","292","1714","474","1123","476"
"Protective service occupations:","3312","7271","3376","10159","6985"
"Fire fighting and prevention, and other protective service workers including supervisors","2667","4076","2273","6145","3890"
"Law enforcement workers including supervisors","645","3195","1103","4014","3095"
"Food preparation and serving related occupations","3980","13622","9044","18949","2360"
"Building and grounds cleaning and maintenance occupations","6061","10076","3593","13121","2594"
"Personal care and service occupations","2283","4211","5626","6726","1487"
"Sales and office occupations:","12940","51629","48359","44472","13588"
"Sales and related occupations","6165","29163","34633","24656","7134"
"Office and administrative support occupations","6775","22466","13726","19816","6454"
"Natural resources, construction, and maintenance occupations:","8508","29395","5427","43910","14511"
"Farming, fishing, and forestry occupations","54","87","192","393","0"
"Construction and extraction occupations","6013","20571","3922","32438","10228"
"Installation, maintenance, and repair occupations","2441","8737","1313","11079","4283"
"Production, transportation, and material moving occupations:","10125","30875","7349","35251","12962"
"Production occupations","3717","12373","2763","11328","3716"
"Transportation occupations","5207","12694","3050","18490","6329"
"Material moving occupations","1201","5808","1536","5433","2917"
"Female:","57317","232786","267354","196673","71197"
"Management, business, science, and arts occupations:","23319","115900","177190","80881","34263"
"Management, business, and financial occupations:","6905","31410","70449","29872","9772"
"Management occupations","4174","18492","42465","18191","5820"
"Business and financial operations occupations","2731","12918","27984","11681","3952"
"Computer, engineering, and science occupations:","1409","7225","10965","4918","1480"
"Computer and mathematical occupations","450","3697","3120","2247","934"
"Architecture and engineering occupations","0","1654","1522","698","310"
"Life, physical, and social science occupations","959","1874","6323","1973","236"
"Education, legal, community service, arts, and media occupations:","11337","63839","80498","35282","15774"
"Community and social service occupations","2756","6300","6279","3084","1763"
"Legal occupations","1688","6537","12643","3049","1453"
"Education, training, and library occupations","5611","30353","29085","23303","11566"
"Arts, design, entertainment, sports, and media occupations","1282","20649","32491","5846","992"
"Healthcare practitioners and technical occupations:","3668","13426","15278","10809","7237"
"Health diagnosing and treating practitioners and other technical occupations","2433","10409","14009","8833","5541"
"Health technologists and technicians","1235","3017","1269","1976","1696"
"Service occupations:","13070","44240","24925","44425","9871"
"Healthcare support occupations","3779","14165","4694","8277","3624"
"Protective service occupations:","618","2248","1095","1877","1419"
"Fire fighting and prevention, and other protective service workers including supervisors","527","1340","635","969","872"
"Law enforcement workers including supervisors","91","908","460","908","547"
"Food preparation and serving related occupations","1949","7305","8463","9324","874"
"Building and grounds cleaning and maintenance occupations","3088","8766","2947","12346","1559"
"Personal care and service occupations","3636","11756","7726","12601","2395"
"Sales and office occupations:","17815","66604","61069","61098","26017"
"Sales and related occupations","5006","18871","31586","19305","7518"
"Office and administrative support occupations","12809","47733","29483","41793","18499"
"Natural resources, construction, and maintenance occupations:","154","1387","288","708","80"
"Farming, fishing, and forestry occupations","54","0","93","0","0"
"Construction and extraction occupations","100","607","122","445","80"
"Installation, maintenance, and repair occupations","0","780","73","263","0"
"Production, transportation, and material moving occupations:","2959","4655","3882","9561","966"
"Production occupations","1866","3421","2698","4812","440"
"Transportation occupations","837","550","630","2082","448"
"Material moving occupations","256","684","554","2667","78"
