"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","19823","125204","97458","250735","18001"
"Male:","11265","66752","47292","139027","10116"
"Management, business, science, and arts occupations:","3056","16346","27578","42293","3894"
"Management, business, and financial occupations:","544","6029","13478","17059","1615"
"Management occupations","280","3095","6393","10106","909"
"Business and financial operations occupations","264","2934","7085","6953","706"
"Computer, engineering, and science occupations:","941","4817","3892","11872","627"
"Computer and mathematical occupations","556","2867","2313","8325","323"
"Architecture and engineering occupations","83","1609","685","2760","199"
"Life, physical, and social science occupations","302","341","894","787","105"
"Education, legal, community service, arts, and media occupations:","722","3564","6964","7539","519"
"Community and social service occupations","174","152","33","1088","225"
"Legal occupations","45","291","1487","262","0"
"Education, training, and library occupations","207","740","3403","3177","215"
"Arts, design, entertainment, sports, and media occupations","296","2381","2041","3012","79"
"Healthcare practitioners and technical occupations:","849","1936","3244","5823","1133"
"Health diagnosing and treating practitioners and other technical occupations","519","1360","2888","4113","794"
"Health technologists and technicians","330","576","356","1710","339"
"Service occupations:","2519","19700","7245","25166","1336"
"Healthcare support occupations","17","976","402","1234","381"
"Protective service occupations:","190","1019","84","2187","71"
"Fire fighting and prevention, and other protective service workers including supervisors","143","671","33","1440","71"
"Law enforcement workers including supervisors","47","348","51","747","0"
"Food preparation and serving related occupations","1614","14639","5338","14207","336"
"Building and grounds cleaning and maintenance occupations","443","1615","668","3853","266"
"Personal care and service occupations","255","1451","753","3685","282"
"Sales and office occupations:","1632","11660","8373","33494","2896"
"Sales and related occupations","713","6519","5416","21157","2195"
"Office and administrative support occupations","919","5141","2957","12337","701"
"Natural resources, construction, and maintenance occupations:","1489","7305","898","10446","645"
"Farming, fishing, and forestry occupations","0","53","0","22","202"
"Construction and extraction occupations","636","4875","711","6463","225"
"Installation, maintenance, and repair occupations","853","2377","187","3961","218"
"Production, transportation, and material moving occupations:","2569","11741","3198","27628","1345"
"Production occupations","956","2408","388","5519","563"
"Transportation occupations","1613","7573","2036","19556","782"
"Material moving occupations","0","1760","774","2553","0"
"Female:","8558","58452","50166","111708","7885"
"Management, business, science, and arts occupations:","3797","21987","31604","42603","3390"
"Management, business, and financial occupations:","502","7408","12314","14688","1003"
"Management occupations","266","3157","5726","5577","407"
"Business and financial operations occupations","236","4251","6588","9111","596"
"Computer, engineering, and science occupations:","114","1486","3456","4260","156"
"Computer and mathematical occupations","44","987","1763","2411","26"
"Architecture and engineering occupations","0","316","118","571","101"
"Life, physical, and social science occupations","70","183","1575","1278","29"
"Education, legal, community service, arts, and media occupations:","1682","7001","12139","10882","475"
"Community and social service occupations","330","406","504","1476","76"
"Legal occupations","156","982","2631","533","22"
"Education, training, and library occupations","905","3076","3151","6660","354"
"Arts, design, entertainment, sports, and media occupations","291","2537","5853","2213","23"
"Healthcare practitioners and technical occupations:","1499","6092","3695","12773","1756"
"Health diagnosing and treating practitioners and other technical occupations","1245","4576","3052","10995","1480"
"Health technologists and technicians","254","1516","643","1778","276"
"Service occupations:","2800","17724","6848","26616","2096"
"Healthcare support occupations","1255","4053","1251","6262","997"
"Protective service occupations:","0","417","0","351","0"
"Fire fighting and prevention, and other protective service workers including supervisors","0","362","0","351","0"
"Law enforcement workers including supervisors","0","55","0","0","0"
"Food preparation and serving related occupations","172","4937","2379","5415","416"
"Building and grounds cleaning and maintenance occupations","618","1953","1297","2645","201"
"Personal care and service occupations","755","6364","1921","11943","482"
"Sales and office occupations:","1174","14204","10320","35999","1967"
"Sales and related occupations","350","5745","4136","16013","791"
"Office and administrative support occupations","824","8459","6184","19986","1176"
"Natural resources, construction, and maintenance occupations:","0","109","326","484","196"
"Farming, fishing, and forestry occupations","0","69","0","117","0"
"Construction and extraction occupations","0","0","220","332","196"
"Installation, maintenance, and repair occupations","0","40","106","35","0"
"Production, transportation, and material moving occupations:","787","4428","1068","6006","236"
"Production occupations","748","3720","735","4435","81"
"Transportation occupations","0","85","0","305","155"
"Material moving occupations","39","623","333","1266","0"
