"Label","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","22269","23484","32184"
"Male:","11420","12327","16476"
"Management, business, science, and arts occupations:","3282","5835","4243"
"Management, business, and financial occupations:","1378","2234","1654"
"Management occupations","940","1160","1315"
"Business and financial operations occupations","438","1074","339"
"Computer, engineering, and science occupations:","586","803","1137"
"Computer and mathematical occupations","327","647","778"
"Architecture and engineering occupations","259","115","313"
"Life, physical, and social science occupations","0","41","46"
"Education, legal, community service, arts, and media occupations:","1181","2314","965"
"Community and social service occupations","190","453","137"
"Legal occupations","207","667","53"
"Education, training, and library occupations","499","751","422"
"Arts, design, entertainment, sports, and media occupations","285","443","353"
"Healthcare practitioners and technical occupations:","137","484","487"
"Health diagnosing and treating practitioners and other technical occupations","80","415","113"
"Health technologists and technicians","57","69","374"
"Service occupations:","2427","1747","3810"
"Healthcare support occupations","236","0","135"
"Protective service occupations:","579","0","854"
"Fire fighting and prevention, and other protective service workers including supervisors","344","0","606"
"Law enforcement workers including supervisors","235","0","248"
"Food preparation and serving related occupations","585","1128","1190"
"Building and grounds cleaning and maintenance occupations","611","485","1155"
"Personal care and service occupations","416","134","476"
"Sales and office occupations:","2961","3046","3900"
"Sales and related occupations","1828","1290","2312"
"Office and administrative support occupations","1133","1756","1588"
"Natural resources, construction, and maintenance occupations:","1414","851","1970"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","898","483","1379"
"Installation, maintenance, and repair occupations","516","368","591"
"Production, transportation, and material moving occupations:","1336","848","2553"
"Production occupations","350","168","674"
"Transportation occupations","801","680","1581"
"Material moving occupations","185","0","298"
"Female:","10849","11157","15708"
"Management, business, science, and arts occupations:","3841","4601","4811"
"Management, business, and financial occupations:","1310","2090","1335"
"Management occupations","616","1578","950"
"Business and financial operations occupations","694","512","385"
"Computer, engineering, and science occupations:","311","277","85"
"Computer and mathematical occupations","119","79","36"
"Architecture and engineering occupations","102","0","49"
"Life, physical, and social science occupations","90","198","0"
"Education, legal, community service, arts, and media occupations:","1823","1824","2127"
"Community and social service occupations","370","285","419"
"Legal occupations","150","208","85"
"Education, training, and library occupations","491","1131","1205"
"Arts, design, entertainment, sports, and media occupations","812","200","418"
"Healthcare practitioners and technical occupations:","397","410","1264"
"Health diagnosing and treating practitioners and other technical occupations","328","410","650"
"Health technologists and technicians","69","0","614"
"Service occupations:","3385","2979","5657"
"Healthcare support occupations","1522","480","2202"
"Protective service occupations:","92","0","341"
"Fire fighting and prevention, and other protective service workers including supervisors","35","0","208"
"Law enforcement workers including supervisors","57","0","133"
"Food preparation and serving related occupations","694","513","1167"
"Building and grounds cleaning and maintenance occupations","516","566","739"
"Personal care and service occupations","561","1420","1208"
"Sales and office occupations:","3365","2809","4568"
"Sales and related occupations","1311","741","1424"
"Office and administrative support occupations","2054","2068","3144"
"Natural resources, construction, and maintenance occupations:","75","0","0"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","0","0","0"
"Installation, maintenance, and repair occupations","75","0","0"
"Production, transportation, and material moving occupations:","183","768","672"
"Production occupations","183","621","205"
"Transportation occupations","0","0","432"
"Material moving occupations","0","147","35"
