"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","59209","447704","494048","293082","137374"
"Male:","31362","234035","254088","155596","73987"
"Management, business, science, and arts occupations:","10432","127193","187775","65625","27776"
"Management, business, and financial occupations:","3940","46382","90903","27718","15746"
"Management occupations","3140","32048","60409","18127","10380"
"Business and financial operations occupations","800","14334","30494","9591","5366"
"Computer, engineering, and science occupations:","1563","20504","21747","8456","3978"
"Computer and mathematical occupations","1035","13276","15055","5485","2535"
"Architecture and engineering occupations","141","5121","2991","2099","1324"
"Life, physical, and social science occupations","387","2107","3701","872","119"
"Education, legal, community service, arts, and media occupations:","3835","53964","64900","25083","6248"
"Community and social service occupations","562","3646","1338","2278","496"
"Legal occupations","719","7192","15044","4123","1054"
"Education, training, and library occupations","1018","17141","16821","7532","2599"
"Arts, design, entertainment, sports, and media occupations","1536","25985","31697","11150","2099"
"Healthcare practitioners and technical occupations:","1094","6343","10225","4368","1804"
"Health diagnosing and treating practitioners and other technical occupations","693","4717","9810","3714","1458"
"Health technologists and technicians","401","1626","415","654","346"
"Service occupations:","7051","24642","15590","24136","13828"
"Healthcare support occupations","219","1699","679","1049","413"
"Protective service occupations:","1414","4621","1686","6576","7434"
"Fire fighting and prevention, and other protective service workers including supervisors","1042","3000","1536","3832","3812"
"Law enforcement workers including supervisors","372","1621","150","2744","3622"
"Food preparation and serving related occupations","1641","8166","7576","7432","1668"
"Building and grounds cleaning and maintenance occupations","2125","4897","1503","3597","3125"
"Personal care and service occupations","1652","5259","4146","5482","1188"
"Sales and office occupations:","6035","42675","42589","25893","13297"
"Sales and related occupations","2807","27182","33235","15554","6899"
"Office and administrative support occupations","3228","15493","9354","10339","6398"
"Natural resources, construction, and maintenance occupations:","4451","20024","3321","23422","10375"
"Farming, fishing, and forestry occupations","0","283","0","330","0"
"Construction and extraction occupations","3643","14574","2123","15989","7165"
"Installation, maintenance, and repair occupations","808","5167","1198","7103","3210"
"Production, transportation, and material moving occupations:","3393","19501","4813","16520","8711"
"Production occupations","1172","6575","1517","4988","2452"
"Transportation occupations","1080","10467","960","8676","5058"
"Material moving occupations","1141","2459","2336","2856","1201"
"Female:","27847","213669","239960","137486","63387"
"Management, business, science, and arts occupations:","14867","122055","174024","67643","30204"
"Management, business, and financial occupations:","3541","35186","71272","23731","8426"
"Management occupations","2394","22472","42170","14690","5168"
"Business and financial operations occupations","1147","12714","29102","9041","3258"
"Computer, engineering, and science occupations:","990","8147","11776","2901","1310"
"Computer and mathematical occupations","338","4029","5630","1334","1057"
"Architecture and engineering occupations","89","1540","925","451","92"
"Life, physical, and social science occupations","563","2578","5221","1116","161"
"Education, legal, community service, arts, and media occupations:","7449","64456","75613","29554","14488"
"Community and social service occupations","1197","6197","6975","3649","1176"
"Legal occupations","490","5944","12420","2820","1959"
"Education, training, and library occupations","4827","29801","26915","17041","9766"
"Arts, design, entertainment, sports, and media occupations","935","22514","29303","6044","1587"
"Healthcare practitioners and technical occupations:","2887","14266","15363","11457","5980"
"Health diagnosing and treating practitioners and other technical occupations","2683","11296","14757","9247","5226"
"Health technologists and technicians","204","2970","606","2210","754"
"Service occupations:","4209","32604","14497","23667","10453"
"Healthcare support occupations","610","11587","1335","4427","3598"
"Protective service occupations:","256","1443","310","1654","892"
"Fire fighting and prevention, and other protective service workers including supervisors","209","1025","230","858","314"
"Law enforcement workers including supervisors","47","418","80","796","578"
"Food preparation and serving related occupations","1450","6834","5219","5358","1320"
"Building and grounds cleaning and maintenance occupations","803","3720","1072","5878","1627"
"Personal care and service occupations","1090","9020","6561","6350","3016"
"Sales and office occupations:","7876","55215","50207","42189","20593"
"Sales and related occupations","2205","17154","27895","11851","5252"
"Office and administrative support occupations","5671","38061","22312","30338","15341"
"Natural resources, construction, and maintenance occupations:","218","746","148","705","491"
"Farming, fishing, and forestry occupations","0","0","0","56","0"
"Construction and extraction occupations","132","605","148","217","276"
"Installation, maintenance, and repair occupations","86","141","0","432","215"
"Production, transportation, and material moving occupations:","677","3049","1084","3282","1646"
"Production occupations","465","2074","618","2308","660"
"Transportation occupations","81","441","249","515","919"
"Material moving occupations","131","534","217","459","67"
