"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","223309","104133","89395","139593"
"Male:","113543","61536","47655","81739"
"Management, business, science, and arts occupations:","12512","9983","9543","11994"
"Management, business, and financial occupations:","6710","5029","3627","5500"
"Management occupations","4870","3621","2548","4524"
"Business and financial operations occupations","1840","1408","1079","976"
"Computer, engineering, and science occupations:","1307","985","1579","1557"
"Computer and mathematical occupations","1030","296","960","916"
"Architecture and engineering occupations","177","344","619","506"
"Life, physical, and social science occupations","100","345","0","135"
"Education, legal, community service, arts, and media occupations:","3464","3465","3654","3949"
"Community and social service occupations","1136","581","642","841"
"Legal occupations","237","54","239","684"
"Education, training, and library occupations","938","1042","788","1005"
"Arts, design, entertainment, sports, and media occupations","1153","1788","1985","1419"
"Healthcare practitioners and technical occupations:","1031","504","683","988"
"Health diagnosing and treating practitioners and other technical occupations","277","401","596","277"
"Health technologists and technicians","754","103","87","711"
"Service occupations:","38329","16441","15265","25725"
"Healthcare support occupations","844","285","160","307"
"Protective service occupations:","4333","2369","1255","2756"
"Fire fighting and prevention, and other protective service workers including supervisors","3234","1846","1080","1979"
"Law enforcement workers including supervisors","1099","523","175","777"
"Food preparation and serving related occupations","17435","8374","6564","12937"
"Building and grounds cleaning and maintenance occupations","11949","3873","5921","7475"
"Personal care and service occupations","3768","1540","1365","2250"
"Sales and office occupations:","15879","10000","8640","13037"
"Sales and related occupations","7193","5092","5431","6327"
"Office and administrative support occupations","8686","4908","3209","6710"
"Natural resources, construction, and maintenance occupations:","21881","12976","6919","18103"
"Farming, fishing, and forestry occupations","0","0","111","0"
"Construction and extraction occupations","15650","11112","5677","13098"
"Installation, maintenance, and repair occupations","6231","1864","1131","5005"
"Production, transportation, and material moving occupations:","24942","12136","7288","12880"
"Production occupations","6705","3416","2192","3340"
"Transportation occupations","15757","5899","3458","7789"
"Material moving occupations","2480","2821","1638","1751"
"Female:","109766","42597","41740","57854"
"Management, business, science, and arts occupations:","23084","9963","10843","11573"
"Management, business, and financial occupations:","6686","2604","3477","3985"
"Management occupations","4925","2103","2156","2268"
"Business and financial operations occupations","1761","501","1321","1717"
"Computer, engineering, and science occupations:","480","637","436","270"
"Computer and mathematical occupations","194","344","293","200"
"Architecture and engineering occupations","0","132","0","0"
"Life, physical, and social science occupations","286","161","143","70"
"Education, legal, community service, arts, and media occupations:","12297","5422","6123","4846"
"Community and social service occupations","2634","1346","1198","955"
"Legal occupations","1031","423","789","462"
"Education, training, and library occupations","8105","2785","3395","2435"
"Arts, design, entertainment, sports, and media occupations","527","868","741","994"
"Healthcare practitioners and technical occupations:","3621","1300","807","2472"
"Health diagnosing and treating practitioners and other technical occupations","1005","601","450","1402"
"Health technologists and technicians","2616","699","357","1070"
"Service occupations:","51914","18191","18971","23786"
"Healthcare support occupations","16829","4604","6656","5678"
"Protective service occupations:","1607","619","640","344"
"Fire fighting and prevention, and other protective service workers including supervisors","1051","547","640","94"
"Law enforcement workers including supervisors","556","72","0","250"
"Food preparation and serving related occupations","9222","2601","4073","4038"
"Building and grounds cleaning and maintenance occupations","9673","6905","3950","7618"
"Personal care and service occupations","14583","3462","3652","6108"
"Sales and office occupations:","29216","9882","9985","17273"
"Sales and related occupations","12904","5366","3740","6149"
"Office and administrative support occupations","16312","4516","6245","11124"
"Natural resources, construction, and maintenance occupations:","244","500","157","699"
"Farming, fishing, and forestry occupations","0","200","0","57"
"Construction and extraction occupations","139","300","157","518"
"Installation, maintenance, and repair occupations","105","0","0","124"
"Production, transportation, and material moving occupations:","5308","4061","1784","4523"
"Production occupations","2767","2687","1018","3095"
"Transportation occupations","1685","583","191","770"
"Material moving occupations","856","791","575","658"
