"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","22366","27253","36237","34018"
"Male:","11056","12734","15494","18268"
"Management, business, science, and arts occupations:","2421","5896","7245","4802"
"Management, business, and financial occupations:","593","2638","3072","1999"
"Management occupations","477","1870","2164","1220"
"Business and financial operations occupations","116","768","908","779"
"Computer, engineering, and science occupations:","511","373","1229","983"
"Computer and mathematical occupations","483","354","1060","654"
"Architecture and engineering occupations","28","0","169","329"
"Life, physical, and social science occupations","0","19","0","0"
"Education, legal, community service, arts, and media occupations:","817","2238","2233","1470"
"Community and social service occupations","271","423","0","75"
"Legal occupations","68","116","358","451"
"Education, training, and library occupations","212","1074","542","312"
"Arts, design, entertainment, sports, and media occupations","266","625","1333","632"
"Healthcare practitioners and technical occupations:","500","647","711","350"
"Health diagnosing and treating practitioners and other technical occupations","63","600","386","268"
"Health technologists and technicians","437","47","325","82"
"Service occupations:","2730","2131","2514","3501"
"Healthcare support occupations","231","54","0","205"
"Protective service occupations:","733","522","421","768"
"Fire fighting and prevention, and other protective service workers including supervisors","473","292","421","615"
"Law enforcement workers including supervisors","260","230","0","153"
"Food preparation and serving related occupations","779","605","1057","1540"
"Building and grounds cleaning and maintenance occupations","758","733","774","609"
"Personal care and service occupations","229","217","262","379"
"Sales and office occupations:","2216","2467","2557","4123"
"Sales and related occupations","1519","1623","1408","1922"
"Office and administrative support occupations","697","844","1149","2201"
"Natural resources, construction, and maintenance occupations:","2539","770","2060","2405"
"Farming, fishing, and forestry occupations","0","42","0","0"
"Construction and extraction occupations","726","449","1227","1541"
"Installation, maintenance, and repair occupations","1813","279","833","864"
"Production, transportation, and material moving occupations:","1150","1470","1118","3437"
"Production occupations","395","74","300","841"
"Transportation occupations","259","1159","562","1935"
"Material moving occupations","496","237","256","661"
"Female:","11310","14519","20743","15750"
"Management, business, science, and arts occupations:","4129","7533","11267","6526"
"Management, business, and financial occupations:","1446","3117","4117","2012"
"Management occupations","989","1844","2994","1301"
"Business and financial operations occupations","457","1273","1123","711"
"Computer, engineering, and science occupations:","309","584","930","552"
"Computer and mathematical occupations","171","161","82","291"
"Architecture and engineering occupations","76","239","47","79"
"Life, physical, and social science occupations","62","184","801","182"
"Education, legal, community service, arts, and media occupations:","1620","2784","4380","2689"
"Community and social service occupations","210","274","360","431"
"Legal occupations","35","390","279","578"
"Education, training, and library occupations","1294","1077","2303","1189"
"Arts, design, entertainment, sports, and media occupations","81","1043","1438","491"
"Healthcare practitioners and technical occupations:","754","1048","1840","1273"
"Health diagnosing and treating practitioners and other technical occupations","625","666","1290","981"
"Health technologists and technicians","129","382","550","292"
"Service occupations:","3321","2777","4166","4320"
"Healthcare support occupations","1335","1130","782","1448"
"Protective service occupations:","260","98","147","273"
"Fire fighting and prevention, and other protective service workers including supervisors","260","54","75","163"
"Law enforcement workers including supervisors","0","44","72","110"
"Food preparation and serving related occupations","600","544","1245","922"
"Building and grounds cleaning and maintenance occupations","326","269","510","526"
"Personal care and service occupations","800","736","1482","1151"
"Sales and office occupations:","3313","3993","4616","4293"
"Sales and related occupations","1148","1819","1691","1628"
"Office and administrative support occupations","2165","2174","2925","2665"
"Natural resources, construction, and maintenance occupations:","0","80","155","100"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","0","33","50","100"
"Installation, maintenance, and repair occupations","0","47","105","0"
"Production, transportation, and material moving occupations:","547","136","539","511"
"Production occupations","369","0","157","387"
"Transportation occupations","156","76","49","71"
"Material moving occupations","22","60","333","53"
